full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,30,0,2,2
32,26,0,4,2
32,23,0,5,3
32,22,0,2,0
32,26,0,3,2
32,24,0,4,2
32,21,0,4,1
32,16,0,9,6
32,11,0,10,2
32,6,0,9,0
32,1,0,12,4
32,5,0,12,2
32,1,0,12,2
32,0,0,12,2
32,2,0,13,4
32,12,0,5,0
32,13,0,9,5
32,11,0,10,3
32,2,0,10,1
32,1,0,11,2
32,8,0,13,5
32,5,0,11,3
32,7,0,12,4
32,2,1,16,6
32,0,2,23,10
32,1,9,23,10
32,0,15,25,11
32,0,22,27,14
32,0,20,26,1
32,0,28,25,9
32,0,29,25,4
32,0,40,27,20
32,1,37,25,4
32,0,36,24,4
32,0,37,23,6
32,1,45,25,15
32,1,40,26,4
32,1,34,26,4
32,1,32,24,2
32,2,26,23,1
32,0,31,22,10
32,0,29,23,5
32,1,24,24,4
32,4,25,23,6
32,3,27,23,8
32,0,25,23,1
32,0,25,24,4
32,0,24,23,4
32,0,23,23,4
32,2,20,23,3
32,0,22,23,8
32,0,23,24,6
32,0,19,23,0
32,0,22,22,4
32,0,22,22,2
32,4,20,21,3
32,0,19,19,2
32,0,21,20,8
32,0,18,20,1
32,0,11,19,1
32,0,11,19,4
32,0,7,20,6
32,0,6,17,4
32,4,6,19,8
32,2,11,23,14
32,0,11,24,3
32,2,14,23,5
32,0,15,21,4
32,0,16,20,4
32,3,13,20,2
32,2,12,22,5
32,2,44,27,43
32,0,43,30,3
32,0,44,30,3
32,0,49,29,5
32,0,120,29,75
32,0,120,32,6
32,0,128,32,9
32,0,128,31,4
32,0,131,30,5
32,0,134,29,4
32,0,137,29,4
32,0,143,28,9
32,1,145,29,5
32,0,158,29,14
32,0,163,29,8
32,0,168,28,6
32,0,172,28,5
32,0,175,27,7
32,1,179,29,9
32,0,180,29,4
32,0,182,27,4
32,0,181,24,3
32,3,247,26,70
32,0,247,29,5
32,0,250,28,5
32,0,249,28,0
32,0,249,28,0
32,0,244,29,0
32,0,239,29,0
32,0,238,28,0
32,0,238,27,0
32,0,236,27,0
32,0,234,26,0
32,0,230,25,0
32,0,229,25,0
32,0,227,25,0
32,0,224,25,0
32,1,222,25,0
32,0,220,24,0
32,0,216,25,0
32,0,214,24,0
32,0,211,23,0
32,0,205,24,0
32,0,202,24,0
32,0,199,24,0
32,0,199,24,0
32,0,196,23,0
32,0,194,23,0
32,0,192,22,0
32,0,188,22,0
32,0,185,21,0
32,0,181,22,0
32,1,176,20,0
32,0,172,21,0
32,0,165,22,0
32,0,160,21,0
32,0,157,21,0
32,1,151,20,0
32,0,146,21,0
32,0,140,21,0
32,0,128,19,0
32,0,121,20,0
32,0,116,19,0
32,0,109,18,0
32,0,103,18,0
32,0,93,19,0
32,0,84,18,0
32,0,75,17,0
32,0,64,20,0
32,0,58,18,0
32,2,50,17,0
32,0,35,18,0
32,0,27,17,0
32,1,17,15,0
32,0,8,14,0
32,1,2,13,0
32,3,0,9,0
32,32,0,0,0
