full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,27,0,2,2
32,27,0,2,0
32,26,0,2,1
32,26,0,2,0
32,29,0,2,1
32,29,0,2,0
32,27,0,3,1
32,19,0,4,1
32,13,0,6,2
32,13,0,6,0
32,16,0,4,1
32,15,0,5,1
32,20,0,4,1
32,22,0,3,1
32,31,0,1,0
32,32,0,0,0
32,14,0,3,3
32,14,0,3,0
32,14,0,3,0
32,14,0,3,0
32,20,0,3,2
32,20,0,3,0
32,20,0,3,0
32,20,0,3,0
32,0,0,8,5
32,0,2,9,4
32,0,3,9,1
32,1,0,12,2
32,19,0,6,0
32,23,0,7,3
32,21,0,9,2
32,9,0,15,7
32,10,0,14,2
32,15,0,9,1
32,14,0,10,1
32,1,1,10,3
32,0,1,10,1
32,0,3,10,3
32,2,3,8,1
32,0,1,9,1
32,0,2,10,3
32,9,1,7,2
32,12,1,4,0
32,11,1,5,1
32,7,1,6,2
32,7,0,5,0
32,6,1,6,3
32,2,0,7,2
32,6,0,6,0
32,6,0,6,0
32,6,1,6,1
32,5,1,7,1
32,9,1,5,0
32,8,1,6,1
32,9,1,5,0
32,8,1,6,1
32,9,1,5,0
32,11,0,6,4
32,10,0,7,1
32,11,0,6,1
32,10,0,6,2
32,19,0,4,0
32,18,0,5,1
32,3,0,6,3
32,2,2,7,3
32,3,2,6,0
32,6,1,4,1
32,6,0,4,0
32,6,0,4,0
32,14,0,3,0
32,12,0,5,3
32,5,8,5,10
32,4,8,6,1
32,5,8,5,0
32,6,7,5,2
32,6,25,5,18
32,7,25,4,0
32,0,24,4,3
32,0,24,4,0
32,0,25,4,1
32,0,21,4,0
32,0,23,4,2
32,0,25,4,2
32,4,19,7,1
32,4,22,7,3
32,3,22,8,2
32,0,20,11,4
32,1,19,10,1
32,1,19,10,1
32,2,18,9,1
32,1,19,10,3
32,1,19,9,1
32,0,19,10,1
32,0,28,10,12
32,1,28,9,0
32,2,29,8,1
32,2,26,8,0
32,3,26,7,0
32,5,26,5,0
32,5,23,5,0
32,5,23,5,0
32,5,23,5,0
32,7,22,4,0
32,7,20,4,0
32,0,19,4,0
32,0,19,4,0
32,0,18,4,0
32,0,16,4,0
32,0,15,4,0
32,0,15,4,0
32,0,14,4,0
32,0,12,4,0
32,0,11,4,0
32,0,11,4,0
32,0,10,4,0
32,0,8,4,0
32,0,7,4,0
32,0,7,4,0
32,0,6,4,0
32,0,4,4,0
32,0,3,4,0
32,0,3,4,0
32,0,2,4,0
32,0,0,4,0
32,8,0,3,0
32,8,0,3,0
32,16,0,2,0
32,32,0,0,0
