name,finish_time_fairness
roberta-base@mrpc-0,0.54562
roberta-base@sst2-1,0.1398
roberta-base@rte-2,0.38177
roberta-base@snli-3,0.09096
roberta-base@qnli-4,0.14621
roberta-base@qqp-5,0.12192
roberta-base@sst2-6,0.17184
roberta-base@qnli-7,0.1044
roberta-base@qnli-8,0.15084
roberta-base@qnli-9,0.23669
roberta-base@sst2-10,0.31588
roberta-base@sst2-11,0.15457
roberta-base@mrpc-12,0.3966
roberta-base@wnli-13,4.86218
roberta-base@rte-14,0.37273
roberta-base@qnli-15,0.1605
roberta-base@mnli-16,0.10944
roberta-base@qqp-17,0.09338
roberta-base@sst2-18,0.11483
roberta-base@qqp-19,0.11643
roberta-base@mnli-20,0.10911
roberta-base@sst2-21,0.15902
roberta-base@qnli-22,0.20035
roberta-base@sst2-23,0.14851
roberta-base@sst2-24,0.13298
roberta-base@qnli-25,0.17795
roberta-base@sst2-26,0.10231
roberta-base@sst2-27,0.17938
roberta-base@sst2-28,0.12503
roberta-base@sst2-29,0.11575
roberta-base@qnli-30,0.15107
roberta-base@rte-31,0.2296
roberta-base@qnli-32,0.14235
roberta-base@sst2-33,0.14718
roberta-base@rte-34,0.23412
roberta-base@qnli-35,0.14905
roberta-base@qnli-36,0.14375
roberta-base@qnli-37,0.14676
roberta-base@mrpc-38,0.57046
roberta-base@wnli-39,9.57329
roberta-base@mnli-40,0.12268
roberta-base@wnli-41,5.52884
roberta-base@mrpc-42,0.29333
roberta-base@mrpc-43,0.29333
roberta-base@rte-44,0.27329
roberta-base@wnli-45,5.4844
roberta-base@wnli-46,5.4844
roberta-base@qnli-47,0.14933
roberta-base@mrpc-48,0.46457
roberta-base@wnli-49,9.35107
roberta-base@rte-50,0.23714
roberta-base@mrpc-51,0.49072
roberta-base@snli-52,0.10576
roberta-base@mnli-53,0.12447
roberta-base@qqp-54,0.11019
roberta-base@mrpc-55,0.87134
roberta-base@rte-56,0.81887
roberta-base@mrpc-57,0.32877
roberta-base@mrpc-58,0.2515
roberta-base@rte-59,0.18591
roberta-base@stsb-60,0.29109
roberta-base@wnli-61,14.63996
roberta-base@stsb-62,0.2532
roberta-base@snli-63,0.13934
roberta-base@wnli-64,12.63996
roberta-base@sst2-65,0.37944
roberta-base@stsb-66,0.17801
roberta-base@rte-67,0.2281
roberta-base@qnli-68,0.10002
roberta-base@wnli-69,11.17329
roberta-base@qqp-70,0.09121
roberta-base@qnli-71,0.13767
roberta-base@qqp-72,0.1161
roberta-base@sst2-73,0.14661
roberta-base@wnli-74,4.86218
roberta-base@qnli-75,0.33155
roberta-base@sst2-76,0.1561
roberta-base@qnli-77,0.32482
roberta-base@rte-78,0.43601
roberta-base@wnli-79,3.97329
roberta-base@mrpc-80,0.56261
roberta-base@wnli-81,13.70662
roberta-base@sst2-82,0.15629
roberta-base@qqp-83,0.09239
roberta-base@stsb-84,0.19375
roberta-base@wnli-85,8.81773
roberta-base@wnli-86,7.79551
roberta-base@sst2-87,0.13188
roberta-base@sst2-88,0.14232
roberta-base@qnli-89,0.12078
roberta-base@qqp-90,0.0911
roberta-base@sst2-91,0.13541
roberta-base@rte-92,0.61529
roberta-base@sst2-93,0.3007
roberta-base@sst2-94,0.3007
roberta-base@sst2-95,0.50311
roberta-base@qnli-96,0.13914
roberta-base@mnli-97,0.12231
roberta-base@sst2-98,0.15624
roberta-base@stsb-99,0.27011
roberta-base@sst2-100,0.16577
roberta-base@qnli-101,0.14009
roberta-base@stsb-102,0.14887
roberta-base@qnli-103,0.16214
roberta-base@qnli-104,1.16031
roberta-base@sst2-105,0.13203
roberta-base@sst2-106,0.23324
roberta-base@sst2-107,0.33444
roberta-base@sst2-108,0.4353
roberta-base@qnli-109,1.22521
roberta-base@sst2-110,0.5365
roberta-base@qnli-111,1.29033
roberta-base@sst2-112,0.63771
roberta-base@sst2-113,0.73891
roberta-base@rte-114,0.19344
roberta-base@qnli-115,1.13578
roberta-base@mrpc-116,0.34954
roberta-base@qnli-117,1.1805
roberta-base@sst2-118,0.46701
roberta-base@qnli-119,1.24562
roberta-base@qnli-120,1.63634
roberta-base@qnli-121,1.70146
roberta-base@qnli-122,1.70146
roberta-base@sst2-123,0.56788
roberta-base@sst2-124,0.66908
roberta-base@qnli-125,1.76636
roberta-base@sst2-126,0.77028
roberta-base@sst2-127,0.77028
roberta-base@sst2-128,0.87148
roberta-base@qnli-129,1.83148
roberta-base@qnli-130,1.83148
roberta-base@qnli-131,1.8966
roberta-base@qnli-132,1.96172
roberta-base@sst2-133,0.97268
roberta-base@qnli-134,1.96172
roberta-base@sst2-135,0.97268
roberta-base@wnli-136,11.83996
roberta-base@wnli-137,11.0844
roberta-base@sst2-138,0.90151
roberta-base@sst2-139,0.95818
roberta-base@qnli-140,1.88727
roberta-base@qnli-141,1.83626
roberta-base@sst2-142,0.61814
roberta-base@qnli-143,0.13689
roberta-base@sst2-144,0.15831
roberta-base@qnli-145,0.1446
roberta-base@stsb-146,0.15703
roberta-base@stsb-147,0.14479
roberta-base@qnli-148,1.51217
roberta-base@sst2-149,0.37526
roberta-base@sst2-150,0.42619
roberta-base@stsb-151,0.23455
roberta-base@sst2-152,0.14568
roberta-base@qnli-153,0.14566
roberta-base@rte-154,0.4119
roberta-base@rte-155,0.23111
roberta-base@mrpc-156,0.21359
roberta-base@wnli-157,5.26218
roberta-base@sst2-158,0.14918
roberta-base@mnli-159,0.12351
roberta-base@qnli-160,1.18136
roberta-base@sst2-161,0.16476
roberta-base@wnli-162,9.12884
roberta-base@sst2-163,0.12596
roberta-base@rte-164,0.21152
roberta-base@sst2-165,0.13975
roberta-base@sst2-166,0.15059
roberta-base@qnli-167,0.97689
roberta-base@sst2-168,0.15059
roberta-base@sst2-169,0.25179
roberta-base@qnli-170,1.04201
roberta-base@sst2-171,0.35299
roberta-base@qnli-172,1.04201
roberta-base@sst2-173,0.35265
roberta-base@qnli-174,1.10691
roberta-base@sst2-175,0.45386
roberta-base@qnli-176,1.10691
roberta-base@sst2-177,0.55506
roberta-base@sst2-178,0.55506
roberta-base@qnli-179,1.0546
