full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,27,0,2,2
32,28,0,1,0
32,29,0,2,2
32,30,0,1,0
32,29,0,2,1
32,29,0,2,0
32,13,0,3,1
32,5,0,4,1
32,1,1,5,2
32,7,0,5,0
32,3,2,6,3
32,6,0,7,1
32,10,0,6,1
32,26,0,4,1
32,28,0,2,0
32,30,0,1,0
32,4,0,5,4
32,4,0,5,0
32,20,0,3,0
32,20,0,3,0
32,4,0,5,2
32,4,0,5,1
32,4,0,5,0
32,12,0,4,0
32,0,2,7,5
32,0,4,8,4
32,1,0,10,1
32,15,0,9,3
32,18,0,7,0
32,22,0,8,3
32,20,0,10,2
32,14,0,15,7
32,18,0,11,2
32,19,0,10,1
32,22,0,8,1
32,6,0,10,4
32,6,0,9,1
32,4,0,10,3
32,8,0,8,1
32,10,0,6,1
32,9,1,7,3
32,10,2,6,2
32,4,1,4,0
32,11,0,5,1
32,7,0,6,2
32,16,0,4,0
32,12,0,7,3
32,7,0,8,3
32,10,0,6,0
32,10,0,6,0
32,10,1,6,1
32,9,2,7,2
32,11,2,6,0
32,10,1,7,1
32,12,0,5,0
32,19,0,5,1
32,29,0,2,0
32,23,0,6,4
32,25,0,4,1
32,25,0,4,1
32,23,0,5,2
32,26,0,3,0
32,25,0,4,1
32,7,0,7,3
32,10,3,6,4
32,10,1,6,1
32,8,1,7,1
32,15,0,7,1
32,15,0,7,0
32,24,0,5,0
32,6,0,9,4
32,0,10,8,11
32,6,8,9,1
32,7,7,8,0
32,7,7,8,2
32,11,25,5,19
32,9,24,7,2
32,11,26,5,3
32,11,25,5,0
32,11,25,5,1
32,11,24,5,0
32,4,23,6,2
32,2,22,8,3
32,4,20,7,1
32,5,22,6,3
32,3,20,8,2
32,0,19,11,4
32,2,17,9,1
32,2,16,9,1
32,1,14,9,1
32,0,15,10,3
32,1,14,9,2
32,3,13,7,1
32,3,24,7,13
32,3,23,7,0
32,4,22,6,1
32,5,21,5,0
32,5,19,5,0
32,5,18,5,0
32,6,16,4,0
32,6,15,4,0
32,6,13,4,0
32,6,12,4,0
32,6,10,4,0
32,6,9,4,0
32,6,7,4,0
32,0,5,4,0
32,0,3,4,0
32,0,1,4,0
32,8,0,3,0
32,24,0,1,0
32,32,0,0,0
