full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,31,0,1,1
32,31,0,1,0
32,32,0,0,0
32,32,0,0,0
32,31,0,1,1
32,31,0,1,0
32,29,0,2,1
32,29,0,2,0
32,23,0,4,2
32,23,0,4,0
32,15,0,5,1
32,17,0,4,0
32,25,0,3,0
32,25,0,3,0
32,25,0,3,0
32,29,0,2,0
32,19,0,4,2
32,19,0,4,0
32,19,0,4,0
32,19,0,4,0
32,23,0,5,2
32,25,0,4,0
32,25,0,4,0
32,25,0,4,0
32,17,0,6,2
32,16,0,7,1
32,16,0,7,1
32,20,0,6,1
32,21,0,5,0
32,18,0,7,2
32,18,0,7,1
32,20,0,8,3
32,21,0,7,1
32,21,0,7,1
32,21,0,7,1
32,11,0,9,2
32,12,0,8,0
32,10,0,9,1
32,11,0,9,1
32,11,0,9,1
32,13,0,8,0
32,14,1,7,1
32,16,1,6,0
32,16,2,6,1
32,10,1,9,2
32,11,1,8,0
32,3,1,9,2
32,16,3,6,2
32,16,3,6,0
32,16,3,6,0
32,16,3,6,0
32,16,3,6,0
32,16,3,6,0
32,6,1,9,1
32,7,1,8,0
32,8,1,7,0
32,8,1,7,0
32,7,2,8,2
32,8,2,7,0
32,3,1,5,0
32,11,0,5,0
32,11,0,5,0
32,10,0,6,1
32,6,2,4,3
32,6,3,4,1
32,6,2,4,0
32,4,1,5,1
32,4,0,5,0
32,4,0,5,0
32,4,0,5,0
32,13,0,4,1
32,5,3,5,4
32,5,2,5,1
32,5,1,5,0
32,5,1,5,2
32,6,13,4,12
32,6,13,4,0
32,6,15,4,3
32,6,14,4,0
32,0,13,4,1
32,0,11,4,0
32,0,9,4,0
32,0,9,4,2
32,5,6,6,1
32,5,6,6,2
32,6,5,5,0
32,3,3,8,3
32,4,3,7,1
32,4,3,7,1
32,3,2,7,1
32,2,1,8,2
32,3,2,7,1
32,2,2,8,1
32,2,6,8,5
32,2,4,8,0
32,2,3,8,0
32,2,1,8,0
32,2,1,8,0
32,2,1,8,0
32,2,0,8,0
32,18,0,6,0
32,18,0,6,0
32,20,0,5,0
32,28,0,4,0
32,28,0,4,0
32,28,0,4,0
32,28,0,4,0
32,28,0,4,0
32,28,0,4,0
32,30,0,2,0
32,30,0,2,0
32,30,0,2,0
32,30,0,2,0
32,30,0,2,0
32,31,0,1,0
32,31,0,1,0
32,31,0,1,0
32,31,0,1,0
32,32,0,0,0
