name,finish_time_fairness
vit-large@frgfm#imagenette-0,0.11011
vit-large@imagenet-split-1-1,0.08165
vit-large@Bingsu#Cat_and_Dog-2,0.19577
vit-large@food101-3,0.08864
vit-large@imagenet-split-0-4,0.07683
vit-large@Bingsu#Cat_and_Dog-5,0.21943
vit-large@imagenet-split-2-6,0.07003
vit-large@imagenet-split-1-7,0.09348
vit-large@imagenet-split-1-8,0.07321
vit-large@imagenet-split-2-9,0.06847
vit-large@mnist-10,0.10711
vit-large@mnist-11,0.16065
vit-large@imagenet-split-0-12,0.09754
vit-large@frgfm#imagenette-13,0.09356
vit-large@frgfm#imagenette-14,0.0799
vit-large@frgfm#imagenette-15,0.09167
vit-large@Bingsu#Cat_and_Dog-16,0.23395
vit-large@mnist-17,0.10256
vit-large@fashion_mnist-18,0.10256
vit-large@food101-19,0.12767
vit-large@food101-20,0.07167
vit-large@fashion_mnist-21,0.08069
vit-large@imagenet-split-2-22,0.07397
vit-large@food101-23,0.07156
vit-large@mnist-24,0.09238
vit-large@frgfm#imagenette-25,0.07453
vit-large@imagenet-split-0-26,0.09454
vit-large@cifar100-27,0.08949
vit-large@imagenet-split-1-28,0.16864
vit-large@cifar100-29,0.09835
vit-large@imagenet-split-1-30,0.17684
vit-large@cifar100-31,0.07413
vit-large@cifar100-32,0.08001
vit-large@mnist-33,0.15104
vit-large@mnist-34,0.068
vit-large@imagenet-split-0-35,0.15364
vit-large@Bingsu#Cat_and_Dog-36,0.3662
vit-large@cifar100-37,0.07577
vit-large@Bingsu#Cat_and_Dog-38,0.30276
vit-large@imagenet-split-1-39,0.13649
vit-large@imagenet-split-0-40,0.0736
vit-large@imagenet-split-1-41,0.10405
vit-large@Bingsu#Cat_and_Dog-42,0.14308
vit-large@Bingsu#Cat_and_Dog-43,0.27534
vit-large@cifar100-44,0.11785
vit-large@imagenet-split-2-45,0.15572
vit-large@cifar100-46,0.07295
vit-large@Bingsu#Cat_and_Dog-47,0.17265
vit-large@frgfm#imagenette-48,0.11287
vit-large@frgfm#imagenette-49,0.0953
vit-large@food101-50,0.11593
vit-large@frgfm#imagenette-51,0.08208
vit-large@frgfm#imagenette-52,0.08208
vit-large@frgfm#imagenette-53,0.08208
vit-large@frgfm#imagenette-54,0.08208
vit-large@frgfm#imagenette-55,0.08208
vit-large@frgfm#imagenette-56,0.08194
vit-large@Bingsu#Cat_and_Dog-57,0.15653
vit-large@imagenet-split-0-58,0.07945
vit-large@Bingsu#Cat_and_Dog-59,0.22749
vit-large@frgfm#imagenette-60,0.09457
vit-large@frgfm#imagenette-61,0.0786
vit-large@Bingsu#Cat_and_Dog-62,0.23825
vit-large@food101-63,0.07144
vit-large@food101-64,0.07142
vit-large@food101-65,0.07142
vit-large@frgfm#imagenette-66,0.2126
vit-large@frgfm#imagenette-67,0.19848
vit-large@frgfm#imagenette-68,0.15635
vit-large@Bingsu#Cat_and_Dog-69,0.13986
vit-large@frgfm#imagenette-70,0.07366
vit-large@frgfm#imagenette-71,0.11462
vit-large@frgfm#imagenette-72,0.11186
vit-large@Bingsu#Cat_and_Dog-73,0.24255
vit-large@imagenet-split-2-74,0.09066
vit-large@Bingsu#Cat_and_Dog-75,0.24308
vit-large@imagenet-split-1-76,0.3023
vit-large@Bingsu#Cat_and_Dog-77,0.17319
vit-large@fashion_mnist-78,0.0731
vit-large@frgfm#imagenette-79,0.07773
vit-large@fashion_mnist-80,0.09049
vit-large@imagenet-split-2-81,0.07161
vit-large@Bingsu#Cat_and_Dog-82,0.22534
vit-large@food101-83,0.06905
vit-large@cifar100-84,0.06845
vit-large@food101-85,0.09404
vit-large@cifar100-86,0.07052
vit-large@frgfm#imagenette-87,0.0799
vit-large@imagenet-split-0-88,0.10036
vit-large@imagenet-split-1-89,0.10689
vit-large@fashion_mnist-90,0.08979
vit-large@Bingsu#Cat_and_Dog-91,0.37642
vit-large@Bingsu#Cat_and_Dog-92,0.37481
vit-large@frgfm#imagenette-93,0.077
vit-large@fashion_mnist-94,0.08596
vit-large@frgfm#imagenette-95,0.11389
vit-large@frgfm#imagenette-96,0.112
vit-large@frgfm#imagenette-97,0.10881
vit-large@cifar100-98,0.07887
vit-large@food101-99,0.08934
vit-large@frgfm#imagenette-100,0.09036
vit-large@Bingsu#Cat_and_Dog-101,0.19685
vit-large@Bingsu#Cat_and_Dog-102,0.18448
vit-large@food101-103,0.08657
vit-large@Bingsu#Cat_and_Dog-104,0.22427
vit-large@Bingsu#Cat_and_Dog-105,0.15868
vit-large@cifar100-106,0.08815
vit-large@cifar100-107,0.18454
vit-large@cifar100-108,0.21667
vit-large@food101-109,0.06892
vit-large@cifar100-110,0.28082
vit-large@Bingsu#Cat_and_Dog-111,0.27911
vit-large@fashion_mnist-112,1.70952
vit-large@imagenet-split-1-113,0.6553
vit-large@mnist-114,1.76306
vit-large@imagenet-split-1-115,0.6553
vit-large@cifar100-116,0.30117
vit-large@fashion_mnist-117,1.78975
vit-large@frgfm#imagenette-118,0.11287
vit-large@fashion_mnist-119,0.06876
vit-large@food101-120,0.06957
vit-large@frgfm#imagenette-121,0.08078
vit-large@cifar100-122,0.07359
vit-large@fashion_mnist-123,0.06825
vit-large@Bingsu#Cat_and_Dog-124,0.25814
vit-large@fashion_mnist-125,1.62027
vit-large@imagenet-split-1-126,0.55282
vit-large@Bingsu#Cat_and_Dog-127,0.14631
vit-large@imagenet-split-0-128,0.07864
vit-large@mnist-129,1.61135
vit-large@fashion_mnist-130,1.66489
vit-large@imagenet-split-1-131,0.51183
vit-large@mnist-132,1.69167
vit-large@fashion_mnist-133,1.69167
