full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,27,0,2,2
32,26,0,3,1
32,18,0,4,2
32,24,0,1,0
32,22,0,3,2
32,14,0,4,2
32,7,0,4,1
32,0,3,4,4
32,0,2,6,2
32,0,1,6,0
32,3,2,7,3
32,6,2,7,2
32,5,2,8,1
32,3,2,9,2
32,8,1,8,2
32,3,0,6,0
32,1,4,6,5
32,0,4,7,2
32,0,3,6,0
32,0,2,6,1
32,1,1,9,3
32,6,0,8,2
32,5,0,9,2
32,0,1,11,3
32,1,7,11,8
32,1,10,11,6
32,1,9,15,9
32,0,16,16,12
32,0,12,13,1
32,0,14,16,8
32,0,10,15,4
32,0,15,21,14
32,0,8,22,2
32,4,8,15,2
32,0,7,15,5
32,4,14,11,10
32,1,13,12,4
32,1,12,13,3
32,1,8,13,2
32,0,6,13,1
32,0,14,13,9
32,0,9,18,4
32,1,8,17,4
32,2,8,16,4
32,0,9,16,5
32,4,9,13,1
32,4,10,13,3
32,16,11,10,4
32,16,13,10,2
32,16,12,8,1
32,0,11,11,5
32,8,13,8,4
32,8,12,8,0
32,0,9,13,4
32,1,8,12,1
32,5,7,14,2
32,10,7,11,1
32,1,8,12,6
32,0,7,13,1
32,1,5,10,1
32,5,5,9,3
32,4,6,10,4
32,3,6,10,3
32,0,11,7,7
32,2,21,9,13
32,8,21,7,3
32,0,18,9,2
32,3,17,12,4
32,6,15,9,1
32,8,17,8,2
32,9,17,8,4
32,8,47,8,32
32,5,45,11,3
32,1,42,8,2
32,0,41,9,4
32,0,96,9,57
32,0,96,9,5
32,2,100,8,9
32,0,97,9,3
32,3,95,6,2
32,0,94,9,3
32,0,95,9,4
32,0,98,9,8
32,0,97,9,3
32,0,105,9,10
32,0,106,9,5
32,0,107,10,6
32,0,105,11,5
32,0,105,11,5
32,0,104,10,4
32,0,103,13,4
32,0,100,13,3
32,0,99,13,2
32,1,147,12,50
32,0,145,12,3
32,0,146,13,5
32,3,143,11,0
32,1,140,9,0
32,2,137,8,0
32,4,137,6,0
32,2,133,5,0
32,2,133,5,0
32,0,129,5,0
32,4,129,4,0
32,4,126,4,0
32,4,126,4,0
32,0,122,4,0
32,0,122,4,0
32,0,118,4,0
32,0,118,4,0
32,0,114,4,0
32,0,114,4,0
32,0,110,4,0
32,0,110,4,0
32,0,106,4,0
32,0,106,4,0
32,0,102,4,0
32,0,102,4,0
32,0,98,4,0
32,0,98,4,0
32,0,94,4,0
32,0,94,4,0
32,0,90,4,0
32,0,90,4,0
32,0,86,4,0
32,0,86,4,0
32,0,82,4,0
32,0,82,4,0
32,0,78,4,0
32,0,78,4,0
32,0,75,3,0
32,0,75,3,0
32,0,72,3,0
32,0,72,3,0
32,0,68,4,0
32,0,68,4,0
32,0,64,4,0
32,0,64,4,0
32,0,60,4,0
32,0,60,4,0
32,0,56,4,0
32,0,56,4,0
32,0,52,4,0
32,0,52,4,0
32,0,48,4,0
32,0,48,4,0
32,0,44,4,0
32,0,44,4,0
32,0,40,4,0
32,0,40,4,0
32,0,36,4,0
32,0,36,4,0
32,0,36,4,0
32,0,36,4,0
32,0,36,4,0
32,0,32,4,0
32,0,32,4,0
32,0,32,4,0
32,0,32,4,0
32,0,32,4,0
32,0,28,4,0
32,0,28,4,0
32,0,28,4,0
32,0,28,4,0
32,0,28,4,0
32,0,24,4,0
32,0,24,4,0
32,0,24,4,0
32,0,24,4,0
32,0,24,4,0
32,0,20,4,0
32,0,20,4,0
32,0,20,4,0
32,0,20,4,0
32,0,20,4,0
32,0,16,4,0
32,0,16,4,0
32,0,16,4,0
32,0,16,4,0
32,0,16,4,0
32,0,12,4,0
32,0,12,4,0
32,0,12,4,0
32,0,12,4,0
32,0,12,4,0
32,0,8,4,0
32,0,8,4,0
32,0,8,4,0
32,0,8,4,0
32,0,8,4,0
32,0,4,4,0
32,0,4,4,0
32,0,4,4,0
32,0,4,4,0
32,0,4,4,0
32,4,2,3,0
32,4,1,3,0
32,4,1,3,0
32,4,1,3,0
32,4,1,3,0
32,8,0,3,0
32,16,0,2,0
32,16,0,2,0
32,16,0,2,0
32,24,0,1,0
32,24,0,1,0
32,24,0,1,0
32,24,0,1,0
32,32,0,0,0
