name,finish_time_fairness
roberta-large@mrpc-0,0.43091
roberta-large@qnli-1,0.22251
roberta-large@qnli-2,0.2416
roberta-large@sst2-3,0.24899
roberta-large@qnli-4,0.18876
roberta-large@qnli-5,0.2184
roberta-large@qnli-6,0.18315
roberta-large@stsb-7,0.35304
roberta-large@rte-8,0.27926
roberta-large@qnli-9,0.17619
roberta-large@mnli-10,0.22655
roberta-large@qqp-11,0.16353
roberta-large@mnli-12,0.22647
roberta-large@qnli-13,0.20616
roberta-large@sst2-14,0.26502
roberta-large@wnli-15,0.98807
roberta-large@sst2-16,0.24923
roberta-large@rte-17,0.20131
roberta-large@sst2-18,0.25881
roberta-large@rte-19,0.20377
roberta-large@stsb-20,0.43514
roberta-large@qnli-21,0.23018
roberta-large@qnli-22,0.24196
roberta-large@wnli-23,0.65217
roberta-large@wnli-24,0.41883
roberta-large@mrpc-25,0.29329
roberta-large@wnli-26,0.41883
roberta-large@wnli-27,0.41627
roberta-large@qnli-28,0.24368
roberta-large@wnli-29,0.75473
roberta-large@wnli-30,0.63935
roberta-large@rte-31,0.20541
roberta-large@snli-32,0.19109
roberta-large@mnli-33,0.19164
roberta-large@rte-34,0.5277
roberta-large@rte-35,0.17751
roberta-large@stsb-36,0.43746
roberta-large@stsb-37,0.39962
roberta-large@snli-38,0.31513
roberta-large@sst2-39,1.59879
roberta-large@stsb-40,0.32451
roberta-large@rte-41,0.20049
roberta-large@qnli-42,0.18543
roberta-large@wnli-43,0.74448
roberta-large@qqp-44,0.16113
roberta-large@qnli-45,0.23589
roberta-large@qqp-46,0.29632
roberta-large@sst2-47,0.2581
roberta-large@qnli-48,0.57052
roberta-large@sst2-49,0.32376
roberta-large@rte-50,0.31372
roberta-large@mrpc-51,0.26834
roberta-large@mrpc-52,0.44018
roberta-large@qnli-53,0.26291
roberta-large@qqp-54,0.22475
roberta-large@wnli-55,0.5496
roberta-large@sst2-56,0.23799
roberta-large@rte-57,0.22757
roberta-large@qnli-58,0.31505
roberta-large@qqp-59,0.22369
roberta-large@sst2-60,0.38497
roberta-large@stsb-61,0.43921
roberta-large@sst2-62,0.47967
roberta-large@sst2-63,0.62921
roberta-large@mnli-64,0.21901
roberta-large@stsb-65,0.2954
roberta-large@qnli-66,0.25224
roberta-large@qnli-67,0.27259
roberta-large@qnli-68,0.68221
roberta-large@sst2-69,0.22995
roberta-large@qnli-70,0.72304
roberta-large@sst2-71,0.52902
roberta-large@rte-72,0.18162
roberta-large@qnli-73,0.74871
roberta-large@mrpc-74,0.32395
roberta-large@qnli-75,0.73587
roberta-large@sst2-76,0.27681
roberta-large@qnli-77,1.18646
roberta-large@qnli-78,1.22742
roberta-large@sst2-79,0.57537
roberta-large@sst2-80,0.72491
roberta-large@qnli-81,1.26825
roberta-large@sst2-82,0.87444
roberta-large@sst2-83,1.02397
roberta-large@sst2-84,1.02397
roberta-large@qnli-85,1.35018
roberta-large@qnli-86,1.39114
roberta-large@qnli-87,1.4321
roberta-large@sst2-88,0.9188
roberta-large@sst2-89,1.00254
roberta-large@qnli-90,1.42623
roberta-large@qnli-91,1.39414
roberta-large@sst2-92,0.50011
roberta-large@sst2-93,0.24842
roberta-large@sst2-94,0.27279
roberta-large@qnli-95,0.24052
roberta-large@stsb-96,0.29132
roberta-large@qnli-97,1.23125
roberta-large@sst2-98,0.2165
roberta-large@sst2-99,0.28381
roberta-large@rte-100,0.30059
roberta-large@rte-101,0.20213
roberta-large@mrpc-102,0.2498
roberta-large@wnli-103,0.40345
roberta-large@sst2-104,0.26132
roberta-large@qnli-105,0.22412
roberta-large@qnli-106,1.06412
roberta-large@qnli-107,1.10508
roberta-large@wnli-108,0.62653
roberta-large@sst2-109,0.37101
roberta-large@sst2-110,0.2495
roberta-large@sst2-111,0.25787
roberta-large@qnli-112,1.01742
roberta-large@sst2-113,0.4074
roberta-large@sst2-114,0.55693
roberta-large@sst2-115,0.70597
roberta-large@qnli-116,1.05825
roberta-large@sst2-117,0.8555
roberta-large@sst2-118,1.00503
roberta-large@sst2-119,0.88491
