full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,31,0,1,1
32,31,0,1,0
32,30,0,1,1
32,30,0,1,0
32,29,0,2,1
32,29,0,2,0
32,27,0,3,1
32,27,0,3,0
32,21,0,5,2
32,21,0,5,0
32,13,0,6,1
32,14,0,6,1
32,14,0,6,0
32,14,0,6,1
32,23,0,4,0
32,29,0,2,0
32,19,0,4,2
32,19,0,4,0
32,19,0,4,0
32,19,0,4,0
32,9,0,5,2
32,11,0,4,0
32,11,0,4,0
32,11,0,4,0
32,3,0,6,2
32,1,0,8,2
32,1,0,8,1
32,4,0,8,2
32,21,0,6,0
32,17,0,9,3
32,17,0,9,1
32,19,0,10,4
32,20,0,9,2
32,21,0,8,1
32,21,0,8,1
32,7,0,8,2
32,7,0,8,0
32,6,0,8,1
32,7,0,8,1
32,7,0,8,1
32,6,1,9,2
32,7,2,8,1
32,10,2,6,0
32,9,2,7,1
32,4,2,9,2
32,6,2,7,0
32,4,3,9,3
32,4,3,8,2
32,4,1,9,0
32,4,1,9,0
32,4,2,9,1
32,8,3,8,1
32,8,3,8,0
32,6,2,10,1
32,7,2,9,0
32,7,2,9,1
32,7,2,9,0
32,8,4,8,3
32,9,4,7,0
32,8,2,7,0
32,5,1,9,2
32,6,0,8,0
32,5,0,9,1
32,9,3,6,3
32,8,4,7,3
32,0,2,8,0
32,1,2,7,1
32,1,1,7,0
32,1,0,7,0
32,1,0,7,0
32,0,0,8,1
32,0,5,8,6
32,2,4,7,1
32,3,3,6,0
32,2,3,7,2
32,2,15,7,13
32,3,15,6,0
32,3,17,6,3
32,3,16,6,0
32,3,16,6,1
32,3,14,6,0
32,2,14,7,2
32,0,12,9,2
32,7,12,9,1
32,7,12,9,2
32,0,12,9,1
32,4,11,12,3
32,5,11,11,1
32,6,10,10,1
32,4,9,11,1
32,3,11,12,3
32,5,12,10,1
32,5,11,10,1
32,5,18,10,8
32,5,17,10,0
32,5,17,10,1
32,6,16,9,0
32,6,15,9,0
32,8,14,7,0
32,8,13,7,0
32,8,12,7,0
32,8,11,7,0
32,3,10,6,0
32,3,10,6,0
32,3,9,6,0
32,3,8,6,0
32,3,7,6,0
32,3,7,6,0
32,4,6,5,0
32,6,5,4,0
32,6,4,4,0
32,6,4,4,0
32,6,3,4,0
32,6,2,4,0
32,6,1,4,0
32,0,0,4,0
32,8,0,3,0
32,16,0,2,0
32,24,0,1,0
32,32,0,0,0
