name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit-large@frgfm#imagenette-0,45,255,758.1378710269928,803.1378710269928,1,66283.0,1
vit-large@imagenet-split-1-1,92,208,1374.1378710269928,1466.1378710269928,1,749250.0,4
vit-large@Bingsu#Cat_and_Dog-2,766,134,364.1378710269928,1130.1378710269928,1,31680.0,1
vit-large@food101-3,786,114,2907.137871026993,3693.137871026993,1,757500,8
vit-large@imagenet-split-0-4,1280,220,1996.1378710269928,3276.137871026993,1,250000.0,1
vit-large@Bingsu#Cat_and_Dog-5,1322,178,408.1378710269928,1730.1378710269928,1,31680.0,1
vit-large@mnist-6,1576,224,1126.1378710269928,2702.137871026993,1,600000.0,8
vit-large@Bingsu#Cat_and_Dog-7,1747,53,283.1378710269928,2030.1378710269928,1,31680.0,1
vit-large@imagenet-split-2-8,1987,113,3273.137871026993,5260.137871026993,1,1000000.0,2
vit-large@imagenet-split-1-9,2229,171,912.1378710269928,3141.137871026993,1,749250.0,8
vit-large@imagenet-split-2-10,2296,104,3264.137871026993,5560.137871026993,1,1000000.0,2
vit-large@imagenet-split-1-11,2634,366,1532.1378710269928,4166.137871026993,1,749250.0,4
vit-large@imagenet-split-0-12,2660,40,1134.1378710269928,3794.137871026993,1,250000.0,2
vit-large@mnist-13,3002,298,1200.1378710269928,4202.137871026993,1,600000.0,8
vit-large@mnist-14,3002,898,1800.1378710269928,4802.137871026993,1,600000.0,8
vit-large@imagenet-split-0-15,3014,286,1043.1378710269928,4057.137871026993,1,250000.0,4
vit-large@imagenet-split-1-16,3350,850,2016.1378710269928,5366.137871026993,1,749250.0,4
vit-large@frgfm#imagenette-17,3459,141,644.1378710269928,4103.137871026993,1,66283.0,1
vit-large@frgfm#imagenette-18,3853,47,550.1378710269928,4403.137871026993,1,66283.0,1
vit-large@frgfm#imagenette-19,4072,128,631.1378710269928,4703.137871026993,1,66283.0,1
vit-large@Bingsu#Cat_and_Dog-20,4256,244,474.1378710269928,4730.137871026993,1,31680.0,1
vit-large@Bingsu#Cat_and_Dog-21,4295,205,435.1378710269928,4730.137871026993,1,31680.0,1
