name,finish_time_fairness
vit@frgfm#imagenette-0,0.04855
vit@imagenet-split-1-1,0.03508
vit@frgfm#imagenette-2,0.03668
vit@Bingsu#Cat_and_Dog-3,0.05964
vit@Bingsu#Cat_and_Dog-4,0.06747
vit@Bingsu#Cat_and_Dog-5,0.06462
vit@food101-6,0.02907
vit@imagenet-split-0-7,0.03268
vit@Bingsu#Cat_and_Dog-8,0.0753
vit@mnist-9,0.04402
vit@Bingsu#Cat_and_Dog-10,0.05305
vit@imagenet-split-2-11,0.02851
vit@frgfm#imagenette-12,0.04619
vit@imagenet-split-2-13,0.02933
vit@imagenet-split-1-14,0.0417
vit@imagenet-split-2-15,0.02841
vit@food101-16,0.02891
vit@mnist-17,0.0257
vit@imagenet-split-1-18,0.0297
vit@imagenet-split-0-19,0.02982
vit@mnist-20,0.04616
vit@mnist-21,0.05484
vit@mnist-22,0.08956
vit@imagenet-split-0-23,0.05987
vit@imagenet-split-1-24,0.03667
vit@frgfm#imagenette-25,0.03928
vit@mnist-26,0.06557
vit@frgfm#imagenette-27,0.03164
vit@imagenet-split-2-28,0.02955
vit@frgfm#imagenette-29,0.03822
vit@Bingsu#Cat_and_Dog-30,0.08704
vit@Bingsu#Cat_and_Dog-31,0.0801
vit@imagenet-split-0-32,0.0384
vit@food101-33,0.03824
vit@mnist-34,0.0794
vit@fashion_mnist-35,0.05198
vit@food101-36,0.03031
vit@food101-37,1.53353
vit@fashion_mnist-38,0.13375
vit@fashion_mnist-39,0.11688
vit@Bingsu#Cat_and_Dog-40,0.10679
vit@frgfm#imagenette-41,0.05416
vit@imagenet-split-2-42,1.25679
vit@frgfm#imagenette-43,0.04473
vit@imagenet-split-0-44,0.03176
vit@imagenet-split-2-45,0.0342
vit@food101-46,1.5492
vit@food101-47,0.03023
vit@Bingsu#Cat_and_Dog-48,0.07458
vit@imagenet-split-2-49,1.24794
vit@fashion_mnist-50,0.04131
vit@frgfm#imagenette-51,0.04058
vit@mnist-52,0.05006
vit@imagenet-split-0-53,0.04659
vit@frgfm#imagenette-54,0.03367
vit@mnist-55,0.02588
vit@frgfm#imagenette-56,0.02887
vit@fashion_mnist-57,0.09593
vit@fashion_mnist-58,0.09593
vit@cifar100-59,0.06319
vit@imagenet-split-0-60,0.15699
vit@frgfm#imagenette-61,0.06522
vit@frgfm#imagenette-62,0.07741
vit@Bingsu#Cat_and_Dog-63,0.09594
vit@imagenet-split-0-64,0.08767
vit@cifar100-65,0.07743
vit@mnist-66,0.1857
vit@mnist-67,0.19393
vit@imagenet-split-1-68,0.17008
vit@fashion_mnist-69,0.10598
vit@cifar100-70,0.0667
vit@fashion_mnist-71,0.10234
vit@imagenet-split-1-72,0.18667
vit@Bingsu#Cat_and_Dog-73,0.09416
vit@frgfm#imagenette-74,0.04993
vit@imagenet-split-1-75,0.18364
vit@mnist-76,0.22949
vit@Bingsu#Cat_and_Dog-77,0.07885
vit@fashion_mnist-78,0.13805
vit@cifar100-79,0.0702
vit@mnist-80,0.2254
vit@mnist-81,0.22397
vit@frgfm#imagenette-82,0.02993
vit@imagenet-split-0-83,0.05987
vit@imagenet-split-2-84,1.24454
vit@fashion_mnist-85,0.1262
vit@mnist-86,0.23719
vit@frgfm#imagenette-87,0.04115
vit@Bingsu#Cat_and_Dog-88,0.07049
vit@fashion_mnist-89,0.14797
vit@cifar100-90,0.04633
vit@imagenet-split-1-91,0.17626
vit@Bingsu#Cat_and_Dog-92,0.04949
vit@imagenet-split-0-93,0.02637
vit@imagenet-split-1-94,0.17432
vit@fashion_mnist-95,0.04883
vit@imagenet-split-1-96,0.17232
vit@frgfm#imagenette-97,0.0427
vit@imagenet-split-2-98,0.054
vit@imagenet-split-0-99,0.03096
vit@imagenet-split-1-100,0.06012
vit@imagenet-split-1-101,0.06006
vit@fashion_mnist-102,0.04664
vit@cifar100-103,0.04824
vit@imagenet-split-0-104,0.03014
vit@imagenet-split-1-105,0.05977
vit@Bingsu#Cat_and_Dog-106,0.05003
vit@imagenet-split-1-107,0.06216
vit@fashion_mnist-108,0.05524
vit@Bingsu#Cat_and_Dog-109,0.0938
vit@cifar100-110,0.05653
vit@imagenet-split-2-111,0.14631
vit@cifar100-112,0.04352
vit@Bingsu#Cat_and_Dog-113,0.08188
vit@Bingsu#Cat_and_Dog-114,0.09974
vit@frgfm#imagenette-115,0.04237
vit@Bingsu#Cat_and_Dog-116,0.05982
vit@Bingsu#Cat_and_Dog-117,0.05964
vit@frgfm#imagenette-118,0.05009
vit@fashion_mnist-119,0.04264
vit@frgfm#imagenette-120,0.04026
vit@imagenet-split-1-121,0.03514
vit@food101-122,0.03365
vit@Bingsu#Cat_and_Dog-123,0.06248
vit@imagenet-split-0-124,0.03861
vit@frgfm#imagenette-125,0.03286
vit@frgfm#imagenette-126,0.05725
vit@frgfm#imagenette-127,0.05725
vit@frgfm#imagenette-128,0.05725
vit@frgfm#imagenette-129,0.05725
vit@frgfm#imagenette-130,0.05725
vit@frgfm#imagenette-131,0.05725
vit@Bingsu#Cat_and_Dog-132,0.05466
vit@Bingsu#Cat_and_Dog-133,0.05466
vit@Bingsu#Cat_and_Dog-134,0.05466
vit@frgfm#imagenette-135,0.05717
vit@Bingsu#Cat_and_Dog-136,0.05448
vit@frgfm#imagenette-137,0.05717
vit@Bingsu#Cat_and_Dog-138,0.05448
vit@Bingsu#Cat_and_Dog-139,0.05448
vit@frgfm#imagenette-140,0.05717
vit@Bingsu#Cat_and_Dog-141,0.05288
vit@imagenet-split-0-142,0.03474
vit@Bingsu#Cat_and_Dog-143,0.07796
vit@frgfm#imagenette-144,0.03562
