name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-large@qnli-0,1280,40,7699.3455929756165,8979.345592975616,1,235674.0,1
roberta-large@sst2-1,1987,53,1456.3455929756165,3443.3455929756165,1,84190.0,2
roberta-large@qnli-2,2634,6,1979.3455929756165,4613.3455929756165,1,235674.0,4
roberta-large@mnli-3,4906,14,3417.3455929756165,8323.345592975616,1,785408.0,8
roberta-large@qqp-4,6003,57,3943.3455929756165,9946.345592975616,1,909620.0,8
roberta-large@mnli-5,6111,69,3472.3455929756165,9583.345592975616,1,785408.0,8
roberta-large@wnli-6,7516,44,145.34559297561646,7661.3455929756165,1,1590.0,1
roberta-large@rte-7,8364,36,248.34559297561646,8612.345592975616,1,4984.0,1
roberta-large@qnli-8,8748,12,3902.3455929756165,12650.345592975616,1,235674.0,2
roberta-large@qnli-9,8768,52,7711.3455929756165,16479.345592975616,1,235674.0,1
roberta-large@rte-10,9147,33,245.34559297561646,9392.345592975616,1,4984.0,1
roberta-large@wnli-11,9538,2,103.34559297561646,9641.345592975616,1,1590.0,1
roberta-large@mrpc-12,9538,62,411.34559297561646,9949.345592975616,1,9170,1
roberta-large@wnli-13,9539,1,102.34559297561646,9641.345592975616,1,1590.0,1
roberta-large@wnli-14,10052,28,129.34559297561646,10181.345592975616,1,1590.0,1
roberta-large@mrpc-15,10462,38,387.34559297561646,10849.345592975616,1,9170,1
roberta-large@sst2-16,10617,3,1406.3455929756165,12023.345592975616,1,84190.0,2
roberta-large@qnli-17,10618,62,3952.3455929756165,14570.345592975616,1,235674.0,2
roberta-large@rte-18,11696,4,216.34559297561646,11912.345592975616,1,4984.0,1
roberta-large@stsb-19,11714,46,511.34559297561646,12225.345592975616,1,12942.0,1
roberta-large@sst2-20,12456,24,263.34559297561646,12719.345592975616,1,84190.0,16
roberta-large@sst2-21,13470,30,766.3455929756165,14236.345592975616,1,84190.0,4
roberta-large@qqp-22,14031,9,3895.3455929756165,17926.345592975616,1,909620.0,8
roberta-large@qqp-23,14109,51,3937.3455929756165,18046.345592975616,1,909620.0,8
roberta-large@sst2-24,14275,5,2761.3455929756165,17036.345592975616,1,84190.0,1
roberta-large@rte-25,16030,50,262.34559297561646,16292.345592975616,1,4984.0,1
roberta-large@mrpc-26,17132,28,377.34559297561646,17509.345592975616,1,9170,1
roberta-large@sst2-27,19137,3,412.34559297561646,19549.345592975616,1,84190.0,8
roberta-large@sst2-28,19137,3,412.34559297561646,19549.345592975616,1,84190.0,8
roberta-large@sst2-29,19247,13,422.34559297561646,19669.345592975616,1,84190.0,8
roberta-large@qnli-30,20006,34,3924.3455929756165,23930.345592975616,1,235674.0,2
roberta-large@stsb-31,21258,42,507.34559297561646,21765.345592975616,1,12942.0,1
roberta-large@sst2-32,21548,52,461.34559297561646,22009.345592975616,1,84190.0,8
roberta-large@qnli-33,21548,52,1095.3455929756165,22643.345592975616,1,235674.0,8
roberta-large@mrpc-34,21891,9,358.34559297561646,22249.345592975616,1,9170,1
roberta-large@qnli-35,22260,0,1043.3455929756165,23303.345592975616,1,235674.0,8
roberta-large@wnli-36,22395,45,146.34559297561646,22541.345592975616,1,1590.0,1
roberta-large@qnli-37,22654,866,1909.3455929756165,24563.345592975616,1,235674.0,8
roberta-large@sst2-38,22654,26,435.34559297561646,23089.345592975616,1,84190.0,8
roberta-large@sst2-39,22655,25,434.34559297561646,23089.345592975616,1,84190.0,8
roberta-large@sst2-40,22655,445,854.3455929756165,23509.345592975616,1,84190.0,8
roberta-large@qnli-41,22655,1285,2328.3455929756165,24983.345592975616,1,235674.0,8
roberta-large@sst2-42,22655,445,854.3455929756165,23509.345592975616,1,84190.0,8
roberta-large@sst2-43,22655,685,1094.3455929756165,23749.345592975616,1,84190.0,8
roberta-large@sst2-44,23166,354,763.3455929756165,23929.345592975616,1,84190.0,8
roberta-large@sst2-45,23298,462,871.3455929756165,24169.345592975616,1,84190.0,8
roberta-large@qnli-46,23833,107,1150.3455929756165,24983.345592975616,1,235674.0,8
roberta-large@qnli-47,24715,5,7664.3455929756165,32379.345592975616,1,235674.0,1
roberta-large@sst2-48,25326,54,463.34559297561646,25789.345592975616,1,84190.0,8
roberta-large@sst2-49,25475,25,434.34559297561646,25909.345592975616,1,84190.0,8
roberta-large@rte-50,25946,34,246.34559297561646,26192.345592975616,1,4984.0,1
roberta-large@wnli-51,26099,1,102.34559297561646,26201.345592975616,1,1590.0,1
roberta-large@stsb-52,26344,56,521.3455929756165,26865.345592975616,1,12942.0,1
roberta-large@qnli-53,26539,41,7700.3455929756165,34239.34559297562,1,235674.0,1
roberta-large@qnli-54,26857,23,3913.3455929756165,30770.345592975616,1,235674.0,2
roberta-large@qnli-55,27150,90,1133.3455929756165,28283.345592975616,1,235674.0,8
roberta-large@wnli-56,27157,23,124.34559297561646,27281.345592975616,1,1590.0,1
roberta-large@sst2-57,28092,48,457.34559297561646,28549.345592975616,1,84190.0,8
roberta-large@qnli-58,28092,228,1271.3455929756165,29363.345592975616,1,235674.0,8
roberta-large@sst2-59,28093,47,456.34559297561646,28549.345592975616,1,84190.0,8
