name,finish_time_fairness
roberta-large@mrpc-0,0.34638
roberta-large@qnli-1,0.31477
roberta-large@sst2-2,0.31885
roberta-large@qnli-3,0.24428
roberta-large@qnli-4,0.2912
roberta-large@sst2-5,0.31059
roberta-large@qnli-6,0.19122
roberta-large@mnli-7,0.29785
roberta-large@qqp-8,0.28662
roberta-large@mnli-9,0.29914
roberta-large@qnli-10,0.24527
roberta-large@sst2-11,0.30667
roberta-large@wnli-12,0.49691
roberta-large@rte-13,0.26841
roberta-large@rte-14,0.27169
roberta-large@qnli-15,0.28912
roberta-large@qnli-16,0.31526
roberta-large@rte-17,0.26841
roberta-large@wnli-18,0.35332
roberta-large@mrpc-19,0.39106
roberta-large@wnli-20,0.3499
roberta-large@qnli-21,0.3151
roberta-large@wnli-22,0.44221
roberta-large@mrpc-23,0.36824
roberta-large@sst2-24,0.3079
roberta-large@mnli-25,0.24697
roberta-large@rte-26,0.45903
roberta-large@rte-27,0.23669
roberta-large@stsb-28,0.39697
roberta-large@sst2-29,1.83965
roberta-large@stsb-30,0.57242
roberta-large@rte-31,0.26732
roberta-large@sst2-32,0.32146
roberta-large@rte-33,0.37344
roberta-large@qqp-34,0.19786
roberta-large@qqp-35,0.19701
roberta-large@sst2-36,0.33697
roberta-large@rte-37,0.28701
roberta-large@mrpc-38,0.35874
roberta-large@snli-39,0.26796
roberta-large@wnli-40,0.36357
roberta-large@qnli-41,0.19068
roberta-large@qqp-42,0.22305
roberta-large@sst2-43,0.27404
roberta-large@sst2-44,0.48006
roberta-large@qnli-45,0.29075
roberta-large@stsb-46,0.39386
roberta-large@qnli-47,0.27606
roberta-large@sst2-48,0.30661
roberta-large@qnli-49,0.27588
roberta-large@sst2-50,0.30661
roberta-large@mrpc-51,0.39771
roberta-large@qnli-52,0.57227
roberta-large@wnli-53,0.50033
roberta-large@qnli-54,0.56608
roberta-large@sst2-55,0.56845
roberta-large@sst2-56,0.56845
roberta-large@qnli-57,0.577
roberta-large@sst2-58,0.84692
roberta-large@sst2-59,0.84692
roberta-large@qnli-60,0.57682
roberta-large@sst2-61,1.08617
roberta-large@sst2-62,1.12604
roberta-large@sst2-63,1.12604
roberta-large@sst2-64,1.12604
roberta-large@sst2-65,1.3653
roberta-large@sst2-66,1.06557
roberta-large@sst2-67,0.97784
roberta-large@qnli-68,0.57991
roberta-large@qnli-69,0.55898
roberta-large@qnli-70,0.36174
roberta-large@qnli-71,0.3624
roberta-large@stsb-72,0.85422
roberta-large@sst2-73,0.62694
roberta-large@sst2-74,0.80704
roberta-large@rte-75,0.26951
roberta-large@mrpc-76,0.36444
roberta-large@wnli-77,0.55503
roberta-large@stsb-78,0.40473
roberta-large@qnli-79,0.31481
roberta-large@qnli-80,0.28994
roberta-large@qnli-81,0.20633
roberta-large@wnli-82,0.42511
roberta-large@sst2-83,0.29531
roberta-large@qnli-84,0.31432
roberta-large@sst2-85,0.30395
roberta-large@qnli-86,0.23146
roberta-large@qnli-87,0.27515
roberta-large@sst2-88,0.30328
roberta-large@qnli-89,0.27497
