name,finish_time_fairness
vit-large@frgfm#imagenette-0,0.07526
vit-large@imagenet-split-1-1,0.07095
vit-large@Bingsu#Cat_and_Dog-2,0.13126
vit-large@food101-3,0.08681
vit-large@imagenet-split-0-4,0.06991
vit-large@Bingsu#Cat_and_Dog-5,0.15491
vit-large@imagenet-split-2-6,0.06874
vit-large@imagenet-split-1-7,0.08118
vit-large@imagenet-split-1-8,0.07321
vit-large@imagenet-split-2-9,0.06847
vit-large@mnist-10,0.08569
vit-large@mnist-11,0.14459
vit-large@imagenet-split-0-12,0.07509
vit-large@frgfm#imagenette-13,0.07613
vit-large@frgfm#imagenette-14,0.0799
vit-large@frgfm#imagenette-15,0.07424
vit-large@Bingsu#Cat_and_Dog-16,0.13717
vit-large@mnist-17,0.08114
vit-large@fashion_mnist-18,0.08114
vit-large@food101-19,0.08559
vit-large@food101-20,0.0679
vit-large@fashion_mnist-21,0.14495
vit-large@imagenet-split-2-22,0.06883
vit-large@food101-23,0.06905
vit-large@mnist-24,0.08167
vit-large@frgfm#imagenette-25,0.07453
vit-large@imagenet-split-0-26,0.0721
vit-large@cifar100-27,0.08032
vit-large@imagenet-split-1-28,0.07594
vit-large@cifar100-29,0.07084
vit-large@imagenet-split-1-30,0.08414
vit-large@cifar100-31,0.06868
vit-large@cifar100-32,0.07543
vit-large@mnist-33,0.10902
vit-large@mnist-34,0.068
vit-large@imagenet-split-0-35,0.11998
vit-large@Bingsu#Cat_and_Dog-36,0.17265
vit-large@cifar100-37,0.07304
vit-large@Bingsu#Cat_and_Dog-38,0.14147
vit-large@imagenet-split-1-39,0.09727
vit-large@imagenet-split-0-40,0.07129
vit-large@imagenet-split-1-41,0.10677
vit-large@Bingsu#Cat_and_Dog-42,0.14308
vit-large@Bingsu#Cat_and_Dog-43,0.14631
vit-large@cifar100-44,0.07164
vit-large@imagenet-split-2-45,0.09789
vit-large@cifar100-46,0.06886
vit-large@Bingsu#Cat_and_Dog-47,0.1404
vit-large@frgfm#imagenette-48,0.07802
vit-large@frgfm#imagenette-49,0.07787
vit-large@food101-50,0.11959
vit-large@frgfm#imagenette-51,0.07337
vit-large@frgfm#imagenette-52,0.08208
vit-large@frgfm#imagenette-53,0.08208
vit-large@frgfm#imagenette-54,0.08208
vit-large@frgfm#imagenette-55,0.08208
vit-large@frgfm#imagenette-56,0.08194
vit-large@Bingsu#Cat_and_Dog-57,0.12427
vit-large@imagenet-split-0-58,0.07021
vit-large@Bingsu#Cat_and_Dog-59,0.13072
vit-large@frgfm#imagenette-60,0.08586
vit-large@frgfm#imagenette-61,0.0786
vit-large@Bingsu#Cat_and_Dog-62,0.14147
vit-large@food101-63,0.06766
vit-large@food101-64,0.06764
vit-large@food101-65,0.0689
vit-large@frgfm#imagenette-66,0.08334
vit-large@frgfm#imagenette-67,0.09794
