full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,31,0,1,1
32,27,0,2,1
32,27,0,2,0
32,27,0,2,0
32,27,0,2,0
32,27,0,2,0
32,28,0,1,0
32,28,0,1,0
32,27,0,2,1
32,27,0,2,0
32,27,0,2,0
32,27,0,2,0
32,26,0,3,1
32,22,0,3,1
32,23,0,2,0
32,23,0,2,0
32,23,0,2,0
32,24,0,1,0
32,24,0,1,0
32,24,0,1,0
32,24,0,1,0
32,23,0,2,1
32,22,0,3,1
32,22,0,3,0
32,22,0,3,0
32,22,0,3,0
32,14,0,4,1
32,15,0,3,0
32,15,0,3,0
32,14,0,4,1
32,14,0,4,0
32,14,0,4,0
32,14,0,4,0
32,6,0,5,1
32,7,0,4,0
32,7,0,4,0
32,8,0,3,0
32,0,0,4,1
32,0,2,4,2
32,0,3,4,1
32,0,3,4,0
32,4,1,5,0
32,3,0,6,0
32,3,1,6,1
32,3,2,6,1
32,3,2,6,0
32,7,1,6,0
32,7,1,6,0
32,7,0,6,0
32,7,0,6,0
32,3,2,7,3
32,3,2,7,0
32,3,2,7,0
32,3,2,7,0
32,3,2,7,0
32,7,3,6,1
32,7,3,6,0
32,3,3,7,1
32,7,3,6,0
32,7,3,6,0
32,6,2,7,0
32,6,2,7,0
32,6,2,7,0
32,6,2,7,0
32,6,3,7,1
32,6,3,7,0
32,6,3,7,1
32,4,3,8,1
32,4,3,8,0
32,0,1,8,0
32,0,2,8,1
32,0,1,9,1
32,0,0,9,0
32,0,0,9,0
32,0,0,9,0
32,0,0,9,0
32,1,0,8,0
32,3,0,6,0
32,3,0,6,0
32,4,0,5,0
32,6,2,4,2
32,2,3,5,2
32,2,3,5,0
32,2,3,5,0
32,0,2,6,1
32,0,2,6,0
32,0,2,6,0
32,0,2,6,0
32,0,3,6,1
32,0,4,6,1
32,7,3,6,0
32,7,1,6,0
32,7,1,6,0
32,7,1,6,0
32,7,1,6,0
32,0,0,6,0
32,0,1,6,1
32,7,0,6,0
32,7,0,6,0
32,7,0,6,0
32,3,0,8,2
32,11,1,7,1
32,9,0,8,0
32,14,0,6,0
32,14,0,6,0
32,14,0,6,0
32,16,0,5,0
32,7,0,7,2
32,7,0,7,0
32,7,0,7,0
32,7,0,7,0
32,7,0,7,0
32,7,0,7,0
32,14,0,7,1
32,15,0,7,1
32,15,0,7,0
32,10,0,9,2
32,10,0,9,0
32,10,0,9,0
32,10,0,9,1
32,5,1,11,3
32,1,0,12,0
32,1,2,12,2
32,1,3,12,1
32,1,5,12,2
32,2,4,11,1
32,2,5,11,2
32,2,6,11,1
32,0,6,12,1
32,0,4,13,1
32,2,5,12,2
32,2,5,12,0
32,0,6,12,2
32,0,7,12,1
32,0,7,15,4
32,0,8,15,2
32,0,10,15,3
32,0,15,15,5
32,0,15,15,0
32,0,12,16,2
32,0,10,16,1
32,0,7,16,0
32,0,7,16,0
32,0,7,16,0
32,0,6,16,0
32,0,6,16,2
32,0,9,16,3
32,0,10,16,1
32,0,12,16,2
32,0,12,16,0
32,0,8,19,1
32,0,7,18,1
32,0,8,18,1
32,2,4,21,1
32,1,3,21,0
32,4,3,18,0
32,5,3,17,0
32,5,3,17,0
32,8,15,17,13
32,8,14,17,1
32,8,15,17,1
32,0,8,25,1
32,0,8,25,0
32,2,4,26,0
32,4,4,24,0
32,4,5,24,1
32,5,5,23,0
32,10,5,16,1
32,12,4,15,0
32,16,4,11,0
32,16,6,11,2
32,16,6,11,0
32,15,5,12,0
32,8,6,12,2
32,9,7,11,1
32,6,5,13,0
32,2,13,15,10
32,1,11,16,0
32,1,10,16,0
32,1,9,16,0
32,1,11,16,2
32,2,11,15,0
32,4,11,12,1
32,2,10,13,1
32,1,8,14,0
32,1,8,14,0
32,2,8,13,1
32,1,7,13,0
32,1,7,13,0
32,0,8,13,2
32,0,6,13,0
32,2,6,12,0
32,1,6,12,1
32,3,5,11,0
32,3,5,11,1
32,3,5,11,1
32,7,5,10,0
32,6,4,11,0
32,8,4,10,0
32,8,4,10,0
32,8,9,10,5
32,8,11,10,3
32,8,12,10,1
32,8,11,10,0
32,8,11,10,0
32,8,12,10,1
32,8,10,11,1
32,8,12,11,2
32,0,8,13,0
32,0,8,13,0
32,0,9,13,1
32,0,10,13,1
32,0,9,12,0
32,1,9,11,2
32,1,8,11,0
32,1,7,11,0
32,1,8,11,2
32,3,8,10,0
32,3,8,10,1
32,3,9,10,1
32,1,8,12,1
32,1,7,12,0
32,1,7,12,0
32,2,6,11,0
32,0,8,13,4
32,1,8,12,0
32,2,9,11,1
32,2,9,11,0
32,4,9,10,0
32,4,9,10,0
32,8,9,7,0
32,8,9,7,1
32,4,8,7,0
32,3,8,8,1
32,2,8,9,1
32,1,8,9,1
32,1,8,9,0
32,0,9,10,2
32,1,9,9,0
32,1,9,9,1
32,0,8,10,0
32,0,9,10,1
32,0,10,10,1
32,0,9,10,0
32,0,9,10,0
32,2,9,8,0
32,2,9,8,0
32,2,9,8,0
32,1,8,9,0
32,2,9,8,1
32,2,9,8,0
32,2,12,8,3
32,2,14,8,2
32,2,14,8,0
32,4,14,7,0
32,2,15,7,2
32,2,15,7,0
32,2,10,10,0
32,0,10,12,2
32,0,10,12,0
32,0,10,12,0
32,2,10,11,0
32,2,9,11,0
32,2,9,11,0
32,2,9,11,0
32,6,9,10,0
32,2,8,10,0
32,1,10,11,3
32,0,10,12,1
32,1,10,11,0
32,1,10,11,0
32,1,9,11,0
32,1,8,11,0
32,2,9,10,1
32,4,9,9,0
32,3,8,10,0
32,3,7,10,0
32,3,7,10,0
32,3,7,10,0
32,3,9,10,2
32,3,9,10,0
32,3,8,10,0
32,4,7,9,0
32,3,7,10,1
32,3,7,10,0
32,1,9,12,4
32,0,8,13,0
32,3,9,11,1
32,1,8,12,1
32,2,8,11,0
32,2,8,11,0
32,17,8,7,0
32,18,8,6,0
32,16,8,7,1
32,8,7,7,0
32,8,6,7,0
32,8,6,7,0
32,8,7,7,1
32,8,7,7,0
32,0,5,8,0
32,1,5,7,0
32,3,5,5,0
32,1,3,7,1
32,0,3,8,1
32,1,4,7,1
32,1,3,7,0
32,0,4,8,2
32,0,4,8,0
32,0,3,8,0
32,0,5,8,2
32,0,6,8,1
32,0,2,9,0
32,0,2,9,0
32,0,3,9,2
32,0,3,9,0
32,0,3,9,0
32,0,3,9,0
32,0,2,9,0
32,1,8,8,7
32,1,8,8,0
32,0,19,9,12
32,0,20,9,1
