name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-base@mrpc-0,45,15,177.39900946617126,222.39900946617126,1,9170,1
roberta-base@qnli-1,92,28,819.3990094661713,911.3990094661713,1,261860,4
roberta-base@wnli-2,766,14,76.39900946617126,842.3990094661713,1,159.0,1
roberta-base@snli-3,786,54,2816.3990094661713,3602.3990094661713,1,1373440,8
roberta-base@qnli-4,1280,40,3004.3990094661713,4284.399009466171,1,261860,1
roberta-base@wnli-5,1322,58,120.39900946617126,1442.3990094661713,1,159.0,1
roberta-base@qqp-6,1987,53,5232.399009466171,7219.399009466171,1,909620.0,2
roberta-base@qnli-7,2229,51,543.3990094661713,2772.3990094661713,1,261860,8
roberta-base@qnli-8,2634,66,857.3990094661713,3491.3990094661713,1,261860,4
roberta-base@mnli-9,2660,40,4942.399009466171,7602.399009466171,1,883584.0,2
roberta-base@qnli-10,3002,418,910.3990094661713,3912.3990094661713,1,261860,8
roberta-base@sst2-11,3002,58,396.39900946617126,3398.3990094661713,1,168380,8
roberta-base@sst2-12,3014,46,576.3990094661713,3590.3990094661713,1,168380,4
roberta-base@wnli-13,3459,21,83.39900946617126,3542.3990094661713,1,159.0,1
roberta-base@rte-14,3853,47,166.39900946617126,4019.3990094661713,1,4984.0,1
roberta-base@rte-15,4072,8,127.39900946617126,4199.399009466171,1,4984.0,1
roberta-base@wnli-16,4295,25,87.39900946617126,4382.399009466171,1,159.0,1
roberta-base@qnli-17,4853,7,499.39900946617126,5352.399009466171,1,261860,8
roberta-base@qnli-18,4853,7,499.39900946617126,5352.399009466171,1,261860,8
roberta-base@mnli-19,4906,14,1435.3990094661713,6341.399009466171,1,883584.0,8
roberta-base@mnli-20,4906,14,4916.399009466171,9822.399009466171,1,883584.0,2
roberta-base@qnli-21,5098,302,794.3990094661713,5892.399009466171,1,261860,8
roberta-base@qqp-22,6003,57,5236.399009466171,11239.399009466171,1,909620.0,2
roberta-base@mnli-23,6111,69,4971.399009466171,11082.399009466171,1,883584.0,2
roberta-base@qnli-24,6467,13,505.39900946617126,6972.399009466171,1,261860,8
roberta-base@wnli-25,7190,10,72.39900946617126,7262.399009466171,1,159.0,1
roberta-base@qnli-26,7246,74,865.3990094661713,8111.399009466171,1,261860,4
roberta-base@sst2-27,7246,14,544.3990094661713,7790.399009466171,1,168380,4
roberta-base@sst2-28,7328,52,582.3990094661713,7910.399009466171,1,168380,4
roberta-base@sst2-29,7430,10,540.3990094661713,7970.399009466171,1,168380,4
roberta-base@qnli-30,7490,10,801.3990094661713,8291.399009466171,1,261860,4
roberta-base@sst2-31,7516,44,1972.3990094661713,9488.399009466171,1,168380,1
roberta-base@qnli-32,7670,130,921.3990094661713,8591.399009466171,1,261860,4
roberta-base@qnli-33,7719,201,992.3990094661713,8711.399009466171,1,261860,4
roberta-base@sst2-34,7774,86,2014.3990094661713,9788.399009466171,1,168380,1
roberta-base@sst2-35,7814,226,756.3990094661713,8570.399009466171,1,168380,4
roberta-base@stsb-36,7949,31,244.39900946617126,8193.399009466171,1,12942.0,1
roberta-base@sst2-37,8044,116,2044.3990094661713,10088.399009466171,1,168380,1
roberta-base@rte-38,8067,33,152.39900946617126,8219.399009466171,1,4984.0,1
roberta-base@sst2-39,8169,51,581.3990094661713,8750.399009466171,1,168380,4
roberta-base@qnli-40,8264,16,2980.3990094661713,11244.399009466171,1,261860,1
roberta-base@qnli-41,8267,13,2977.3990094661713,11244.399009466171,1,261860,1
roberta-base@rte-42,8364,36,155.39900946617126,8519.399009466171,1,4984.0,1
roberta-base@stsb-43,8718,42,255.39900946617126,8973.399009466171,1,12942.0,1
roberta-base@qnli-44,8748,72,1605.3990094661713,10353.399009466171,1,261860,2
roberta-base@qqp-45,8767,173,2023.3990094661713,10790.399009466171,1,909620.0,8
roberta-base@qnli-46,8768,52,3016.3990094661713,11784.399009466171,1,261860,1
roberta-base@stsb-47,8909,31,244.39900946617126,9153.399009466171,1,12942.0,1
roberta-base@wnli-48,9026,34,96.39900946617126,9122.399009466171,1,159.0,1
roberta-base@wnli-49,9147,33,95.39900946617126,9242.399009466171,1,159.0,1
roberta-base@snli-50,9491,349,3111.3990094661713,12602.399009466171,1,1373440,8
roberta-base@wnli-51,9538,2,64.39900946617126,9602.399009466171,1,159.0,1
roberta-base@mrpc-52,9538,2,164.39900946617126,9702.399009466171,1,9170,1
roberta-base@mrpc-53,9538,2,164.39900946617126,9702.399009466171,1,9170,1
roberta-base@stsb-54,9538,62,275.39900946617126,9813.399009466171,1,12942.0,1
