name,finish_time_fairness
roberta-base@mrpc-0,0.17392
roberta-base@qnli-1,0.07483
roberta-base@wnli-2,2.54663
roberta-base@snli-3,0.07585
roberta-base@qnli-4,0.10346
roberta-base@wnli-5,4.0133
roberta-base@qqp-6,0.0682
roberta-base@qnli-7,0.08847
roberta-base@qnli-8,0.0783
roberta-base@mnli-9,0.09074
roberta-base@qnli-10,0.14821
roberta-base@sst2-11,0.10029
roberta-base@sst2-12,0.08185
roberta-base@wnli-13,2.77997
roberta-base@rte-14,0.18802
roberta-base@rte-15,0.14395
roberta-base@wnli-16,2.9133
roberta-base@qnli-17,0.0813
roberta-base@qnli-18,0.0813
roberta-base@mnli-19,0.07294
roberta-base@mnli-20,0.09027
roberta-base@qnli-21,0.12933
roberta-base@qqp-22,0.06825
roberta-base@mnli-23,0.09128
roberta-base@qnli-24,0.08228
roberta-base@wnli-25,2.4133
roberta-base@qnli-26,0.07903
roberta-base@sst2-27,0.0773
roberta-base@sst2-28,0.0827
roberta-base@sst2-29,0.07673
roberta-base@qnli-30,0.07319
roberta-base@sst2-31,0.10562
roberta-base@qnli-32,0.08415
roberta-base@qnli-33,0.09063
roberta-base@sst2-34,0.10787
roberta-base@sst2-35,0.1074
roberta-base@stsb-36,0.10684
roberta-base@sst2-37,0.10947
roberta-base@rte-38,0.1722
roberta-base@sst2-39,0.08256
roberta-base@qnli-40,0.10263
roberta-base@qnli-41,0.10253
roberta-base@rte-42,0.17559
roberta-base@stsb-43,0.11165
roberta-base@qnli-44,0.09694
roberta-base@qqp-45,0.08228
roberta-base@qnli-46,0.10387
roberta-base@stsb-47,0.10684
roberta-base@wnli-48,3.2133
roberta-base@wnli-49,3.17997
roberta-base@snli-50,0.08379
roberta-base@wnli-51,2.14663
roberta-base@mrpc-52,0.16118
roberta-base@mrpc-53,0.16118
roberta-base@stsb-54,0.12039
roberta-base@rte-55,0.13717
roberta-base@wnli-56,2.1133
roberta-base@wnli-57,2.1133
roberta-base@qnli-58,0.10373
roberta-base@mrpc-59,0.17196
roberta-base@wnli-60,5.0133
roberta-base@rte-61,0.17785
roberta-base@wnli-62,3.17997
roberta-base@snli-63,0.06726
roberta-base@mnli-64,0.09005
roberta-base@snli-65,0.06881
roberta-base@rte-66,0.36595
roberta-base@rte-67,0.368
roberta-base@mrpc-68,0.24658
roberta-base@rte-69,0.23661
roberta-base@rte-70,0.13943
roberta-base@stsb-71,0.1134
roberta-base@rte-72,0.16542
roberta-base@stsb-73,0.11121
roberta-base@snli-74,0.07542
roberta-base@wnli-75,5.47997
roberta-base@sst2-76,1.89449
roberta-base@stsb-77,0.10728
roberta-base@qnli-78,0.10397
roberta-base@rte-79,0.17107
roberta-base@qnli-80,0.17364
roberta-base@qqp-81,0.08011
roberta-base@wnli-82,2.37997
roberta-base@qqp-83,0.07466
roberta-base@sst2-84,0.10508
roberta-base@qqp-85,0.10903
roberta-base@sst2-86,0.11959
roberta-base@rte-87,0.39141
roberta-base@qnli-88,0.12168
roberta-base@sst2-89,0.11065
roberta-base@qnli-90,0.1557
roberta-base@rte-91,0.3948
roberta-base@wnli-92,3.64663
roberta-base@stsb-93,0.13132
roberta-base@sst2-94,0.10105
roberta-base@wnli-95,3.44663
roberta-base@mrpc-96,0.18667
roberta-base@wnli-97,2.27997
roberta-base@sst2-98,0.10032
roberta-base@qqp-99,0.07593
roberta-base@wnli-100,4.04663
roberta-base@mrpc-101,0.1749
roberta-base@wnli-102,3.84663
roberta-base@snli-103,0.07563
roberta-base@stsb-104,0.09635
roberta-base@rte-105,0.14056
roberta-base@qnli-106,0.08081
roberta-base@qnli-107,0.25664
roberta-base@qnli-108,0.28594
roberta-base@qqp-109,0.06911
roberta-base@sst2-110,0.08638
roberta-base@stsb-111,0.11471
roberta-base@sst2-112,0.14963
roberta-base@sst2-113,0.19517
roberta-base@sst2-114,0.24071
roberta-base@qnli-115,0.32648
roberta-base@qnli-116,0.35578
roberta-base@sst2-117,0.286
roberta-base@wnli-118,3.2133
roberta-base@sst2-119,0.11965
roberta-base@mnli-120,0.09284
roberta-base@wnli-121,3.84663
roberta-base@sst2-122,0.11718
roberta-base@sst2-123,0.12784
roberta-base@rte-124,0.14621
roberta-base@sst2-125,0.09397
roberta-base@sst2-126,0.12433
roberta-base@stsb-127,0.11165
roberta-base@qnli-128,0.10714
roberta-base@qnli-129,0.27438
roberta-base@qnli-130,0.32322
roberta-base@sst2-131,0.09903
roberta-base@sst2-132,0.11421
roberta-base@sst2-133,0.19011
roberta-base@sst2-134,0.20503
roberta-base@qnli-135,0.36213
roberta-base@sst2-136,0.28094
roberta-base@sst2-137,0.29612
roberta-base@sst2-138,0.37202
roberta-base@qnli-139,0.41097
roberta-base@qnli-140,0.45004
roberta-base@qnli-141,0.49888
roberta-base@qnli-142,0.53796
roberta-base@qnli-143,0.55749
roberta-base@rte-144,0.21288
roberta-base@qnli-145,0.82253
roberta-base@mrpc-146,0.26216
roberta-base@qnli-147,0.75839
roberta-base@sst2-148,0.59314
roberta-base@qnli-149,0.76816
roberta-base@qnli-150,0.85607
roberta-base@sst2-151,0.65386
roberta-base@sst2-152,0.68422
roberta-base@qnli-153,0.90491
roberta-base@sst2-154,0.68422
roberta-base@sst2-155,0.69915
roberta-base@sst2-156,0.74469
roberta-base@qnli-157,0.94382
roberta-base@sst2-158,0.77505
roberta-base@sst2-159,0.77505
roberta-base@sst2-160,0.79023
roberta-base@qnli-161,0.99266
roberta-base@qnli-162,1.03173
roberta-base@qnli-163,1.08057
roberta-base@qnli-164,1.10011
roberta-base@sst2-165,0.86614
roberta-base@qnli-166,1.11964
roberta-base@qnli-167,1.16848
roberta-base@sst2-168,0.86614
roberta-base@qnli-169,1.18802
roberta-base@sst2-170,0.88132
roberta-base@sst2-171,0.95722
roberta-base@qnli-172,1.20755
roberta-base@sst2-173,0.95696
roberta-base@wnli-174,2.87997
roberta-base@wnli-175,2.3133
roberta-base@sst2-176,0.84311
roberta-base@sst2-177,0.91901
roberta-base@rte-178,0.19028
roberta-base@stsb-179,0.15537
roberta-base@sst2-180,0.88562
roberta-base@qnli-181,1.17125
roberta-base@sst2-182,0.9008
roberta-base@wnli-183,2.6133
roberta-base@mnli-184,0.14001
roberta-base@qnli-185,1.12322
roberta-base@sst2-186,0.18985
roberta-base@sst2-187,0.85829
roberta-base@sst2-188,0.15879
roberta-base@qnli-189,0.13958
