full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,31,0,1,1
32,27,0,2,1
32,27,0,2,0
32,27,0,2,0
32,27,0,2,0
32,27,0,2,0
32,27,0,2,0
32,27,0,2,0
32,27,0,2,0
32,28,0,1,0
32,28,0,1,0
32,28,0,1,0
32,27,0,2,1
32,19,0,3,1
32,19,0,3,0
32,19,0,3,0
32,20,0,2,0
32,20,0,2,0
32,20,0,2,0
32,20,0,2,0
32,20,0,2,0
32,23,0,2,1
32,22,0,3,1
32,22,0,3,0
32,22,0,3,0
32,22,0,3,0
32,15,0,3,1
32,15,0,3,0
32,15,0,3,0
32,14,0,4,1
32,14,0,4,0
32,14,0,4,0
32,14,0,4,0
32,13,0,4,1
32,13,0,4,0
32,13,0,4,0
32,13,0,4,0
32,5,0,5,1
32,3,0,6,1
32,3,0,6,0
32,3,0,6,0
32,3,0,6,0
32,11,0,5,0
32,11,1,5,1
32,5,0,7,1
32,5,0,7,0
32,5,0,7,0
32,5,0,7,0
32,5,0,7,0
32,5,0,7,0
32,1,1,8,3
32,2,1,7,0
32,2,1,7,0
32,2,1,7,0
32,2,1,7,0
32,2,2,7,1
32,2,2,7,0
32,2,3,7,1
32,1,2,8,0
32,1,2,8,0
32,1,1,8,0
32,1,1,8,0
32,1,1,8,0
32,3,0,7,0
32,6,0,7,1
32,6,0,7,0
32,14,0,6,0
32,14,0,6,1
32,14,0,6,0
32,14,0,6,0
32,13,0,7,1
32,12,0,8,1
32,12,0,8,0
32,13,0,7,0
32,14,0,6,0
32,15,0,5,0
32,24,0,3,0
32,24,0,3,0
32,24,0,3,0
32,24,0,3,0
32,8,0,5,2
32,4,0,7,2
32,4,0,7,0
32,8,0,6,0
32,0,0,7,1
32,0,0,7,0
32,2,0,6,0
32,2,0,6,0
32,2,0,6,0
32,2,0,6,0
32,2,0,6,0
32,4,0,5,0
32,4,0,5,0
32,4,0,5,0
32,4,0,5,0
32,4,0,5,0
32,20,0,3,0
32,20,0,3,0
32,20,0,3,0
32,20,0,3,0
32,26,0,3,1
32,26,1,3,1
32,24,0,4,0
32,24,0,4,0
32,24,0,4,0
32,24,0,4,0
32,24,0,4,0
32,15,0,6,2
32,15,0,6,0
32,15,0,6,0
32,15,0,6,0
32,15,0,6,0
32,15,0,6,0
32,14,0,7,1
32,13,0,8,1
32,13,0,8,0
32,12,0,9,1
32,12,0,9,0
32,12,0,9,0
32,11,0,10,1
32,7,1,11,2
32,7,1,11,0
32,4,1,11,1
32,4,0,12,1
32,4,1,12,1
32,3,1,13,1
32,3,1,13,0
32,3,2,13,1
32,0,2,13,1
32,1,3,12,1
32,1,4,12,1
32,1,4,12,0
32,0,4,13,1
32,0,4,13,1
32,0,7,13,3
32,1,4,14,0
32,2,5,13,1
32,0,7,15,4
32,0,6,15,0
32,0,6,15,2
32,0,6,15,0
32,0,6,15,0
32,0,6,15,0
32,0,4,15,0
32,0,4,15,0
32,0,6,15,2
32,1,5,17,2
32,0,5,18,1
32,0,6,18,2
32,0,6,18,0
32,0,6,18,1
32,0,6,18,0
32,0,7,18,1
32,0,5,19,0
32,0,3,19,0
32,0,3,19,0
32,0,1,19,0
32,1,1,18,0
32,0,7,20,9
32,0,7,20,0
32,0,8,20,1
32,0,9,20,1
32,0,7,20,0
32,0,2,23,0
32,0,2,23,0
32,0,2,23,0
32,1,1,22,0
32,2,1,21,1
32,6,1,20,0
32,5,0,21,0
32,5,0,21,0
32,6,0,20,0
32,11,0,15,0
32,13,1,15,2
32,13,1,15,1
32,14,1,14,0
32,9,3,17,6
32,7,2,18,0
32,8,2,17,0
32,6,1,18,0
32,5,2,18,2
32,5,2,18,0
32,5,2,18,0
32,8,2,16,0
32,8,2,16,0
32,9,2,15,0
32,11,3,14,1
32,9,2,15,0
32,9,2,15,0
32,8,3,16,2
32,6,2,17,0
32,6,2,17,0
32,6,2,17,0
32,10,2,14,0
32,10,3,14,1
32,2,2,15,1
32,4,2,14,0
32,5,2,13,0
32,4,1,14,0
32,4,1,14,0
32,1,2,17,4
32,0,3,18,2
32,0,3,18,0
32,0,3,18,0
32,1,2,17,0
32,2,2,16,0
32,3,3,15,1
32,3,3,15,1
32,3,3,15,0
32,5,3,13,0
32,5,4,13,1
32,16,4,10,0
32,1,2,10,0
32,0,2,11,1
32,0,2,11,0
32,0,2,11,0
32,0,3,11,1
32,1,3,10,0
32,2,3,10,1
32,2,3,10,0
32,2,4,10,1
32,4,4,8,0
32,5,4,7,0
32,5,4,7,0
32,3,4,9,2
32,3,3,9,0
32,3,4,9,1
32,3,4,9,0
32,3,4,9,0
32,7,4,7,0
32,9,4,6,0
32,9,4,6,1
32,8,3,7,0
32,3,3,6,1
32,6,1,8,1
32,4,1,9,1
32,5,1,8,0
32,4,1,9,1
32,5,1,8,0
32,4,1,9,1
32,4,1,9,0
32,4,1,9,0
32,4,1,9,0
32,4,1,9,0
32,4,1,9,0
32,4,1,9,0
32,4,1,9,0
32,4,0,9,0
32,5,0,8,0
32,5,0,8,0
32,5,0,8,0
32,4,0,9,1
32,4,1,9,1
32,0,0,9,0
32,0,0,9,0
32,0,1,9,1
32,0,1,9,0
32,0,1,9,0
32,7,1,9,1
32,7,1,9,0
32,7,1,9,0
32,7,1,9,0
32,7,1,9,0
32,7,1,9,0
32,8,1,8,0
32,8,1,8,0
32,8,1,8,0
32,6,1,10,2
32,6,1,10,0
32,6,0,10,0
32,6,0,10,0
32,8,0,8,0
32,8,0,8,0
32,8,0,8,0
32,8,0,8,0
32,8,0,8,0
32,8,0,8,0
32,8,0,8,0
32,8,0,8,0
32,7,1,9,2
32,6,0,10,0
32,6,0,10,0
32,6,0,10,0
32,6,1,10,1
32,9,1,8,0
32,6,1,11,4
32,4,0,12,0
32,5,1,11,1
32,6,1,10,0
32,9,1,8,0
32,9,1,8,0
32,9,1,8,0
32,9,1,8,0
32,8,1,9,1
32,11,0,6,0
32,11,0,6,0
32,11,0,6,0
32,10,0,7,1
32,10,0,7,0
32,10,0,7,0
32,10,0,7,0
32,19,0,5,0
32,18,0,5,1
32,17,0,6,1
32,9,0,7,1
32,9,0,7,0
32,8,0,8,1
32,9,0,7,0
32,9,0,7,0
32,9,0,7,0
32,6,0,7,1
32,6,0,7,0
32,6,0,7,0
32,7,0,7,1
32,7,0,7,0
32,7,0,7,0
32,7,0,7,0
32,8,0,6,0
32,8,6,6,6
32,8,6,6,0
32,5,13,8,9
32,5,13,8,0
