name,finish_time_fairness
vit@frgfm#imagenette-0,0.02904
vit@imagenet-split-1-1,0.02826
vit@frgfm#imagenette-2,0.0318
vit@Bingsu#Cat_and_Dog-3,0.04896
vit@Bingsu#Cat_and_Dog-4,0.04611
vit@Bingsu#Cat_and_Dog-5,0.05394
vit@food101-6,0.02814
vit@imagenet-split-0-7,0.02724
vit@Bingsu#Cat_and_Dog-8,0.05394
vit@mnist-9,0.03881
vit@Bingsu#Cat_and_Dog-10,0.05305
vit@imagenet-split-2-11,0.02781
vit@frgfm#imagenette-12,0.03156
vit@imagenet-split-2-13,0.02792
vit@imagenet-split-1-14,0.0342
vit@imagenet-split-2-15,0.0277
vit@food101-16,0.02798
vit@mnist-17,0.0257
vit@imagenet-split-1-18,0.02743
vit@imagenet-split-0-19,0.02982
vit@mnist-20,0.03921
vit@mnist-21,0.04789
vit@mnist-22,0.07741
vit@imagenet-split-0-23,0.03498
vit@imagenet-split-1-24,0.02985
vit@frgfm#imagenette-25,0.0344
vit@mnist-26,0.06036
vit@frgfm#imagenette-27,0.03164
vit@imagenet-split-2-28,0.03519
vit@frgfm#imagenette-29,0.02847
vit@Bingsu#Cat_and_Dog-30,0.06569
vit@Bingsu#Cat_and_Dog-31,0.05875
vit@imagenet-split-0-32,0.05707
vit@food101-33,0.03685
vit@mnist-34,0.05163
vit@fashion_mnist-35,0.04171
vit@food101-36,0.03031
vit@food101-37,0.06928
vit@fashion_mnist-38,0.10292
vit@fashion_mnist-39,0.09633
vit@Bingsu#Cat_and_Dog-40,0.10679
vit@frgfm#imagenette-41,0.05416
vit@imagenet-split-2-42,0.05512
vit@frgfm#imagenette-43,0.03497
vit@imagenet-split-0-44,0.07533
vit@imagenet-split-2-45,0.02856
vit@food101-46,0.17432
vit@food101-47,0.03209
vit@Bingsu#Cat_and_Dog-48,0.05323
vit@imagenet-split-2-49,0.18268
vit@fashion_mnist-50,0.03905
vit@frgfm#imagenette-51,0.03083
vit@mnist-52,0.10388
vit@imagenet-split-0-53,0.04037
vit@frgfm#imagenette-54,0.03367
vit@mnist-55,0.02727
vit@frgfm#imagenette-56,0.02887
vit@fashion_mnist-57,0.0347
vit@fashion_mnist-58,0.07843
vit@cifar100-59,0.04008
vit@imagenet-split-0-60,0.18442
vit@frgfm#imagenette-61,0.03107
vit@frgfm#imagenette-62,0.03351
vit@Bingsu#Cat_and_Dog-63,0.05323
vit@imagenet-split-0-64,0.08145
vit@cifar100-65,0.08793
vit@mnist-66,0.14892
vit@mnist-67,0.15716
vit@imagenet-split-1-68,0.14054
vit@fashion_mnist-69,0.09724
vit@cifar100-70,0.0772
vit@fashion_mnist-71,0.11692
vit@imagenet-split-1-72,0.13667
vit@Bingsu#Cat_and_Dog-73,0.06213
vit@frgfm#imagenette-74,0.04018
vit@imagenet-split-1-75,0.1541
vit@mnist-76,0.19271
vit@Bingsu#Cat_and_Dog-77,0.0575
vit@fashion_mnist-78,0.11473
vit@cifar100-79,0.1017
vit@mnist-80,0.19738
vit@mnist-81,0.19595
vit@frgfm#imagenette-82,0.03481
vit@imagenet-split-0-83,0.11589
vit@imagenet-split-2-84,0.16887
vit@fashion_mnist-85,0.10287
vit@mnist-86,0.19341
vit@frgfm#imagenette-87,0.0314
vit@Bingsu#Cat_and_Dog-88,0.04914
vit@fashion_mnist-89,0.13339
vit@cifar100-90,0.04089
vit@imagenet-split-1-91,0.19217
vit@Bingsu#Cat_and_Dog-92,0.04949
vit@imagenet-split-0-93,0.02999
vit@imagenet-split-1-94,0.2016
vit@fashion_mnist-95,0.0409
vit@imagenet-split-1-96,0.20186
vit@frgfm#imagenette-97,0.03294
vit@imagenet-split-2-98,0.05329
vit@imagenet-split-0-99,0.02733
vit@imagenet-split-1-100,0.03997
vit@imagenet-split-1-101,0.04072
vit@fashion_mnist-102,0.04211
vit@cifar100-103,0.0428
vit@imagenet-split-0-104,0.02833
vit@imagenet-split-1-105,0.04123
vit@Bingsu#Cat_and_Dog-106,0.05003
vit@imagenet-split-1-107,0.04282
vit@fashion_mnist-108,0.28126
vit@Bingsu#Cat_and_Dog-109,0.0511
vit@cifar100-110,0.05653
vit@imagenet-split-2-111,0.05249
vit@cifar100-112,0.05576
vit@Bingsu#Cat_and_Dog-113,0.06053
vit@Bingsu#Cat_and_Dog-114,0.04419
vit@frgfm#imagenette-115,0.03749
vit@Bingsu#Cat_and_Dog-116,0.05982
vit@Bingsu#Cat_and_Dog-117,0.05964
vit@frgfm#imagenette-118,0.04034
vit@fashion_mnist-119,0.05737
vit@frgfm#imagenette-120,0.04026
vit@imagenet-split-1-121,0.30889
vit@food101-122,0.05041
vit@Bingsu#Cat_and_Dog-123,0.07316
vit@imagenet-split-0-124,0.18798
vit@frgfm#imagenette-125,0.067
vit@frgfm#imagenette-126,0.067
vit@frgfm#imagenette-127,0.067
vit@frgfm#imagenette-128,0.067
vit@frgfm#imagenette-129,0.067
vit@frgfm#imagenette-130,0.067
vit@frgfm#imagenette-131,0.07188
vit@Bingsu#Cat_and_Dog-132,0.10804
vit@Bingsu#Cat_and_Dog-133,0.10804
vit@Bingsu#Cat_and_Dog-134,0.10804
vit@frgfm#imagenette-135,0.0718
vit@Bingsu#Cat_and_Dog-136,0.10786
vit@frgfm#imagenette-137,0.0718
vit@Bingsu#Cat_and_Dog-138,0.10786
vit@Bingsu#Cat_and_Dog-139,0.11853
vit@frgfm#imagenette-140,0.0718
vit@Bingsu#Cat_and_Dog-141,0.12761
vit@imagenet-split-0-142,0.04018
vit@Bingsu#Cat_and_Dog-143,0.09932
vit@frgfm#imagenette-144,0.05026
vit@Bingsu#Cat_and_Dog-145,0.09202
vit@imagenet-split-0-146,0.30139
vit@frgfm#imagenette-147,0.04977
vit@frgfm#imagenette-148,0.04961
vit@Bingsu#Cat_and_Dog-149,0.07636
vit@Bingsu#Cat_and_Dog-150,0.06124
vit@Bingsu#Cat_and_Dog-151,0.06729
vit@imagenet-split-1-152,0.30107
vit@mnist-153,0.2742
vit@Bingsu#Cat_and_Dog-154,0.07073
vit@frgfm#imagenette-155,0.04554
vit@Bingsu#Cat_and_Dog-156,0.06017
vit@Bingsu#Cat_and_Dog-157,0.05554
vit@food101-158,0.31925
vit@imagenet-split-2-159,0.0773
vit@food101-160,0.06644
vit@food101-161,0.0832
vit@imagenet-split-2-162,0.25479
vit@food101-163,0.08413
vit@imagenet-split-2-164,0.07799
vit@imagenet-split-2-165,0.08221
vit@imagenet-split-0-166,0.02752
vit@imagenet-split-1-167,0.02597
vit@imagenet-split-0-168,0.07596
vit@Bingsu#Cat_and_Dog-169,0.09238
vit@imagenet-split-1-170,0.03666
vit@frgfm#imagenette-171,0.08469
vit@fashion_mnist-172,0.31928
vit@frgfm#imagenette-173,0.05392
vit@frgfm#imagenette-174,0.04944
vit@frgfm#imagenette-175,0.09312
vit@Bingsu#Cat_and_Dog-176,0.05181
vit@frgfm#imagenette-177,0.10196
vit@Bingsu#Cat_and_Dog-178,0.08099
vit@frgfm#imagenette-179,0.10969
vit@frgfm#imagenette-180,0.0379
vit@frgfm#imagenette-181,0.04131
vit@mnist-182,0.03356
vit@frgfm#imagenette-183,0.04465
vit@Bingsu#Cat_and_Dog-184,0.05857
vit@frgfm#imagenette-185,0.05408
vit@cifar100-186,0.04552
vit@imagenet-split-1-187,0.31957
vit@Bingsu#Cat_and_Dog-188,0.06159
vit@imagenet-split-2-189,1.00367
vit@fashion_mnist-190,0.10325
vit@imagenet-split-1-191,0.04584
vit@mnist-192,0.39484
