full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,31,0,1,1
32,27,0,2,1
32,27,0,2,0
32,27,0,2,0
32,27,0,2,0
32,27,0,2,0
32,28,0,1,0
32,28,0,1,0
32,26,0,3,2
32,26,0,3,0
32,26,0,3,0
32,26,0,3,0
32,25,0,4,1
32,27,0,4,2
32,28,0,3,0
32,28,0,3,0
32,28,0,3,0
32,29,0,2,0
32,30,0,1,0
32,30,0,1,0
32,30,0,1,0
32,29,0,2,1
32,28,0,3,1
32,28,0,3,0
32,28,0,3,0
32,28,0,3,0
32,20,0,4,1
32,21,0,3,0
32,21,0,3,0
32,20,0,4,1
32,20,0,4,0
32,20,0,4,0
32,20,0,4,0
32,18,0,5,1
32,19,0,4,0
32,19,0,4,0
32,19,1,4,2
32,9,0,6,1
32,5,0,8,2
32,4,0,9,1
32,4,0,9,0
32,4,0,9,0
32,5,0,8,0
32,3,0,8,1
32,1,0,9,1
32,1,0,9,0
32,9,0,8,0
32,9,0,8,0
32,17,0,7,0
32,17,0,7,0
32,5,2,9,4
32,5,2,9,0
32,7,2,8,0
32,7,2,8,0
32,7,2,8,0
32,7,2,7,1
32,3,1,8,0
32,3,2,8,1
32,2,1,9,0
32,2,1,9,0
32,2,1,9,0
32,2,1,9,0
32,2,1,9,0
32,2,2,9,1
32,2,2,9,1
32,2,2,9,0
32,2,3,9,1
32,1,3,10,1
32,7,3,8,0
32,7,3,8,0
32,8,4,7,1
32,8,5,7,1
32,8,2,8,0
32,9,3,7,1
32,9,4,7,1
32,9,4,7,0
32,4,3,6,0
32,10,1,4,0
32,6,0,5,0
32,6,0,5,0
32,6,2,5,2
32,6,4,5,2
32,2,3,5,0
32,2,3,5,0
32,0,3,6,1
32,0,3,6,0
32,0,3,6,0
32,0,3,6,0
32,0,3,6,1
32,0,5,6,2
32,0,5,6,0
32,0,5,6,0
32,0,5,6,0
32,0,6,6,1
32,6,4,7,0
32,6,4,7,0
32,6,5,7,1
32,5,4,8,0
32,5,3,8,0
32,6,4,7,1
32,3,5,6,2
32,1,5,7,1
32,0,6,8,2
32,1,6,7,0
32,1,5,7,0
32,1,5,7,0
32,3,3,8,0
32,2,4,9,3
32,2,4,9,0
32,2,4,9,0
32,2,3,9,0
32,6,3,8,0
32,6,4,8,1
32,3,4,8,1
32,3,4,9,2
32,3,4,9,0
32,4,7,9,4
32,2,6,11,1
32,2,5,11,0
32,2,6,11,1
32,2,7,11,3
32,2,9,11,2
32,2,11,11,2
32,3,12,10,1
32,3,14,10,2
32,4,16,9,2
32,4,19,9,4
32,2,18,11,1
32,2,18,11,1
32,2,20,11,2
32,1,21,12,2
32,2,23,11,2
32,1,22,12,2
32,2,22,11,1
32,1,25,12,4
32,0,26,13,2
32,2,28,12,3
32,0,30,15,7
32,0,29,15,0
32,0,30,15,2
32,0,29,16,1
32,1,29,15,0
32,1,29,15,0
32,2,28,14,0
32,2,27,14,0
32,0,26,15,2
32,2,27,16,4
32,1,27,17,1
32,0,27,18,2
32,0,25,19,0
32,0,25,19,1
32,1,26,18,1
32,2,26,17,1
32,4,27,15,1
32,0,24,15,0
32,0,24,15,0
32,0,22,15,0
32,0,22,15,0
32,0,40,15,19
32,0,41,15,1
32,0,41,15,1
32,0,42,15,1
32,0,42,15,0
32,0,44,15,2
32,0,39,18,0
32,0,39,18,1
32,0,31,24,0
32,0,26,31,3
32,0,26,31,0
32,4,25,25,0
32,4,27,25,3
32,0,23,26,0
32,2,21,21,0
32,5,22,17,2
32,4,22,17,1
32,5,22,16,0
32,2,33,17,13
32,4,31,16,1
32,4,32,16,1
32,8,32,15,0
32,8,34,15,2
32,0,30,19,0
32,1,30,17,1
32,2,30,16,1
32,8,30,14,0
32,8,30,14,0
32,8,30,13,1
32,8,28,13,0
32,0,26,14,1
32,0,28,14,2
32,0,27,14,0
32,0,27,14,0
32,0,27,14,1
32,1,25,12,0
32,1,25,12,1
32,1,26,12,1
32,0,25,13,0
32,0,23,13,0
32,4,23,11,0
32,4,22,11,0
32,4,27,11,5
32,4,28,11,3
32,4,28,11,1
32,4,27,11,0
32,4,28,11,1
32,4,27,12,1
32,4,26,12,1
32,4,28,12,3
32,4,28,12,0
32,5,28,11,0
32,5,29,11,1
32,4,27,11,1
32,5,26,9,0
32,4,27,10,2
32,4,26,10,0
32,4,26,10,0
32,4,28,10,2
32,4,28,10,0
32,4,27,10,2
32,4,29,10,2
32,4,28,11,1
32,4,28,11,0
32,4,29,11,1
32,0,27,12,1
32,0,31,12,5
32,0,30,12,0
32,0,30,12,1
32,0,29,12,0
32,0,28,12,0
32,0,28,12,0
32,0,28,12,0
32,0,28,12,1
32,0,27,12,0
32,0,28,12,1
32,2,30,10,2
32,2,31,10,1
32,2,28,11,0
32,0,27,12,2
32,0,27,12,0
32,0,28,12,1
32,0,29,12,1
32,0,29,11,1
32,0,28,11,2
32,0,28,11,0
32,0,28,11,0
32,0,28,11,0
32,0,29,11,1
32,0,26,13,0
32,2,25,11,0
32,0,25,13,2
32,0,26,13,1
32,0,29,13,4
32,0,32,13,3
32,0,30,13,0
32,0,28,13,0
32,0,31,13,3
32,0,30,13,0
32,0,30,13,0
32,0,31,13,2
32,0,31,13,1
32,0,30,13,0
32,0,30,13,0
32,0,30,13,0
32,0,30,13,0
32,2,29,11,0
32,2,29,11,0
32,4,29,10,0
32,4,31,10,3
32,4,32,10,1
32,4,32,10,0
32,4,31,10,0
32,4,31,10,0
32,0,29,13,1
32,0,30,13,1
32,0,30,13,0
32,0,29,13,0
32,0,29,13,0
32,0,27,13,0
32,0,27,13,0
32,0,29,13,3
32,0,28,13,0
32,0,28,13,0
32,0,28,13,1
32,0,29,13,1
32,0,29,13,0
32,0,32,13,4
32,0,28,15,0
32,0,27,15,1
32,0,28,15,1
32,0,30,15,2
32,0,30,15,0
32,0,29,15,0
32,0,27,15,0
32,0,26,16,1
32,0,25,16,0
32,0,25,16,0
32,1,23,17,0
32,12,24,14,1
32,13,24,13,0
32,13,23,13,0
32,12,23,13,1
32,12,23,13,0
32,14,23,12,1
32,12,23,13,1
32,12,23,13,1
32,12,23,13,0
32,13,26,12,3
32,13,25,12,0
32,12,25,13,1
32,12,26,13,2
32,12,28,13,2
32,12,27,13,0
32,13,27,12,0
32,12,28,12,2
32,12,27,12,0
32,4,24,12,0
32,4,24,12,0
32,7,24,10,0
32,3,30,12,8
32,4,30,11,0
32,2,41,12,13
32,2,42,12,1
