name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-base@mrpc-0,45,255,417.39900946617126,462.39900946617126,1,9170,1
roberta-base@qnli-1,786,114,1647.3990094661713,2433.3990094661713,1,261860,2
roberta-base@qnli-2,1280,220,3184.3990094661713,4464.399009466171,1,261860,1
roberta-base@sst2-3,1987,113,1120.3990094661713,3107.3990094661713,1,168380,2
roberta-base@qnli-4,2634,66,857.3990094661713,3491.3990094661713,1,261860,4
roberta-base@qnli-5,2660,40,1573.3990094661713,4233.399009466171,1,261860,2
roberta-base@qnli-6,3002,298,790.3990094661713,3792.3990094661713,1,261860,8
roberta-base@stsb-7,3459,141,354.39900946617126,3813.3990094661713,1,12942.0,1
roberta-base@rte-8,4072,128,247.39900946617126,4319.399009466171,1,4984.0,1
roberta-base@qnli-9,4853,247,739.3990094661713,5592.399009466171,1,261860,8
roberta-base@mnli-10,4906,194,5096.399009466171,10002.399009466171,1,883584.0,2
roberta-base@qqp-11,6003,297,1761.3990094661713,7764.399009466171,1,909620.0,16
roberta-base@mnli-12,6111,189,5091.399009466171,11202.399009466171,1,883584.0,2
roberta-base@qnli-13,7246,254,1045.3990094661713,8291.399009466171,1,261860,4
roberta-base@sst2-14,7328,172,702.3990094661713,8030.399009466171,1,168380,4
roberta-base@wnli-15,7516,284,346.39900946617126,7862.399009466171,1,159.0,1
roberta-base@sst2-16,7774,26,1954.3990094661713,9728.399009466171,1,168380,1
roberta-base@rte-17,8067,33,152.39900946617126,8219.399009466171,1,4984.0,1
roberta-base@sst2-18,8267,133,2061.3990094661713,10328.399009466171,1,168380,1
roberta-base@rte-19,8364,36,155.39900946617126,8519.399009466171,1,4984.0,1
roberta-base@stsb-20,8718,282,495.39900946617126,9213.399009466171,1,12942.0,1
roberta-base@qnli-21,8748,252,1785.3990094661713,10533.399009466171,1,261860,2
roberta-base@qnli-22,8768,232,3196.3990094661713,11964.399009466171,1,261860,1
roberta-base@wnli-23,9147,153,215.39900946617126,9362.399009466171,1,159.0,1
roberta-base@wnli-24,9538,62,124.39900946617126,9662.399009466171,1,159.0,1
roberta-base@mrpc-25,9538,62,224.39900946617126,9762.399009466171,1,9170,1
roberta-base@wnli-26,9538,62,124.39900946617126,9662.399009466171,1,159.0,1
roberta-base@wnli-27,9539,61,123.39900946617126,9662.399009466171,1,159.0,1
roberta-base@qnli-28,9612,288,3252.3990094661713,12864.399009466171,1,261860,1
roberta-base@wnli-29,9707,193,255.39900946617126,9962.399009466171,1,159.0,1
roberta-base@wnli-30,10052,148,210.39900946617126,10262.399009466171,1,159.0,1
roberta-base@rte-31,10462,38,157.39900946617126,10619.399009466171,1,4984.0,1
roberta-base@snli-32,10617,483,3306.7980189323425,13923.798018932343,2,1373440,8
roberta-base@mnli-33,10618,182,1603.3990094661713,12221.399009466171,1,883584.0,8
roberta-base@rte-34,11194,206,299.39900946617126,11493.399009466171,1,4984.0,2
roberta-base@rte-35,11696,4,123.39900946617126,11819.399009466171,1,4984.0,1
roberta-base@stsb-36,11714,286,499.39900946617126,12213.399009466171,1,12942.0,1
roberta-base@stsb-37,12079,221,434.39900946617126,12513.399009466171,1,12942.0,1
roberta-base@snli-38,12082,218,2980.3990094661713,15062.399009466171,1,1373440,8
roberta-base@sst2-39,12456,144,389.39900946617126,12845.399009466171,1,168380,16
roberta-base@stsb-40,13108,92,305.39900946617126,13413.399009466171,1,12942.0,1
roberta-base@rte-41,13468,32,151.39900946617126,13619.399009466171,1,4984.0,1
roberta-base@qnli-42,13470,30,821.3990094661713,14291.399009466171,1,261860,4
roberta-base@wnli-43,13911,189,251.39900946617126,14162.399009466171,1,159.0,1
roberta-base@qqp-44,14031,69,1919.3990094661713,15950.399009466171,1,909620.0,8
roberta-base@qnli-45,14066,34,2998.3990094661713,17064.39900946617,1,261860,1
roberta-base@qqp-46,14109,291,2141.3990094661713,16250.399009466171,1,909620.0,8
roberta-base@sst2-47,14275,125,2053.3990094661713,16328.399009466171,1,168380,1
roberta-base@qnli-48,15165,135,627.3990094661713,15792.399009466171,1,261860,8
roberta-base@sst2-49,15342,258,2186.3990094661713,17528.39900946617,1,168380,1
roberta-base@rte-50,16030,170,289.39900946617126,16319.399009466171,1,4984.0,1
roberta-base@mrpc-51,16773,27,189.39900946617126,16962.39900946617,1,9170,1
roberta-base@mrpc-52,17132,268,430.39900946617126,17562.39900946617,1,9170,1
roberta-base@qnli-53,17159,241,1774.3990094661713,18933.39900946617,1,261860,2
roberta-base@qqp-54,17263,137,5316.399009466171,22579.39900946617,1,909620.0,2
roberta-base@wnli-55,18187,113,175.39900946617126,18362.39900946617,1,159.0,1
roberta-base@sst2-56,18254,46,1053.3990094661713,19307.39900946617,1,168380,2
roberta-base@rte-57,18835,65,184.39900946617126,19019.39900946617,1,4984.0,1
roberta-base@qnli-58,19136,64,556.3990094661713,19692.39900946617,1,261860,8
roberta-base@qqp-59,19137,63,5242.399009466171,24379.39900946617,1,909620.0,2
roberta-base@sst2-60,19137,63,401.39900946617126,19538.39900946617,1,168380,8
roberta-base@stsb-61,19211,289,502.39900946617126,19713.39900946617,1,12942.0,1
roberta-base@sst2-62,19247,253,591.3990094661713,19838.39900946617,1,168380,8
roberta-base@sst2-63,19247,553,891.3990094661713,20138.39900946617,1,168380,8
roberta-base@mnli-64,20006,94,1515.3990094661713,21521.39900946617,1,883584.0,8
roberta-base@stsb-65,21258,42,255.39900946617126,21513.39900946617,1,12942.0,1
roberta-base@qnli-66,21333,267,3231.3990094661713,24564.39900946617,1,261860,1
roberta-base@qnli-67,21547,53,545.3990094661713,22092.39900946617,1,261860,8
roberta-base@qnli-68,21547,53,545.3990094661713,22092.39900946617,1,261860,8
roberta-base@sst2-69,21548,52,390.39900946617126,21938.39900946617,1,168380,8
roberta-base@qnli-70,21548,652,1144.3990094661713,22692.39900946617,1,261860,8
roberta-base@sst2-71,21548,652,990.3990094661713,22538.39900946617,1,168380,8
roberta-base@rte-72,21891,9,128.39900946617126,22019.39900946617,1,4984.0,1
roberta-base@qnli-73,22260,240,732.3990094661713,22992.39900946617,1,261860,8
roberta-base@mrpc-74,22395,105,267.39900946617126,22662.39900946617,1,9170,1
roberta-base@qnli-75,22654,146,638.3990094661713,23292.39900946617,1,261860,8
roberta-base@sst2-76,22654,146,484.39900946617126,23138.39900946617,1,168380,8
roberta-base@qnli-77,22654,446,938.3990094661713,23592.39900946617,1,261860,8
roberta-base@qnli-78,22654,746,1238.3990094661713,23892.39900946617,1,261860,8
roberta-base@sst2-79,22655,745,1083.3990094661713,23738.39900946617,1,168380,8
roberta-base@sst2-80,22655,1045,1383.3990094661713,24038.39900946617,1,168380,8
roberta-base@qnli-81,22655,1345,1837.3990094661713,24492.39900946617,1,261860,8
roberta-base@sst2-82,22655,1345,1683.3990094661713,24338.39900946617,1,168380,8
roberta-base@sst2-83,22655,1645,1983.3990094661713,24638.39900946617,1,168380,8
roberta-base@sst2-84,22655,1945,2283.3990094661713,24938.39900946617,1,168380,8
roberta-base@qnli-85,22655,1945,2437.3990094661713,25092.39900946617,1,261860,8
roberta-base@qnli-86,22655,1945,2437.3990094661713,25092.39900946617,1,261860,8
roberta-base@qnli-87,22655,2245,2737.3990094661713,25392.39900946617,1,261860,8
roberta-base@sst2-88,23166,2034,2372.3990094661713,25538.39900946617,1,168380,8
roberta-base@sst2-89,23298,1902,2240.3990094661713,25538.39900946617,1,168380,8
roberta-base@qnli-90,23298,1902,2394.3990094661713,25692.39900946617,1,261860,8
roberta-base@qnli-91,23833,1667,2159.3990094661713,25992.39900946617,1,261860,8
roberta-base@sst2-92,24306,1494,1832.3990094661713,26138.39900946617,1,168380,8
roberta-base@sst2-93,24583,1217,3145.3990094661713,27728.39900946617,1,168380,1
roberta-base@sst2-94,24611,1189,3117.3990094661713,27728.39900946617,1,168380,1
roberta-base@qnli-95,24715,1085,4049.3990094661713,28764.39900946617,1,261860,1
roberta-base@stsb-96,25165,635,848.3990094661713,26013.39900946617,1,12942.0,1
roberta-base@qnli-97,25326,474,966.3990094661713,26292.39900946617,1,261860,8
roberta-base@sst2-98,25475,625,963.3990094661713,26438.39900946617,1,168380,8
roberta-base@sst2-99,25688,112,2040.3990094661713,27728.39900946617,1,168380,1
roberta-base@rte-100,25946,154,273.39900946617126,26219.39900946617,1,4984.0,1
roberta-base@rte-101,26066,34,153.39900946617126,26219.39900946617,1,4984.0,1
roberta-base@mrpc-102,26099,1,163.39900946617126,26262.39900946617,1,9170,1
roberta-base@wnli-103,26344,56,118.39900946617126,26462.39900946617,1,159.0,1
roberta-base@sst2-104,26539,161,2089.3990094661713,28628.39900946617,1,168380,1
roberta-base@qnli-105,26857,143,1676.3990094661713,28533.39900946617,1,261860,2
roberta-base@qnli-106,27150,150,642.3990094661713,27792.39900946617,1,261860,8
roberta-base@qnli-107,27150,150,642.3990094661713,27792.39900946617,1,261860,8
roberta-base@wnli-108,27157,143,205.39900946617126,27362.39900946617,1,159.0,1
roberta-base@sst2-109,27565,35,373.39900946617126,27938.39900946617,1,168380,8
roberta-base@sst2-110,27871,29,1957.3990094661713,29828.39900946617,1,168380,1
roberta-base@sst2-111,28092,108,446.39900946617126,28538.39900946617,1,168380,8
roberta-base@qnli-112,28092,108,600.3990094661713,28692.39900946617,1,261860,8
roberta-base@sst2-113,28092,108,446.39900946617126,28538.39900946617,1,168380,8
roberta-base@sst2-114,28092,708,1046.3990094661713,29138.39900946617,1,168380,8
roberta-base@sst2-115,28093,707,1045.3990094661713,29138.39900946617,1,168380,8
roberta-base@qnli-116,28093,707,1199.3990094661713,29292.39900946617,1,261860,8
roberta-base@sst2-117,28093,1307,1645.3990094661713,29738.39900946617,1,168380,8
roberta-base@sst2-118,28093,1307,1645.3990094661713,29738.39900946617,1,168380,8
roberta-base@sst2-119,28634,766,1104.3990094661713,29738.39900946617,1,168380,8
