name,finish_time_fairness
roberta-large@qnli-0,0.48319
roberta-large@sst2-1,0.49798
roberta-large@qnli-2,0.37753
roberta-large@mnli-3,0.38456
roberta-large@qqp-4,0.29594
roberta-large@mnli-5,0.38403
roberta-large@wnli-6,1.97613
roberta-large@rte-7,0.40754
roberta-large@qnli-8,0.46036
roberta-large@qnli-9,0.48393
roberta-large@rte-10,0.59954
roberta-large@wnli-11,0.83767
roberta-large@mrpc-12,0.58659
roberta-large@wnli-13,0.83254
roberta-large@wnli-14,1.2787
roberta-large@mrpc-15,0.55236
roberta-large@sst2-16,0.52097
roberta-large@qnli-17,0.45258
roberta-large@rte-18,0.35503
roberta-large@stsb-19,0.87493
roberta-large@sst2-20,0.56021
roberta-large@sst2-21,0.44717
roberta-large@qqp-22,0.27981
roberta-large@qqp-23,0.29552
roberta-large@sst2-24,0.5162
roberta-large@rte-25,0.62744
roberta-large@mrpc-26,0.88035
roberta-large@sst2-27,0.47087
roberta-large@sst2-28,0.47087
roberta-large@sst2-29,0.66028
roberta-large@qnli-30,0.4428
roberta-large@stsb-31,0.5908
roberta-large@sst2-32,0.45991
roberta-large@qnli-33,0.29912
roberta-large@mrpc-34,0.51101
roberta-large@qnli-35,0.35046
roberta-large@wnli-36,1.05818
roberta-large@qnli-37,0.32479
roberta-large@sst2-38,0.55362
roberta-large@sst2-39,1.15075
roberta-large@sst2-40,1.44981
roberta-large@qnli-41,0.65222
roberta-large@sst2-42,1.74888
roberta-large@sst2-43,1.74888
roberta-large@sst2-44,1.53854
roberta-large@sst2-45,1.70601
roberta-large@qnli-46,0.49438
roberta-large@qnli-47,0.48105
roberta-large@sst2-48,0.58153
roberta-large@sst2-49,0.43299
roberta-large@rte-50,0.60118
roberta-large@wnli-51,0.52485
roberta-large@stsb-52,0.6071
roberta-large@qnli-53,0.47957
roberta-large@qnli-54,0.44824
roberta-large@qnli-55,0.32588
roberta-large@wnli-56,1.25305
roberta-large@sst2-57,0.51573
roberta-large@qnli-58,0.31441
roberta-large@sst2-59,0.8138
