name,finish_time_fairness
roberta-base@mrpc-0,0.54562
roberta-base@sst2-1,0.1398
roberta-base@rte-2,0.38177
roberta-base@snli-3,0.09096
roberta-base@qnli-4,0.14621
roberta-base@qqp-5,0.17297
roberta-base@sst2-6,0.17184
roberta-base@qnli-7,0.1044
roberta-base@qnli-8,0.15084
roberta-base@qnli-9,0.17157
roberta-base@sst2-10,0.21468
roberta-base@sst2-11,0.15457
roberta-base@mrpc-12,0.3966
roberta-base@wnli-13,4.86218
roberta-base@rte-14,0.37273
roberta-base@qnli-15,0.1605
roberta-base@mnli-16,0.10944
roberta-base@qqp-17,0.09338
roberta-base@sst2-18,0.11483
roberta-base@qqp-19,0.13597
roberta-base@mnli-20,0.10911
roberta-base@sst2-21,0.15902
roberta-base@qnli-22,0.12729
roberta-base@sst2-23,0.14851
roberta-base@sst2-24,0.13298
roberta-base@qnli-25,0.14142
roberta-base@sst2-26,0.15911
roberta-base@sst2-27,0.17938
roberta-base@sst2-28,0.18183
roberta-base@sst2-29,0.17255
roberta-base@qnli-30,0.15107
roberta-base@rte-31,0.2296
roberta-base@qnli-32,0.14235
roberta-base@sst2-33,0.14718
roberta-base@rte-34,0.23412
roberta-base@qnli-35,0.14905
roberta-base@qnli-36,0.14375
roberta-base@qnli-37,0.14676
roberta-base@mrpc-38,0.57046
roberta-base@wnli-39,9.57329
roberta-base@mnli-40,0.12268
roberta-base@wnli-41,5.52884
roberta-base@mrpc-42,0.29333
roberta-base@mrpc-43,0.29333
roberta-base@rte-44,0.27329
roberta-base@wnli-45,5.4844
roberta-base@wnli-46,5.4844
roberta-base@qnli-47,0.14933
roberta-base@mrpc-48,0.46457
roberta-base@wnli-49,9.35107
roberta-base@rte-50,0.23714
roberta-base@mrpc-51,0.49072
roberta-base@snli-52,0.11874
roberta-base@mnli-53,0.12447
roberta-base@qqp-54,0.12973
roberta-base@mrpc-55,0.87134
roberta-base@rte-56,0.81887
roberta-base@mrpc-57,0.32877
roberta-base@mrpc-58,0.2515
roberta-base@rte-59,0.18591
roberta-base@stsb-60,0.29109
roberta-base@wnli-61,14.63996
roberta-base@stsb-62,0.2532
roberta-base@snli-63,0.1415
roberta-base@wnli-64,12.63996
roberta-base@sst2-65,0.21432
roberta-base@stsb-66,0.17801
roberta-base@rte-67,0.2281
roberta-base@qnli-68,0.10002
roberta-base@wnli-69,11.17329
roberta-base@qqp-70,0.09121
roberta-base@qnli-71,0.13767
roberta-base@qqp-72,0.1161
roberta-base@sst2-73,0.14661
roberta-base@wnli-74,4.86218
roberta-base@qnli-75,0.13619
roberta-base@sst2-76,0.1561
roberta-base@qnli-77,0.12946
roberta-base@rte-78,0.43601
roberta-base@wnli-79,3.97329
roberta-base@mrpc-80,0.56261
roberta-base@wnli-81,13.70662
roberta-base@sst2-82,0.15629
roberta-base@qqp-83,0.09239
roberta-base@stsb-84,0.19375
roberta-base@wnli-85,8.81773
roberta-base@wnli-86,7.79551
roberta-base@sst2-87,0.13188
roberta-base@sst2-88,0.14232
roberta-base@qnli-89,0.12078
roberta-base@qqp-90,0.0911
roberta-base@sst2-91,0.13541
roberta-base@rte-92,0.61529
roberta-base@sst2-93,0.1995
roberta-base@sst2-94,0.3007
roberta-base@sst2-95,0.3007
roberta-base@qnli-96,0.13914
roberta-base@mnli-97,0.12231
roberta-base@sst2-98,0.15624
roberta-base@stsb-99,0.27011
roberta-base@sst2-100,0.16577
roberta-base@qnli-101,0.14009
roberta-base@stsb-102,0.14887
roberta-base@qnli-103,0.14837
roberta-base@qnli-104,0.18351
roberta-base@sst2-105,0.23324
roberta-base@sst2-106,0.43564
roberta-base@sst2-107,0.43564
roberta-base@sst2-108,0.4353
roberta-base@qnli-109,0.44377
roberta-base@sst2-110,0.63771
roberta-base@qnli-111,0.44377
roberta-base@sst2-112,0.84011
roberta-base@sst2-113,0.84011
roberta-base@rte-114,0.19344
roberta-base@qnli-115,0.41946
roberta-base@mrpc-116,0.7417
roberta-base@qnli-117,0.46418
roberta-base@sst2-118,0.66942
roberta-base@qnli-119,0.46418
roberta-base@qnli-120,0.59442
roberta-base@qnli-121,0.59442
roberta-base@qnli-122,0.59442
roberta-base@sst2-123,0.97268
roberta-base@sst2-124,1.07389
roberta-base@qnli-125,0.72444
roberta-base@sst2-126,1.07389
roberta-base@sst2-127,1.17509
roberta-base@sst2-128,1.27629
roberta-base@qnli-129,0.85468
roberta-base@qnli-130,0.85468
roberta-base@qnli-131,0.9198
roberta-base@qnli-132,0.98492
roberta-base@sst2-133,1.47869
roberta-base@qnli-134,0.98492
roberta-base@sst2-135,1.57989
roberta-base@wnli-136,11.83996
roberta-base@wnli-137,11.0844
roberta-base@sst2-138,1.50872
roberta-base@sst2-139,1.46419
roberta-base@qnli-140,0.97559
roberta-base@qnli-141,0.92457
roberta-base@sst2-142,1.32655
roberta-base@qnli-143,0.26367
roberta-base@sst2-144,0.3554
roberta-base@qnli-145,0.27139
roberta-base@stsb-146,0.15703
roberta-base@stsb-147,1.71856
roberta-base@qnli-148,0.66561
roberta-base@sst2-149,1.08367
roberta-base@sst2-150,1.13461
roberta-base@stsb-151,1.45859
roberta-base@sst2-152,0.29561
roberta-base@qnli-153,0.2283
roberta-base@rte-154,3.12376
roberta-base@rte-155,3.39495
roberta-base@mrpc-156,2.95869
roberta-base@wnli-157,85.26218
roberta-base@sst2-158,0.27769
roberta-base@mnli-159,0.16023
roberta-base@qnli-160,0.39992
roberta-base@sst2-161,0.67077
roberta-base@wnli-162,89.12884
roberta-base@sst2-163,0.63197
roberta-base@rte-164,2.47141
roberta-base@sst2-165,0.22543
roberta-base@sst2-166,0.55539
roberta-base@qnli-167,0.45593
roberta-base@sst2-168,0.7578
roberta-base@sst2-169,0.859
roberta-base@qnli-170,0.65129
roberta-base@sst2-171,1.0614
roberta-base@qnli-172,0.71641
roberta-base@sst2-173,1.16227
roberta-base@qnli-174,0.84643
roberta-base@sst2-175,1.26347
roberta-base@qnli-176,0.91155
roberta-base@sst2-177,1.46587
roberta-base@sst2-178,1.46587
roberta-base@qnli-179,0.92436
