name,finish_time_fairness
roberta-large@mrpc-0,0.57454
roberta-large@qnli-1,0.32213
roberta-large@sst2-2,0.33199
roberta-large@qnli-3,0.25168
roberta-large@qnli-4,0.2912
roberta-large@sst2-5,0.47009
roberta-large@qnli-6,0.23492
roberta-large@mnli-7,0.30207
roberta-large@qqp-8,0.30369
roberta-large@mnli-9,0.30195
roberta-large@qnli-10,0.27489
roberta-large@sst2-11,0.35336
roberta-large@wnli-12,1.31742
roberta-large@rte-13,0.26841
roberta-large@rte-14,0.27169
roberta-large@qnli-15,0.3069
roberta-large@qnli-16,0.32262
roberta-large@rte-17,0.39969
roberta-large@wnli-18,0.55845
roberta-large@mrpc-19,0.39106
roberta-large@wnli-20,0.55503
roberta-large@qnli-21,0.32491
roberta-large@wnli-22,0.85246
roberta-large@mrpc-23,0.36824
roberta-large@sst2-24,0.34731
roberta-large@mnli-25,0.39084
roberta-large@rte-26,0.7036
roberta-large@rte-27,0.23669
roberta-large@stsb-28,0.58329
roberta-large@sst2-29,0.37348
roberta-large@stsb-30,0.43268
roberta-large@rte-31,0.26732
roberta-large@sst2-32,0.29812
roberta-large@rte-33,0.43908
roberta-large@qqp-34,0.20307
roberta-large@qqp-35,0.19701
roberta-large@sst2-36,0.34413
roberta-large@rte-37,0.41829
roberta-large@mrpc-38,0.5869
roberta-large@snli-39,0.7067
roberta-large@wnli-40,0.5687
roberta-large@qnli-41,0.2016
roberta-large@qqp-42,0.53286
roberta-large@sst2-43,0.31392
roberta-large@sst2-44,0.63957
roberta-large@qnli-45,0.2952
roberta-large@stsb-46,0.39386
roberta-large@qnli-47,0.1996
roberta-large@sst2-48,0.30661
roberta-large@qnli-49,0.19941
roberta-large@sst2-50,0.70536
roberta-large@mrpc-51,0.34067
roberta-large@qnli-52,0.28826
roberta-large@wnli-53,0.70546
roberta-large@qnli-54,0.21653
roberta-large@sst2-55,0.36908
roberta-large@sst2-56,0.76783
roberta-large@qnli-57,0.43499
roberta-large@sst2-58,1.16592
roberta-large@sst2-59,1.16592
roberta-large@qnli-60,0.43481
roberta-large@sst2-61,1.56467
roberta-large@sst2-62,1.56467
roberta-large@sst2-63,1.96343
roberta-large@sst2-64,1.96343
roberta-large@sst2-65,1.96343
roberta-large@sst2-66,1.62382
roberta-large@sst2-67,1.93485
roberta-large@qnli-68,0.64545
roberta-large@qnli-69,0.54805
roberta-large@qnli-70,0.36174
roberta-large@qnli-71,0.35749
roberta-large@stsb-72,0.85422
roberta-large@sst2-73,0.98582
roberta-large@sst2-74,1.28555
roberta-large@rte-75,0.40079
roberta-large@mrpc-76,0.36444
roberta-large@wnli-77,0.3499
roberta-large@stsb-78,0.40473
roberta-large@qnli-79,0.31972
roberta-large@qnli-80,0.29883
roberta-large@qnli-81,0.21726
roberta-large@wnli-82,0.83537
roberta-large@sst2-83,0.29531
roberta-large@qnli-84,0.31432
roberta-large@sst2-85,0.34382
roberta-large@qnli-86,0.20961
roberta-large@qnli-87,0.26423
roberta-large@sst2-88,0.74191
roberta-large@qnli-89,0.42789
