name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit-large@frgfm#imagenette-0,45,255,758.1378710269928,803.1378710269928,1,66283.0,1
vit-large@imagenet-split-1-1,92,208,1374.1378710269928,1466.1378710269928,1,749250.0,4
vit-large@Bingsu#Cat_and_Dog-2,766,134,364.1378710269928,1130.1378710269928,1,31680.0,1
vit-large@food101-3,786,1014,3851.2757420539856,4637.275742053986,2,757500,8
vit-large@imagenet-split-0-4,1280,220,1996.1378710269928,3276.137871026993,1,250000.0,1
vit-large@Bingsu#Cat_and_Dog-5,1322,178,408.1378710269928,1730.1378710269928,1,31680.0,1
vit-large@imagenet-split-2-6,1987,113,3273.137871026993,5260.137871026993,1,1000000.0,2
vit-large@imagenet-split-1-7,2229,171,912.1378710269928,3141.137871026993,1,749250.0,8
vit-large@imagenet-split-1-8,2634,66,1232.1378710269928,3866.137871026993,1,749250.0,4
vit-large@imagenet-split-2-9,2660,40,3200.137871026993,5860.137871026993,1,1000000.0,2
vit-large@mnist-10,3002,298,1200.1378710269928,4202.137871026993,1,600000.0,8
vit-large@mnist-11,3002,298,1200.1378710269928,4202.137871026993,1,600000.0,8
vit-large@imagenet-split-0-12,3014,286,1043.1378710269928,4057.137871026993,1,250000.0,4
vit-large@frgfm#imagenette-13,3459,141,644.1378710269928,4103.137871026993,1,66283.0,1
vit-large@frgfm#imagenette-14,3853,47,550.1378710269928,4403.137871026993,1,66283.0,1
vit-large@frgfm#imagenette-15,4072,128,631.1378710269928,4703.137871026993,1,66283.0,1
vit-large@Bingsu#Cat_and_Dog-16,4295,205,435.1378710269928,4730.137871026993,1,31680.0,1
vit-large@mnist-17,4853,247,1149.1378710269928,6002.137871026993,1,600000.0,8
vit-large@fashion_mnist-18,4853,247,1149.1378710269928,6002.137871026993,1,600000.0,8
vit-large@food101-19,4906,3194,6031.275742053986,10937.275742053986,2,757500,8
vit-large@food101-20,4906,194,3420.137871026993,8326.137871026993,1,757500,2
vit-large@fashion_mnist-21,5098,1202,2104.137871026993,7202.137871026993,1,600000.0,8
