name,finish_time_fairness
vit-large@frgfm#imagenette-0,0.11011
vit-large@imagenet-split-1-1,0.08165
vit-large@Bingsu#Cat_and_Dog-2,0.19577
vit-large@food101-3,0.11743
vit-large@imagenet-split-0-4,0.07683
vit-large@Bingsu#Cat_and_Dog-5,0.21943
vit-large@imagenet-split-2-6,0.07003
vit-large@imagenet-split-1-7,0.09348
vit-large@imagenet-split-1-8,0.07321
vit-large@imagenet-split-2-9,0.06847
vit-large@mnist-10,0.10711
vit-large@mnist-11,0.10711
vit-large@imagenet-split-0-12,0.09754
vit-large@frgfm#imagenette-13,0.09356
vit-large@frgfm#imagenette-14,0.0799
vit-large@frgfm#imagenette-15,0.09167
vit-large@Bingsu#Cat_and_Dog-16,0.23395
vit-large@mnist-17,0.10256
vit-large@fashion_mnist-18,0.10256
vit-large@food101-19,0.18389
vit-large@food101-20,0.07167
vit-large@fashion_mnist-21,0.18779
vit-large@imagenet-split-2-22,0.07397
vit-large@food101-23,0.07156
vit-large@mnist-24,0.09238
vit-large@frgfm#imagenette-25,0.07453
vit-large@imagenet-split-0-26,0.09454
vit-large@cifar100-27,0.08949
vit-large@imagenet-split-1-28,0.07951
vit-large@cifar100-29,0.07543
vit-large@imagenet-split-1-30,0.08771
vit-large@cifar100-31,0.07413
vit-large@cifar100-32,0.08001
vit-large@mnist-33,0.11284
vit-large@mnist-34,0.068
vit-large@imagenet-split-0-35,0.15364
vit-large@Bingsu#Cat_and_Dog-36,0.3662
vit-large@cifar100-37,0.07577
vit-large@Bingsu#Cat_and_Dog-38,0.46405
vit-large@imagenet-split-1-39,0.10084
vit-large@imagenet-split-0-40,0.08515
vit-large@imagenet-split-1-41,0.11087
vit-large@Bingsu#Cat_and_Dog-42,0.30438
vit-large@Bingsu#Cat_and_Dog-43,0.27534
vit-large@cifar100-44,0.07934
vit-large@imagenet-split-2-45,0.09147
vit-large@cifar100-46,0.07977
vit-large@Bingsu#Cat_and_Dog-47,0.49524
vit-large@frgfm#imagenette-48,0.15645
vit-large@frgfm#imagenette-49,0.13887
vit-large@food101-50,0.08849
vit-large@frgfm#imagenette-51,0.08208
vit-large@frgfm#imagenette-52,0.12566
vit-large@frgfm#imagenette-53,0.12566
vit-large@frgfm#imagenette-54,0.12566
vit-large@frgfm#imagenette-55,0.12566
vit-large@frgfm#imagenette-56,0.12551
vit-large@Bingsu#Cat_and_Dog-57,0.47911
vit-large@imagenet-split-0-58,0.091
vit-large@Bingsu#Cat_and_Dog-59,0.38878
vit-large@frgfm#imagenette-60,0.13815
vit-large@frgfm#imagenette-61,0.0786
vit-large@Bingsu#Cat_and_Dog-62,0.23825
vit-large@food101-63,0.07144
vit-large@food101-64,0.07142
vit-large@food101-65,0.07142
vit-large@frgfm#imagenette-66,0.14079
vit-large@frgfm#imagenette-67,0.12666
vit-large@frgfm#imagenette-68,0.08453
vit-large@Bingsu#Cat_and_Dog-69,0.13986
vit-large@frgfm#imagenette-70,0.07366
vit-large@frgfm#imagenette-71,0.11462
vit-large@frgfm#imagenette-72,0.11186
vit-large@Bingsu#Cat_and_Dog-73,0.24255
vit-large@imagenet-split-2-74,0.09066
vit-large@Bingsu#Cat_and_Dog-75,0.24308
vit-large@imagenet-split-1-76,0.3023
vit-large@Bingsu#Cat_and_Dog-77,0.17319
vit-large@fashion_mnist-78,0.0731
vit-large@frgfm#imagenette-79,0.07773
vit-large@fashion_mnist-80,0.09049
vit-large@imagenet-split-2-81,0.07161
vit-large@Bingsu#Cat_and_Dog-82,0.22534
vit-large@food101-83,0.06905
vit-large@cifar100-84,0.06845
vit-large@food101-85,0.10453
vit-large@cifar100-86,0.07052
vit-large@frgfm#imagenette-87,0.0799
vit-large@imagenet-split-0-88,0.10036
vit-large@imagenet-split-1-89,0.10689
vit-large@fashion_mnist-90,0.08979
vit-large@Bingsu#Cat_and_Dog-91,0.21513
vit-large@Bingsu#Cat_and_Dog-92,0.21351
vit-large@frgfm#imagenette-93,0.077
vit-large@fashion_mnist-94,0.08596
vit-large@frgfm#imagenette-95,0.11389
vit-large@frgfm#imagenette-96,0.112
vit-large@frgfm#imagenette-97,0.10881
vit-large@cifar100-98,0.07887
vit-large@food101-99,0.93221
vit-large@frgfm#imagenette-100,0.09036
vit-large@Bingsu#Cat_and_Dog-101,0.19685
vit-large@Bingsu#Cat_and_Dog-102,0.18448
vit-large@food101-103,0.902
vit-large@Bingsu#Cat_and_Dog-104,0.22427
vit-large@Bingsu#Cat_and_Dog-105,0.15868
vit-large@cifar100-106,0.08815
vit-large@cifar100-107,0.08815
vit-large@cifar100-108,0.18454
vit-large@food101-109,0.06892
vit-large@cifar100-110,0.18443
vit-large@Bingsu#Cat_and_Dog-111,0.27911
vit-large@fashion_mnist-112,0.15664
vit-large@imagenet-split-1-113,0.25561
vit-large@mnist-114,0.23696
vit-large@imagenet-split-1-115,0.28636
vit-large@cifar100-116,0.36542
vit-large@fashion_mnist-117,0.34397
vit-large@frgfm#imagenette-118,0.11287
vit-large@fashion_mnist-119,0.06876
vit-large@food101-120,0.06957
vit-large@frgfm#imagenette-121,0.08078
vit-large@cifar100-122,0.07359
vit-large@fashion_mnist-123,0.06825
vit-large@Bingsu#Cat_and_Dog-124,0.25814
vit-large@fashion_mnist-125,0.17449
vit-large@imagenet-split-1-126,0.24536
vit-large@Bingsu#Cat_and_Dog-127,0.3076
vit-large@imagenet-split-0-128,0.09019
vit-large@mnist-129,0.24588
vit-large@fashion_mnist-130,0.24588
vit-large@imagenet-split-1-131,0.29661
vit-large@mnist-132,0.29943
vit-large@fashion_mnist-133,0.35298
vit-large@cifar100-134,0.40815
