full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,27,0,2,2
32,27,0,2,0
32,19,0,3,2
32,20,0,2,0
32,22,0,3,2
32,23,0,2,0
32,21,0,3,1
32,13,0,4,1
32,7,0,6,2
32,7,0,6,0
32,4,1,6,3
32,3,1,7,1
32,6,1,7,1
32,2,0,7,1
32,18,0,5,1
32,28,0,2,0
32,2,1,6,5
32,4,1,5,0
32,4,1,5,0
32,6,1,4,0
32,10,0,5,2
32,2,0,6,1
32,2,0,6,0
32,1,0,7,1
32,1,2,9,5
32,0,2,11,4
32,0,6,11,4
32,0,7,12,4
32,1,1,14,0
32,0,3,13,5
32,0,4,13,2
32,0,7,14,8
32,0,4,17,2
32,0,2,17,1
32,6,0,11,1
32,2,0,13,4
32,11,0,10,1
32,8,0,11,3
32,10,0,10,1
32,14,0,8,1
32,6,0,9,3
32,15,1,7,2
32,17,1,5,0
32,17,1,5,1
32,16,2,6,3
32,2,0,8,1
32,5,0,7,3
32,12,0,8,3
32,12,0,8,0
32,17,0,6,0
32,9,0,7,1
32,0,0,9,2
32,0,0,9,0
32,6,1,10,2
32,8,0,8,0
32,15,0,8,1
32,11,0,6,1
32,2,0,8,5
32,9,0,8,1
32,11,0,6,1
32,12,0,5,2
32,12,0,5,1
32,12,0,5,1
32,5,3,5,5
32,4,9,6,7
32,3,9,7,2
32,1,7,8,2
32,0,7,9,2
32,1,7,8,0
32,1,5,8,0
32,0,7,9,4
32,0,22,9,16
32,0,21,9,1
32,0,19,9,0
32,0,19,10,2
32,1,45,9,27
32,0,45,10,2
32,3,48,8,7
32,5,47,6,1
32,0,48,4,2
32,0,49,4,1
32,0,49,4,3
32,0,53,4,4
32,0,54,4,2
32,0,55,4,3
32,0,56,4,2
32,0,62,4,6
32,0,63,4,2
32,0,63,4,3
32,0,64,4,1
32,0,66,4,3
32,0,68,4,2
32,0,66,4,1
32,0,84,4,19
32,0,85,4,1
32,0,84,4,1
32,0,83,4,0
32,0,82,4,0
32,0,82,4,0
32,0,79,4,0
32,0,79,4,0
32,0,78,4,0
32,0,75,4,0
32,0,75,4,0
32,0,74,4,0
32,0,74,4,0
32,0,71,4,0
32,0,71,4,0
32,0,70,4,0
32,0,68,4,0
32,0,67,4,0
32,0,67,4,0
32,0,64,4,0
32,0,63,4,0
32,0,63,4,0
32,0,61,4,0
32,0,60,4,0
32,0,59,4,0
32,0,58,4,0
32,0,51,10,0
32,0,50,10,0
32,0,48,10,0
32,0,47,10,0
32,0,45,10,0
32,0,45,10,0
32,0,41,10,0
32,0,41,10,0
32,0,39,10,0
32,0,31,17,0
32,1,25,18,0
32,9,25,12,0
32,9,24,11,0
32,9,24,11,0
32,8,25,9,0
32,8,22,8,0
32,8,22,8,0
32,8,21,8,0
32,1,19,8,0
32,1,19,8,0
32,1,19,8,0
32,5,17,5,0
32,5,16,5,0
32,7,16,4,0
32,0,14,4,0
32,0,13,4,0
32,0,12,4,0
32,0,11,4,0
32,0,9,4,0
32,0,8,4,0
32,0,8,4,0
32,0,6,4,0
32,0,5,4,0
32,0,4,4,0
32,0,2,4,0
32,0,2,4,0
32,0,0,4,0
32,16,0,2,0
32,16,0,2,0
32,16,0,2,0
32,32,0,0,0
