name,finish_time_fairness
vit@frgfm#imagenette-0,0.06473
vit@imagenet-split-1-1,0.04678
vit@frgfm#imagenette-2,0.04891
vit@Bingsu#Cat_and_Dog-3,0.08996
vit@food101-4,0.05326
vit@imagenet-split-0-5,0.04358
vit@Bingsu#Cat_and_Dog-6,0.10039
vit@mnist-7,0.05869
vit@Bingsu#Cat_and_Dog-8,0.07074
vit@imagenet-split-2-9,0.11538
vit@imagenet-split-1-10,0.0556
vit@imagenet-split-2-11,0.04258
vit@food101-12,0.04476
vit@mnist-13,0.03888
vit@imagenet-split-1-14,0.05476
vit@imagenet-split-2-15,1.3224
vit@mnist-16,0.08469
vit@mnist-17,0.08469
vit@imagenet-split-0-18,0.07983
vit@imagenet-split-1-19,0.11123
vit@frgfm#imagenette-20,0.05238
vit@frgfm#imagenette-21,0.04219
vit@imagenet-split-2-22,0.04933
vit@frgfm#imagenette-23,0.08349
vit@Bingsu#Cat_and_Dog-24,0.2584
vit@Bingsu#Cat_and_Dog-25,0.24915
vit@mnist-26,0.05957
vit@fashion_mnist-27,0.10356
vit@food101-28,0.05545
vit@food101-29,0.04662
vit@fashion_mnist-30,0.10984
vit@fashion_mnist-31,0.12159
vit@Bingsu#Cat_and_Dog-32,0.07121
vit@frgfm#imagenette-33,0.09216
vit@imagenet-split-2-34,0.0409
vit@food101-35,0.04215
vit@food101-36,0.04031
vit@fashion_mnist-37,0.05509
vit@mnist-38,0.05518
vit@frgfm#imagenette-39,0.0449
vit@mnist-40,0.03451
vit@fashion_mnist-41,0.05016
vit@cifar100-42,0.05706
vit@frgfm#imagenette-43,0.03817
vit@Bingsu#Cat_and_Dog-44,0.12791
vit@imagenet-split-0-45,0.0754
vit@cifar100-46,0.05657
vit@imagenet-split-1-47,0.06011
vit@fashion_mnist-48,0.06357
vit@cifar100-49,0.08893
vit@fashion_mnist-50,0.07814
vit@imagenet-split-1-51,0.06708
vit@Bingsu#Cat_and_Dog-52,0.12554
vit@imagenet-split-1-53,0.07819
vit@imagenet-split-2-54,0.03971
vit@cifar100-55,0.11693
vit@mnist-56,0.0787
vit@frgfm#imagenette-57,0.07243
vit@imagenet-split-0-58,0.16282
vit@imagenet-split-2-59,0.0499
vit@frgfm#imagenette-60,0.11991
vit@Bingsu#Cat_and_Dog-61,0.23634
vit@fashion_mnist-62,0.08067
vit@cifar100-63,0.07991
vit@imagenet-split-1-64,0.08349
vit@Bingsu#Cat_and_Dog-65,0.27952
vit@imagenet-split-0-66,0.07143
vit@imagenet-split-1-67,0.09607
vit@fashion_mnist-68,0.07266
vit@imagenet-split-1-69,0.09339
vit@frgfm#imagenette-70,0.12197
vit@imagenet-split-2-71,0.0652
vit@imagenet-split-1-72,0.05859
vit@mnist-73,0.05003
vit@cifar100-74,0.08245
vit@imagenet-split-0-75,0.07647
vit@imagenet-split-1-76,0.06894
vit@Bingsu#Cat_and_Dog-77,0.42258
vit@imagenet-split-1-78,0.07213
vit@fashion_mnist-79,0.24488
vit@Bingsu#Cat_and_Dog-80,0.33859
vit@cifar100-81,0.10682
vit@imagenet-split-2-82,0.054
vit@cifar100-83,0.08523
vit@Bingsu#Cat_and_Dog-84,0.3227
vit@frgfm#imagenette-85,0.18658
vit@Bingsu#Cat_and_Dog-86,0.36445
vit@Bingsu#Cat_and_Dog-87,0.36421
vit@frgfm#imagenette-88,0.16435
vit@fashion_mnist-89,0.07952
vit@frgfm#imagenette-90,0.15124
vit@imagenet-split-1-91,0.17185
vit@food101-92,0.09894
vit@frgfm#imagenette-93,0.1776
vit@frgfm#imagenette-94,0.1776
vit@frgfm#imagenette-95,0.20641
vit@frgfm#imagenette-96,0.20641
vit@frgfm#imagenette-97,0.20641
vit@frgfm#imagenette-98,0.20641
vit@frgfm#imagenette-99,0.20641
vit@Bingsu#Cat_and_Dog-100,0.42875
vit@frgfm#imagenette-101,0.23883
vit@Bingsu#Cat_and_Dog-102,0.49968
vit@frgfm#imagenette-103,0.23883
vit@Bingsu#Cat_and_Dog-104,0.49968
vit@Bingsu#Cat_and_Dog-105,0.49755
vit@frgfm#imagenette-106,0.23091
vit@Bingsu#Cat_and_Dog-107,0.45982
vit@imagenet-split-0-108,0.46225
vit@frgfm#imagenette-109,0.18322
vit@Bingsu#Cat_and_Dog-110,0.33171
vit@imagenet-split-1-111,0.23643
vit@mnist-112,1.81742
vit@Bingsu#Cat_and_Dog-113,0.46468
vit@frgfm#imagenette-114,0.17129
vit@Bingsu#Cat_and_Dog-115,0.32222
vit@Bingsu#Cat_and_Dog-116,0.31605
vit@food101-117,0.05881
vit@imagenet-split-2-118,0.06316
vit@food101-119,0.08362
vit@food101-120,0.08362
vit@imagenet-split-2-121,1.14438
vit@imagenet-split-2-122,0.07198
vit@food101-123,0.08357
vit@imagenet-split-2-124,0.08139
vit@frgfm#imagenette-125,0.53281
vit@fashion_mnist-126,0.34351
vit@frgfm#imagenette-127,0.28372
vit@frgfm#imagenette-128,0.30658
vit@frgfm#imagenette-129,0.52194
vit@frgfm#imagenette-130,0.54478
vit@Bingsu#Cat_and_Dog-131,0.63468
vit@frgfm#imagenette-132,0.5109
vit@frgfm#imagenette-133,0.29769
vit@frgfm#imagenette-134,0.29574
vit@mnist-135,0.06601
vit@frgfm#imagenette-136,0.26116
vit@Bingsu#Cat_and_Dog-137,0.54784
vit@frgfm#imagenette-138,0.26072
vit@cifar100-139,0.11327
vit@imagenet-split-1-140,0.3361
vit@Bingsu#Cat_and_Dog-141,0.53764
vit@imagenet-split-2-142,0.07258
vit@fashion_mnist-143,0.14553
vit@mnist-144,1.75763
vit@Bingsu#Cat_and_Dog-145,0.53788
vit@Bingsu#Cat_and_Dog-146,0.52364
vit@imagenet-split-1-147,0.47603
vit@frgfm#imagenette-148,0.42268
vit@imagenet-split-1-149,0.33543
vit@imagenet-split-2-150,0.07156
vit@Bingsu#Cat_and_Dog-151,0.49945
vit@imagenet-split-1-152,0.36051
vit@imagenet-split-0-153,0.82124
vit@Bingsu#Cat_and_Dog-154,0.43586
vit@frgfm#imagenette-155,0.27004
vit@Bingsu#Cat_and_Dog-156,0.5552
vit@food101-157,0.0877
vit@frgfm#imagenette-158,0.2682
vit@fashion_mnist-159,0.2521
vit@frgfm#imagenette-160,0.33183
vit@imagenet-split-2-161,0.0862
vit@Bingsu#Cat_and_Dog-162,0.6724
vit@food101-163,0.14354
vit@Bingsu#Cat_and_Dog-164,0.7068
vit@food101-165,0.09208
vit@frgfm#imagenette-166,0.31536
vit@cifar100-167,0.12732
vit@frgfm#imagenette-168,0.30235
vit@fashion_mnist-169,0.11666
vit@frgfm#imagenette-170,0.34462
vit@imagenet-split-1-171,0.24251
vit@cifar100-172,0.44328
vit@fashion_mnist-173,0.10954
vit@imagenet-split-1-174,0.09273
vit@mnist-175,0.07366
vit@imagenet-split-0-176,0.74246
vit@imagenet-split-2-177,0.09669
vit@imagenet-split-1-178,0.09268
vit@fashion_mnist-179,0.4297
vit@fashion_mnist-180,0.42947
vit@Bingsu#Cat_and_Dog-181,0.52554
vit@Bingsu#Cat_and_Dog-182,0.52483
vit@cifar100-183,0.11941
vit@cifar100-184,0.50283
vit@frgfm#imagenette-185,0.24327
vit@frgfm#imagenette-186,0.23525
vit@frgfm#imagenette-187,0.23514
vit@fashion_mnist-188,0.32205
vit@frgfm#imagenette-189,0.19763
vit@frgfm#imagenette-190,0.22874
vit@frgfm#imagenette-191,0.25888
vit@food101-192,0.07863
vit@food101-193,0.07648
vit@food101-194,0.08177
vit@frgfm#imagenette-195,0.21259
vit@Bingsu#Cat_and_Dog-196,0.4463
vit@food101-197,0.11012
vit@Bingsu#Cat_and_Dog-198,0.36967
vit@food101-199,0.09712
vit@Bingsu#Cat_and_Dog-200,0.3189
vit@Bingsu#Cat_and_Dog-201,0.31605
vit@frgfm#imagenette-202,0.17281
vit@mnist-203,0.10807
vit@imagenet-split-2-204,0.05955
vit@Bingsu#Cat_and_Dog-205,0.29304
vit@Bingsu#Cat_and_Dog-206,0.35828
vit@cifar100-207,0.29694
vit@cifar100-208,0.37908
vit@cifar100-209,0.37908
vit@imagenet-split-1-210,0.27168
vit@food101-211,0.06947
vit@cifar100-212,0.46108
vit@imagenet-split-2-213,0.96116
vit@Bingsu#Cat_and_Dog-214,0.34025
vit@fashion_mnist-215,0.41246
vit@imagenet-split-1-216,0.31243
vit@mnist-217,0.18712
vit@imagenet-split-1-218,0.36243
vit@cifar100-219,0.56922
vit@imagenet-split-0-220,0.94811
vit@imagenet-split-0-221,0.94811
vit@mnist-222,0.23342
vit@mnist-223,0.23342
vit@imagenet-split-1-224,0.43743
vit@fashion_mnist-225,0.61783
vit@frgfm#imagenette-226,0.2564
vit@frgfm#imagenette-227,0.2331
vit@fashion_mnist-228,0.1516
vit@frgfm#imagenette-229,0.2359
vit@food101-230,0.11977
vit@frgfm#imagenette-231,0.50182
vit@cifar100-232,0.1858
vit@Bingsu#Cat_and_Dog-233,1.06552
vit@Bingsu#Cat_and_Dog-234,1.06386
vit@imagenet-split-1-235,0.12055
vit@frgfm#imagenette-236,0.51698
vit@mnist-237,0.21096
vit@food101-238,0.12237
vit@Bingsu#Cat_and_Dog-239,1.11392
vit@fashion_mnist-240,0.53803
vit@imagenet-split-1-241,0.4041
vit@Bingsu#Cat_and_Dog-242,1.13574
vit@imagenet-split-0-243,0.21476
vit@mnist-244,0.2257
vit@fashion_mnist-245,0.56086
vit@imagenet-split-1-246,0.44576
vit@mnist-247,0.24885
vit@fashion_mnist-248,0.6636
vit@imagenet-split-1-249,0.52076
vit@cifar100-250,0.87038
vit@fashion_mnist-251,0.7321
vit@imagenet-split-1-252,0.57076
vit@imagenet-split-1-253,0.59576
vit@imagenet-split-0-254,1.39256
vit@fashion_mnist-255,0.80059
vit@imagenet-split-0-256,1.45316
vit@cifar100-257,0.99359
vit@mnist-258,0.32987
vit@fashion_mnist-259,0.86908
vit@fashion_mnist-260,0.86908
vit@cifar100-261,1.07559
vit@cifar100-262,1.11665
vit@imagenet-split-0-263,1.63478
vit@fashion_mnist-264,0.97171
vit@imagenet-split-0-265,1.69539
vit@imagenet-split-1-266,0.74568
vit@cifar100-267,1.19879
vit@imagenet-split-0-268,1.8166
vit@mnist-269,0.3877
vit@fashion_mnist-270,1.07445
vit@fashion_mnist-271,1.07445
vit@imagenet-split-1-272,0.79568
vit@mnist-273,0.42242
vit@mnist-274,0.42242
vit@Bingsu#Cat_and_Dog-275,1.03634
vit@Bingsu#Cat_and_Dog-276,1.00549
vit@Bingsu#Cat_and_Dog-277,1.05674
vit@frgfm#imagenette-278,0.4708
vit@food101-279,0.21137
vit@frgfm#imagenette-280,0.45877
vit@cifar100-281,1.34773
vit@frgfm#imagenette-282,0.50376
vit@Bingsu#Cat_and_Dog-283,1.05745
