name,finish_time_fairness
roberta-base@mrpc-0,0.40921
roberta-base@qnli-1,0.09127
roberta-base@wnli-2,6.54663
roberta-base@snli-3,0.09527
roberta-base@qnli-4,0.10966
roberta-base@wnli-5,8.0133
roberta-base@qqp-6,0.06898
roberta-base@qnli-7,0.108
roberta-base@qnli-8,0.0783
roberta-base@mnli-9,0.09074
roberta-base@qnli-10,0.12868
roberta-base@sst2-11,0.16101
roberta-base@sst2-12,0.11592
roberta-base@wnli-13,6.77997
roberta-base@rte-14,0.18802
roberta-base@rte-15,0.27955
roberta-base@wnli-16,8.9133
roberta-base@qnli-17,0.12037
roberta-base@qnli-18,0.12037
roberta-base@mnli-19,0.08208
roberta-base@mnli-20,0.09357
roberta-base@qnli-21,0.17817
roberta-base@qqp-22,0.07138
roberta-base@mnli-23,0.09348
roberta-base@qnli-24,0.10182
roberta-base@wnli-25,2.4133
roberta-base@qnli-26,0.09547
roberta-base@sst2-27,0.11138
roberta-base@sst2-28,0.09974
roberta-base@sst2-29,0.08525
roberta-base@qnli-30,0.07319
roberta-base@sst2-31,0.11847
roberta-base@qnli-32,0.11154
roberta-base@qnli-33,0.10707
roberta-base@sst2-34,0.10465
roberta-base@sst2-35,0.11592
roberta-base@stsb-36,0.1593
roberta-base@sst2-37,0.10626
roberta-base@rte-38,0.1722
roberta-base@sst2-39,0.10811
roberta-base@qnli-40,0.10676
roberta-base@qnli-41,0.10666
roberta-base@rte-42,0.17559
roberta-base@stsb-43,0.21657
roberta-base@qnli-44,0.10781
roberta-base@qqp-45,0.08472
roberta-base@qnli-46,0.11007
roberta-base@stsb-47,0.13307
roberta-base@wnli-48,11.2133
roberta-base@wnli-49,7.17997
roberta-base@snli-50,0.07733
roberta-base@wnli-51,4.14663
roberta-base@mrpc-52,0.22
roberta-base@mrpc-53,0.51412
roberta-base@stsb-54,0.25154
roberta-base@rte-55,0.54395
roberta-base@wnli-56,14.1133
roberta-base@wnli-57,24.1133
roberta-base@qnli-58,0.12233
roberta-base@mrpc-59,0.64255
roberta-base@wnli-60,7.0133
roberta-base@rte-61,0.17785
roberta-base@wnli-62,9.17997
roberta-base@snli-63,0.06882
roberta-base@mnli-64,0.09335
roberta-base@snli-65,0.06881
roberta-base@rte-66,0.73518
roberta-base@rte-67,0.61415
roberta-base@mrpc-68,0.24658
roberta-base@rte-69,0.16881
roberta-base@rte-70,0.13943
roberta-base@stsb-71,0.21832
roberta-base@rte-72,0.43661
roberta-base@stsb-73,0.1899
roberta-base@snli-74,0.08026
roberta-base@wnli-75,9.47997
roberta-base@sst2-76,0.16074
roberta-base@stsb-77,0.13351
roberta-base@qnli-78,0.11224
roberta-base@rte-79,0.17107
roberta-base@qnli-80,0.07501
roberta-base@qqp-81,0.06994
roberta-base@wnli-82,8.37997
roberta-base@qqp-83,0.06841
roberta-base@sst2-84,0.10508
roberta-base@qqp-85,0.08708
roberta-base@sst2-86,0.10995
roberta-base@rte-87,0.18802
roberta-base@qnli-88,0.10214
roberta-base@sst2-89,0.11708
roberta-base@qnli-90,0.14593
roberta-base@rte-91,0.327
roberta-base@wnli-92,7.64663
roberta-base@stsb-93,0.10509
roberta-base@sst2-94,0.10105
roberta-base@wnli-95,11.44663
roberta-base@mrpc-96,0.42196
roberta-base@wnli-97,10.27997
roberta-base@sst2-98,0.11722
roberta-base@qqp-99,0.8274
roberta-base@wnli-100,6.04663
roberta-base@mrpc-101,0.29255
roberta-base@wnli-102,5.84663
roberta-base@snli-103,0.54588
roberta-base@stsb-104,0.17504
roberta-base@rte-105,0.20836
roberta-base@qnli-106,0.09058
roberta-base@qnli-107,0.09058
roberta-base@qnli-108,0.13942
roberta-base@qqp-109,0.07304
roberta-base@sst2-110,0.25336
roberta-base@stsb-111,0.35078
roberta-base@sst2-112,0.30143
roberta-base@sst2-113,0.30143
roberta-base@sst2-114,0.37733
roberta-base@qnli-115,0.31671
roberta-base@qnli-116,0.31671
roberta-base@sst2-117,0.52888
roberta-base@wnli-118,11.2133
roberta-base@sst2-119,0.1068
roberta-base@mnli-120,0.09174
roberta-base@wnli-121,3.84663
roberta-base@sst2-122,0.11718
roberta-base@sst2-123,0.10535
roberta-base@rte-124,0.4174
roberta-base@sst2-125,0.12433
roberta-base@sst2-126,0.12433
roberta-base@stsb-127,0.2428
roberta-base@qnli-128,0.11127
roberta-base@qnli-129,0.13763
roberta-base@qnli-130,0.13763
roberta-base@sst2-131,0.32673
roberta-base@sst2-132,0.32673
roberta-base@sst2-133,0.32673
roberta-base@sst2-134,0.47828
roberta-base@qnli-135,0.33283
roberta-base@sst2-136,0.47828
roberta-base@sst2-137,0.63008
roberta-base@sst2-138,0.63008
roberta-base@qnli-139,0.43051
roberta-base@qnli-140,0.52819
roberta-base@qnli-141,0.52819
roberta-base@qnli-142,0.52819
roberta-base@qnli-143,0.62587
roberta-base@rte-144,0.14508
roberta-base@qnli-145,0.50996
roberta-base@mrpc-146,0.26216
roberta-base@qnli-147,0.44581
roberta-base@sst2-148,0.72977
roberta-base@qnli-149,0.54349
roberta-base@qnli-150,0.54349
roberta-base@sst2-151,0.80567
roberta-base@sst2-152,0.88157
roberta-base@qnli-153,0.64117
roberta-base@sst2-154,0.95747
roberta-base@sst2-155,0.95722
roberta-base@sst2-156,1.03312
roberta-base@qnli-157,0.73869
roberta-base@sst2-158,1.10902
roberta-base@sst2-159,1.10902
roberta-base@sst2-160,1.18492
roberta-base@qnli-161,0.83637
roberta-base@qnli-162,0.83637
roberta-base@qnli-163,0.83637
roberta-base@qnli-164,0.88521
roberta-base@sst2-165,1.41262
roberta-base@qnli-166,0.93405
roberta-base@qnli-167,0.93405
roberta-base@sst2-168,1.48853
roberta-base@qnli-169,1.03173
roberta-base@sst2-170,1.56443
roberta-base@sst2-171,1.56443
roberta-base@qnli-172,1.08057
roberta-base@sst2-173,1.71598
roberta-base@wnli-174,8.87997
roberta-base@wnli-175,8.3133
roberta-base@sst2-176,1.58694
roberta-base@sst2-177,1.58694
roberta-base@rte-178,0.32587
roberta-base@stsb-179,0.15537
roberta-base@sst2-180,1.62945
roberta-base@qnli-181,1.12241
roberta-base@sst2-182,1.70535
roberta-base@wnli-183,6.6133
roberta-base@mnli-184,0.17749
roberta-base@qnli-185,1.08415
roberta-base@sst2-186,0.36336
roberta-base@sst2-187,1.60212
roberta-base@sst2-188,0.34837
roberta-base@qnli-189,0.26979
roberta-base@sst2-190,0.36293
roberta-base@qnli-191,0.99038
roberta-base@qnli-192,0.27374
roberta-base@stsb-193,2.21613
roberta-base@rte-194,5.75525
roberta-base@stsb-195,2.3381
roberta-base@qnli-196,0.93877
roberta-base@qnli-197,0.98761
roberta-base@sst2-198,1.45817
