name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-large@mrpc-0,45,255,604.3455929756165,649.3455929756165,1,9170,1
roberta-large@qnli-1,786,114,4004.3455929756165,4790.3455929756165,1,235674.0,2
roberta-large@qnli-2,1280,220,7879.3455929756165,9159.345592975616,1,235674.0,1
roberta-large@sst2-3,1987,113,1516.3455929756165,3503.3455929756165,1,84190.0,2
roberta-large@qnli-4,2634,66,2039.3455929756165,4673.3455929756165,1,235674.0,4
roberta-large@qnli-5,2660,40,3930.3455929756165,6590.3455929756165,1,235674.0,2
roberta-large@qnli-6,3002,298,1341.3455929756165,4343.3455929756165,1,235674.0,8
roberta-large@stsb-7,3459,141,606.3455929756165,4065.3455929756165,1,12942.0,1
roberta-large@rte-8,4072,128,340.34559297561646,4412.3455929756165,1,4984.0,1
roberta-large@qnli-9,4853,247,1290.3455929756165,6143.3455929756165,1,235674.0,8
roberta-large@mnli-10,4906,1094,13869.03677892685,18775.03677892685,3,785408.0,2
roberta-large@qqp-11,6003,297,2566.3455929756165,8569.345592975616,1,909620.0,16
roberta-large@mnli-12,6111,789,13513.691185951233,19624.691185951233,2,785408.0,2
roberta-large@qnli-13,7246,254,2227.3455929756165,9473.345592975616,1,235674.0,4
roberta-large@sst2-14,7328,172,908.3455929756165,8236.345592975616,1,84190.0,4
roberta-large@wnli-15,7516,284,385.34559297561646,7901.3455929756165,1,1590.0,1
roberta-large@sst2-16,7774,26,2782.3455929756165,10556.345592975616,1,84190.0,1
roberta-large@rte-17,8067,33,245.34559297561646,8312.345592975616,1,4984.0,1
roberta-large@sst2-18,8267,133,2889.3455929756165,11156.345592975616,1,84190.0,1
roberta-large@rte-19,8364,36,248.34559297561646,8612.345592975616,1,4984.0,1
roberta-large@stsb-20,8718,282,747.3455929756165,9465.345592975616,1,12942.0,1
roberta-large@qnli-21,8748,252,4142.3455929756165,12890.345592975616,1,235674.0,2
roberta-large@qnli-22,8768,232,7891.3455929756165,16659.345592975616,1,235674.0,1
roberta-large@wnli-23,9147,153,254.34559297561646,9401.345592975616,1,1590.0,1
roberta-large@wnli-24,9538,62,163.34559297561646,9701.345592975616,1,1590.0,1
roberta-large@mrpc-25,9538,62,411.34559297561646,9949.345592975616,1,9170,1
roberta-large@wnli-26,9538,62,163.34559297561646,9701.345592975616,1,1590.0,1
roberta-large@wnli-27,9539,61,162.34559297561646,9701.345592975616,1,1590.0,1
roberta-large@qnli-28,9612,288,7947.3455929756165,17559.345592975616,1,235674.0,1
roberta-large@wnli-29,9707,193,294.34559297561646,10001.345592975616,1,1590.0,1
roberta-large@wnli-30,10052,148,249.34559297561646,10301.345592975616,1,1590.0,1
roberta-large@rte-31,10462,38,250.34559297561646,10712.345592975616,1,4984.0,1
roberta-large@snli-32,10617,2283,5951.036778926849,16568.03677892685,3,824064.0,8
roberta-large@mnli-33,10618,3782,7285.036778926849,17903.03677892685,3,785408.0,8
roberta-large@rte-34,11194,206,342.34559297561646,11536.345592975616,1,4984.0,2
roberta-large@rte-35,11696,4,216.34559297561646,11912.345592975616,1,4984.0,1
roberta-large@stsb-36,11714,286,751.3455929756165,12465.345592975616,1,12942.0,1
roberta-large@stsb-37,12079,221,686.3455929756165,12765.345592975616,1,12942.0,1
roberta-large@snli-38,12082,2918,6535.691185951233,18617.691185951233,2,824064.0,8
roberta-large@sst2-39,12456,144,382.34559297561646,12838.345592975616,1,84190.0,16
roberta-large@stsb-40,13108,92,557.3455929756165,13665.345592975616,1,12942.0,1
roberta-large@rte-41,13468,32,244.34559297561646,13712.345592975616,1,4984.0,1
roberta-large@qnli-42,13470,30,2003.3455929756165,15473.345592975616,1,235674.0,4
roberta-large@wnli-43,13911,189,290.34559297561646,14201.345592975616,1,1590.0,1
roberta-large@qqp-44,14031,15069,19104.382371902466,33135.382371902466,4,909620.0,8
roberta-large@qnli-45,14066,34,7693.3455929756165,21759.345592975616,1,235674.0,1
roberta-large@qqp-46,14109,16491,20526.382371902466,34635.382371902466,4,909620.0,8
roberta-large@sst2-47,14275,125,2881.3455929756165,17156.345592975616,1,84190.0,1
roberta-large@qnli-48,15165,435,1478.3455929756165,16643.345592975616,1,235674.0,8
roberta-large@sst2-49,15342,258,3014.3455929756165,18356.345592975616,1,84190.0,1
roberta-large@rte-50,16030,170,382.34559297561646,16412.345592975616,1,4984.0,1
roberta-large@mrpc-51,16773,27,376.34559297561646,17149.345592975616,1,9170,1
roberta-large@mrpc-52,17132,268,617.3455929756165,17749.345592975616,1,9170,1
roberta-large@qnli-53,17159,241,4131.3455929756165,21290.345592975616,1,235674.0,2
roberta-large@qqp-54,17263,4037,19011.03677892685,36274.03677892685,3,909620.0,2
roberta-large@wnli-55,18187,113,214.34559297561646,18401.345592975616,1,1590.0,1
roberta-large@sst2-56,18254,46,1449.3455929756165,19703.345592975616,1,84190.0,2
roberta-large@rte-57,18835,65,277.34559297561646,19112.345592975616,1,4984.0,1
roberta-large@qnli-58,19136,64,1107.3455929756165,20243.345592975616,1,235674.0,8
roberta-large@qqp-59,19137,3663,18637.03677892685,37774.03677892685,3,909620.0,2
roberta-large@sst2-60,19137,63,472.34559297561646,19609.345592975616,1,84190.0,8
roberta-large@stsb-61,19211,289,754.3455929756165,19965.345592975616,1,12942.0,1
roberta-large@sst2-62,19247,553,962.3455929756165,20209.345592975616,1,84190.0,8
roberta-large@sst2-63,19247,1153,1562.3455929756165,20809.345592975616,1,84190.0,8
roberta-large@mnli-64,20006,11194,14646.691185951233,34652.69118595123,2,785408.0,8
roberta-large@stsb-65,21258,42,507.34559297561646,21765.345592975616,1,12942.0,1
roberta-large@qnli-66,21333,267,7926.3455929756165,29259.345592975616,1,235674.0,1
roberta-large@qnli-67,21547,53,1096.3455929756165,22643.345592975616,1,235674.0,8
roberta-large@qnli-68,21547,53,1096.3455929756165,22643.345592975616,1,235674.0,8
roberta-large@sst2-69,21548,652,1061.3455929756165,22609.345592975616,1,84190.0,8
roberta-large@qnli-70,21548,1252,2295.3455929756165,23843.345592975616,1,235674.0,8
roberta-large@sst2-71,21548,1252,1661.3455929756165,23209.345592975616,1,84190.0,8
roberta-large@rte-72,21891,9,221.34559297561646,22112.345592975616,1,4984.0,1
roberta-large@qnli-73,22260,540,1583.3455929756165,23843.345592975616,1,235674.0,8
roberta-large@mrpc-74,22395,105,454.34559297561646,22849.345592975616,1,9170,1
roberta-large@qnli-75,22654,746,1789.3455929756165,24443.345592975616,1,235674.0,8
roberta-large@sst2-76,22654,1346,1755.3455929756165,24409.345592975616,1,84190.0,8
roberta-large@qnli-77,22654,1346,2389.3455929756165,25043.345592975616,1,235674.0,8
roberta-large@qnli-78,22654,1946,2989.3455929756165,25643.345592975616,1,235674.0,8
roberta-large@sst2-79,22655,1945,2354.3455929756165,25009.345592975616,1,84190.0,8
roberta-large@sst2-80,22655,2545,2954.3455929756165,25609.345592975616,1,84190.0,8
roberta-large@qnli-81,22655,2545,3588.3455929756165,26243.345592975616,1,235674.0,8
roberta-large@sst2-82,22655,3145,3554.3455929756165,26209.345592975616,1,84190.0,8
roberta-large@sst2-83,22655,3145,3554.3455929756165,26209.345592975616,1,84190.0,8
roberta-large@sst2-84,22655,3745,4154.3455929756165,26809.345592975616,1,84190.0,8
roberta-large@qnli-85,22655,3745,4788.3455929756165,27443.345592975616,1,235674.0,8
roberta-large@qnli-86,22655,3745,4788.3455929756165,27443.345592975616,1,235674.0,8
roberta-large@qnli-87,22655,4345,5388.3455929756165,28043.345592975616,1,235674.0,8
roberta-large@sst2-88,23166,4434,4843.3455929756165,28009.345592975616,1,84190.0,8
roberta-large@sst2-89,23298,4302,4711.3455929756165,28009.345592975616,1,84190.0,8
roberta-large@qnli-90,23298,4902,5945.3455929756165,29243.345592975616,1,235674.0,8
roberta-large@qnli-91,23833,4367,5410.3455929756165,29243.345592975616,1,235674.0,8
roberta-large@sst2-92,24306,3894,4303.3455929756165,28609.345592975616,1,84190.0,8
roberta-large@sst2-93,24583,17,2773.3455929756165,27356.345592975616,1,84190.0,1
roberta-large@sst2-94,24611,289,3045.3455929756165,27656.345592975616,1,84190.0,1
roberta-large@qnli-95,24715,185,7844.3455929756165,32559.345592975616,1,235674.0,1
roberta-large@stsb-96,25165,35,500.34559297561646,25665.345592975616,1,12942.0,1
roberta-large@qnli-97,25326,3474,4517.3455929756165,29843.345592975616,1,235674.0,8
roberta-large@sst2-98,25475,3925,4334.3455929756165,29809.345592975616,1,84190.0,8
roberta-large@sst2-99,25688,112,2868.3455929756165,28556.345592975616,1,84190.0,1
roberta-large@rte-100,25946,154,366.34559297561646,26312.345592975616,1,4984.0,1
roberta-large@rte-101,26066,334,546.3455929756165,26612.345592975616,1,4984.0,1
roberta-large@mrpc-102,26099,301,650.3455929756165,26749.345592975616,1,9170,1
roberta-large@wnli-103,26344,56,157.34559297561646,26501.345592975616,1,1590.0,1
roberta-large@sst2-104,26539,161,2917.3455929756165,29456.345592975616,1,84190.0,1
roberta-large@qnli-105,26857,743,4633.3455929756165,31490.345592975616,1,235674.0,2
roberta-large@qnli-106,27150,2250,3293.3455929756165,30443.345592975616,1,235674.0,8
roberta-large@qnli-107,27150,2850,3893.3455929756165,31043.345592975616,1,235674.0,8
roberta-large@wnli-108,27157,443,544.3455929756165,27701.345592975616,1,1590.0,1
roberta-large@sst2-109,27565,2435,2844.3455929756165,30409.345592975616,1,84190.0,8
roberta-large@sst2-110,27871,29,2785.3455929756165,30656.345592975616,1,84190.0,1
roberta-large@sst2-111,28092,2508,2917.3455929756165,31009.345592975616,1,84190.0,8
roberta-large@qnli-112,28092,2508,3551.3455929756165,31643.345592975616,1,235674.0,8
roberta-large@sst2-113,28092,3108,3517.3455929756165,31609.345592975616,1,84190.0,8
roberta-large@sst2-114,28092,3108,3517.3455929756165,31609.345592975616,1,84190.0,8
roberta-large@sst2-115,28093,3707,4116.3455929756165,32209.345592975616,1,84190.0,8
roberta-large@qnli-116,28093,3707,4750.3455929756165,32843.34559297562,1,235674.0,8
roberta-large@sst2-117,28093,3707,4116.3455929756165,32209.345592975616,1,84190.0,8
roberta-large@sst2-118,28093,4307,4716.3455929756165,32809.34559297562,1,84190.0,8
roberta-large@sst2-119,28634,3766,4175.3455929756165,32809.34559297562,1,84190.0,8
