full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,27,0,2,2
32,27,0,2,0
32,19,0,3,2
32,20,0,2,0
32,22,0,3,2
32,14,0,4,2
32,13,0,4,1
32,3,0,6,2
32,5,1,7,2
32,5,0,7,0
32,2,1,7,3
32,1,2,8,2
32,2,1,8,1
32,6,1,7,1
32,13,0,7,2
32,16,0,4,0
32,0,1,7,5
32,2,1,6,0
32,4,1,5,0
32,4,1,5,0
32,16,0,5,2
32,15,0,6,2
32,13,0,8,2
32,11,0,10,2
32,4,3,11,5
32,0,3,13,4
32,0,8,13,6
32,4,14,11,7
32,4,13,11,0
32,0,13,15,7
32,0,13,15,2
32,0,17,17,9
32,0,11,21,2
32,0,1,26,1
32,2,1,23,3
32,16,8,13,6
32,16,8,13,2
32,16,10,12,3
32,16,9,12,1
32,0,7,12,1
32,0,13,11,6
32,0,15,11,2
32,0,11,15,2
32,0,10,16,2
32,0,5,19,3
32,8,7,11,1
32,8,5,11,3
32,8,7,11,3
32,4,6,9,0
32,16,8,6,0
32,16,9,6,2
32,4,10,5,2
32,4,10,5,0
32,0,1,13,2
32,2,1,11,0
32,2,1,11,2
32,2,2,11,1
32,8,6,8,5
32,8,6,8,1
32,2,2,13,1
32,3,3,12,3
32,6,2,9,1
32,2,2,10,2
32,2,6,9,6
32,3,14,9,9
32,8,18,6,3
32,8,20,6,2
32,8,23,6,3
32,0,18,9,1
32,0,18,9,0
32,0,19,8,4
32,0,38,9,22
32,0,39,9,3
32,0,40,9,1
32,0,40,9,2
32,0,78,9,39
32,0,79,9,3
32,0,91,4,9
32,0,93,4,2
32,0,94,4,2
32,0,88,10,2
32,0,88,10,3
32,0,94,10,7
32,0,94,10,3
32,0,93,10,3
32,0,93,9,4
32,0,97,9,6
32,0,102,4,2
32,0,104,4,3
32,0,104,4,2
32,0,108,4,4
32,0,110,4,3
32,0,109,4,2
32,0,132,4,23
32,0,134,4,2
32,0,132,4,2
32,0,132,4,0
32,0,132,4,0
32,0,131,4,0
32,0,128,4,0
32,0,128,4,0
32,0,127,4,0
32,0,127,4,0
32,0,124,4,0
32,0,124,4,0
32,0,123,4,0
32,0,122,3,0
32,0,122,3,0
32,0,120,4,0
32,0,119,4,0
32,0,119,4,0
32,0,117,4,0
32,0,117,4,0
32,0,115,4,0
32,0,114,4,0
32,0,113,4,0
32,0,113,4,0
32,0,110,4,0
32,0,109,4,0
32,0,109,4,0
32,0,108,4,0
32,0,105,4,0
32,0,105,4,0
32,0,104,4,0
32,0,102,4,0
32,0,101,4,0
32,0,101,4,0
32,0,100,4,0
32,0,98,4,0
32,0,97,4,0
32,0,96,4,0
32,0,95,4,0
32,0,93,4,0
32,0,92,4,0
32,0,91,4,0
32,0,90,4,0
32,0,88,4,0
32,0,87,4,0
32,0,86,4,0
32,0,85,4,0
32,0,84,4,0
32,0,83,4,0
32,0,81,4,0
32,0,80,4,0
32,0,80,4,0
32,0,78,4,0
32,0,72,9,0
32,0,71,9,0
32,0,70,9,0
32,0,69,9,0
32,0,61,16,0
32,8,68,8,0
32,0,61,13,0
32,8,62,8,0
32,8,60,9,0
32,4,60,7,0
32,4,57,7,0
32,4,57,7,0
32,4,55,7,0
32,4,54,7,0
32,4,52,7,0
32,4,51,7,0
32,0,43,12,0
32,2,42,10,0
32,0,40,11,0
32,0,34,14,0
32,8,35,9,0
32,8,34,9,0
32,8,33,8,0
32,8,32,8,0
32,8,31,8,0
32,8,30,8,0
32,9,29,7,0
32,9,29,7,0
32,11,28,5,0
32,5,26,5,0
32,5,26,5,0
32,0,26,4,0
32,0,24,4,0
32,0,23,4,0
32,0,23,4,0
32,0,21,4,0
32,0,19,4,0
32,0,19,4,0
32,0,17,4,0
32,0,16,4,0
32,0,15,4,0
32,0,15,4,0
32,0,12,4,0
32,0,11,4,0
32,0,11,4,0
32,0,9,4,0
32,6,7,4,0
32,6,7,4,0
32,0,5,4,0
32,0,3,4,0
32,0,3,4,0
32,0,2,4,0
32,0,1,4,0
32,8,0,3,0
32,8,0,3,0
32,16,0,2,0
32,24,0,1,0
32,32,0,0,0
