full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,27,0,2,2
32,25,0,4,2
32,23,0,5,3
32,30,0,1,0
32,28,0,3,2
32,20,0,4,2
32,19,0,4,1
32,4,0,9,6
32,0,0,10,2
32,9,0,8,0
32,3,2,8,4
32,2,2,9,2
32,1,2,10,2
32,8,5,7,2
32,8,7,7,4
32,3,1,8,0
32,4,4,6,5
32,0,6,6,3
32,0,7,6,1
32,0,9,6,2
32,0,12,6,5
32,0,11,9,3
32,0,11,7,4
32,0,17,4,6
32,0,20,9,10
32,0,30,9,10
32,0,38,9,11
32,0,52,9,14
32,0,52,9,1
32,0,61,9,9
32,4,64,7,4
32,0,79,9,20
32,0,79,9,4
32,0,80,7,4
32,0,80,11,6
32,0,94,8,15
32,0,95,8,4
32,0,93,11,4
32,0,93,7,2
32,0,89,10,1
32,0,93,12,10
32,0,98,12,5
32,0,93,17,4
32,0,96,15,6
32,0,97,21,8
32,4,94,18,1
32,0,92,19,4
32,0,83,29,4
32,8,79,22,4
32,8,79,14,3
32,8,83,10,8
32,0,86,5,6
32,0,86,5,0
32,0,86,8,4
32,0,86,10,2
32,0,89,10,3
32,0,90,10,2
32,0,91,15,8
32,0,89,12,1
32,0,80,15,1
32,0,81,15,4
32,0,82,12,6
32,12,85,9,4
32,8,93,6,8
32,8,107,6,14
32,8,109,6,3
32,16,114,5,5
32,4,115,6,4
32,0,117,6,4
32,0,112,10,2
32,0,109,15,5
32,0,148,15,43
32,0,147,14,3
32,0,147,14,3
32,0,150,14,5
32,8,228,8,75
32,8,231,9,6
32,8,237,9,9
32,0,238,10,4
32,0,240,10,5
32,0,240,10,4
32,0,235,16,4
32,8,246,8,9
32,0,240,14,5
32,0,251,13,14
32,16,260,6,8
32,0,262,7,6
32,0,266,6,5
32,0,266,12,7
32,8,274,7,9
32,8,278,6,4
32,0,280,7,4
32,0,283,7,3
32,0,354,4,70
32,0,359,4,5
32,0,358,8,5
32,0,355,9,0
32,0,350,9,0
32,0,346,10,0
32,0,340,10,0
32,0,339,10,0
32,0,341,4,0
32,0,339,4,0
32,0,339,4,0
32,0,337,4,0
32,0,337,4,0
32,0,328,10,0
32,0,325,10,0
32,0,321,10,0
32,0,317,9,0
32,0,316,9,0
32,0,312,9,0
32,0,307,10,0
32,0,310,4,0
32,0,309,4,0
32,0,308,4,0
32,0,307,4,0
32,0,306,4,0
32,0,305,4,0
32,0,302,4,0
32,0,300,4,0
32,0,298,4,0
32,0,297,4,0
32,0,296,4,0
32,0,293,4,0
32,0,291,4,0
32,0,288,4,0
32,0,288,4,0
32,0,286,4,0
32,0,286,4,0
32,0,283,4,0
32,0,280,4,0
32,0,278,4,0
32,0,276,4,0
32,0,275,4,0
32,0,267,10,0
32,0,263,9,0
32,12,263,5,0
32,12,262,5,0
32,8,260,5,0
32,8,259,5,0
32,0,257,6,0
32,0,255,6,0
32,0,256,4,0
32,0,256,4,0
32,0,256,3,0
32,0,254,3,0
32,0,252,4,0
32,0,250,4,0
32,0,248,4,0
32,0,247,4,0
32,0,245,4,0
32,0,244,4,0
32,0,241,4,0
32,0,239,4,0
32,0,238,4,0
32,0,236,4,0
32,0,234,4,0
32,0,232,4,0
32,0,230,4,0
32,0,228,4,0
32,0,227,4,0
32,0,225,4,0
32,0,224,4,0
32,0,221,4,0
32,0,221,4,0
32,0,220,4,0
32,0,219,4,0
32,0,218,4,0
32,0,215,4,0
32,0,214,4,0
32,0,211,4,0
32,0,209,4,0
32,0,207,4,0
32,0,205,4,0
32,0,203,4,0
32,0,202,4,0
32,0,200,4,0
32,0,199,4,0
32,0,198,4,0
32,0,196,4,0
32,0,195,4,0
32,0,191,4,0
32,0,190,4,0
32,0,187,4,0
32,0,186,4,0
32,0,184,4,0
32,0,182,4,0
32,0,181,4,0
32,0,179,4,0
32,0,177,4,0
32,0,176,4,0
32,0,175,4,0
32,0,174,4,0
32,0,172,4,0
32,0,164,10,0
32,0,166,4,0
32,0,166,4,0
32,0,157,11,0
32,0,157,11,0
32,0,154,10,0
32,0,153,10,0
32,0,149,10,0
32,0,145,11,0
32,0,144,10,0
32,8,146,6,0
32,0,142,7,0
32,0,137,8,0
32,0,138,4,0
32,0,136,4,0
32,0,135,4,0
32,0,128,9,0
32,0,126,9,0
32,0,122,8,0
32,0,111,15,0
32,0,107,16,0
32,0,104,14,0
32,8,102,8,0
32,8,101,8,0
32,8,99,8,0
32,0,96,8,0
32,0,93,9,0
32,0,91,8,0
32,0,87,9,0
32,0,86,9,0
32,3,84,6,0
32,5,83,5,0
32,5,82,5,0
32,0,81,4,0
32,0,80,4,0
32,0,78,4,0
32,0,77,4,0
32,0,75,4,0
32,0,73,4,0
32,0,72,4,0
32,0,70,4,0
32,0,70,4,0
32,0,68,4,0
32,0,67,4,0
32,0,65,4,0
32,0,63,4,0
32,0,60,4,0
32,0,58,4,0
32,0,56,4,0
32,0,53,4,0
32,0,52,4,0
32,0,49,4,0
32,0,48,4,0
32,0,46,4,0
32,0,44,4,0
32,0,42,4,0
