name,finish_time_fairness
roberta-base@mrpc-0,0.36745
roberta-base@qnli-1,0.04558
roberta-base@qnli-2,0.02503
roberta-base@sst2-3,0.05303
roberta-base@qnli-4,0.1055
roberta-base@qnli-5,0.08268
roberta-base@qnli-6,0.2302
roberta-base@stsb-7,0.11576
roberta-base@rte-8,0.19977
roberta-base@qnli-9,0.13525
roberta-base@mnli-10,0.03522
roberta-base@qqp-11,0.22787
roberta-base@mnli-12,0.03332
roberta-base@qnli-13,0.11993
roberta-base@sst2-14,0.13058
roberta-base@wnli-15,7.09327
roberta-base@sst2-16,0.05554
roberta-base@rte-17,0.48
roberta-base@sst2-18,0.02639
roberta-base@rte-19,0.35118
roberta-base@stsb-20,0.13412
roberta-base@qnli-21,0.07205
roberta-base@qnli-22,0.0403
roberta-base@wnli-23,10.35993
roberta-base@wnli-24,8.29327
roberta-base@mrpc-25,0.34196
roberta-base@wnli-26,8.29327
roberta-base@wnli-27,8.2266
roberta-base@qnli-28,0.0392
roberta-base@wnli-29,5.0266
roberta-base@wnli-30,6.0266
roberta-base@rte-31,0.40316
roberta-base@snli-32,0.15616
roberta-base@mnli-33,0.0976
roberta-base@rte-34,0.84266
roberta-base@rte-35,0.41446
roberta-base@stsb-36,0.13762
roberta-base@stsb-37,0.13325
roberta-base@snli-38,0.20354
roberta-base@sst2-39,0.30695
roberta-base@stsb-40,0.17784
roberta-base@rte-41,0.47774
roberta-base@qnli-42,0.08007
roberta-base@wnli-43,4.75993
roberta-base@qqp-44,0.20557
roberta-base@qnli-45,0.04916
roberta-base@qqp-46,0.1996
roberta-base@sst2-47,0.03678
roberta-base@qnli-48,0.22623
roberta-base@sst2-49,0.03817
roberta-base@rte-50,0.38282
roberta-base@mrpc-51,0.27333
roberta-base@mrpc-52,0.27529
roberta-base@qnli-53,0.05727
roberta-base@qqp-54,0.0599
roberta-base@wnli-55,7.69327
roberta-base@sst2-56,0.08653
roberta-base@rte-57,0.28113
roberta-base@qnli-58,0.27904
roberta-base@qqp-59,0.05782
roberta-base@sst2-60,0.3962
roberta-base@stsb-61,0.1927
roberta-base@sst2-62,0.41158
roberta-base@sst2-63,0.25138
roberta-base@mnli-64,0.09476
roberta-base@stsb-65,0.18658
roberta-base@qnli-66,0.05719
roberta-base@qnli-67,0.20506
roberta-base@qnli-68,0.31375
roberta-base@sst2-69,0.36179
roberta-base@qnli-70,0.26888
roberta-base@sst2-71,0.39064
roberta-base@rte-72,0.42576
roberta-base@qnli-73,0.2356
roberta-base@mrpc-74,0.30863
roberta-base@qnli-75,0.57781
roberta-base@sst2-76,0.55418
roberta-base@qnli-77,0.43695
roberta-base@qnli-78,0.50774
roberta-base@sst2-79,0.57675
roberta-base@sst2-80,0.57675
roberta-base@qnli-81,0.54069
roberta-base@sst2-82,0.57675
roberta-base@sst2-83,0.57675
roberta-base@sst2-84,0.55367
roberta-base@qnli-85,0.50742
roberta-base@qnli-86,0.57638
roberta-base@qnli-87,0.55515
roberta-base@sst2-88,0.55924
roberta-base@sst2-89,0.57928
roberta-base@qnli-90,0.36962
roberta-base@qnli-91,0.24947
roberta-base@sst2-92,0.2695
roberta-base@sst2-93,0.05254
roberta-base@sst2-94,0.07257
roberta-base@qnli-95,0.03263
roberta-base@stsb-96,0.128
roberta-base@qnli-97,0.22323
roberta-base@sst2-98,0.22254
roberta-base@sst2-99,0.05046
roberta-base@rte-100,0.48226
roberta-base@rte-101,0.48226
roberta-base@mrpc-102,0.34
roberta-base@wnli-103,7.8266
roberta-base@sst2-104,0.03538
roberta-base@qnli-105,0.04184
roberta-base@qnli-106,0.14274
roberta-base@qnli-107,0.22649
roberta-base@wnli-108,9.69327
roberta-base@sst2-109,0.19947
roberta-base@sst2-110,0.0341
roberta-base@sst2-111,0.39985
roberta-base@qnli-112,0.28711
roberta-base@sst2-113,0.39985
roberta-base@sst2-114,0.32304
roberta-base@sst2-115,0.39934
roberta-base@qnli-116,0.28679
roberta-base@sst2-117,0.32253
roberta-base@sst2-118,0.41381
roberta-base@sst2-119,0.23742
