name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-base@mrpc-0,45,75,187.39900946617126,232.39900946617126,1,9170,2
roberta-base@sst2-1,92,28,498.59603786468506,590.5960378646851,4,168380,1
roberta-base@rte-2,766,74,193.39900946617126,959.3990094661713,1,4984.0,1
roberta-base@snli-3,786,54,3414.5861325263977,4200.586132526398,14,1373440,4
roberta-base@qnli-4,1280,40,388.39900946617126,1668.3990094661713,1,261860,16
roberta-base@qqp-5,1987,53,2418.5910851955414,4405.591085195541,9,909620.0,1
roberta-base@sst2-6,2229,51,398.79801893234253,2627.7980189323425,2,168380,8
roberta-base@qnli-7,2634,6,806.9950473308563,3440.9950473308563,5,261860,1
roberta-base@qnli-8,2660,100,719.7980189323425,3379.7980189323425,2,261860,1
roberta-base@qnli-9,3002,118,837.1970283985138,3839.197028398514,3,261860,3
roberta-base@sst2-10,3002,118,687.5960378646851,3689.596037864685,4,168380,8
roberta-base@sst2-11,3014,106,529.7980189323425,3543.7980189323425,2,168380,8
roberta-base@mrpc-12,3459,21,183.39900946617126,3642.3990094661713,1,9170,1
roberta-base@wnli-13,3853,107,169.39900946617126,4022.3990094661713,1,159.0,1
roberta-base@rte-14,4072,8,127.39900946617126,4199.399009466171,1,4984.0,1
roberta-base@qnli-15,4853,67,758.5960378646851,5611.596037864685,4,261860,1
roberta-base@mnli-16,4906,14,1202.596037864685,6108.596037864685,4,883584.0,16
roberta-base@qqp-17,4906,14,2291.9900946617126,7197.990094661713,10,909620.0,2
roberta-base@sst2-18,5098,62,400.39900946617126,5498.399009466171,1,168380,8
roberta-base@qqp-19,6003,117,2955.788113594055,8958.788113594055,12,909620.0,1
roberta-base@mnli-20,6111,9,1389.9950473308563,7500.995047330856,5,883584.0,8
roberta-base@sst2-21,6467,13,351.39900946617126,6818.399009466171,1,168380,8
roberta-base@qnli-22,7246,74,1116.3940567970276,8362.394056797028,6,261860,4
roberta-base@sst2-23,7246,74,623.7980189323425,7869.7980189323425,2,168380,4
roberta-base@sst2-24,7328,112,661.7980189323425,7989.7980189323425,2,168380,4
roberta-base@qnli-25,7430,10,953.1970283985138,8383.197028398514,3,261860,4
roberta-base@sst2-26,7490,70,752.1970283985138,8242.197028398514,3,168380,4
roberta-base@sst2-27,7516,44,726.1970283985138,8242.197028398514,3,168380,4
roberta-base@sst2-28,7670,10,692.1970283985138,8362.197028398514,3,168380,1
roberta-base@sst2-29,7719,81,825.1970283985138,8544.197028398514,3,168380,1
roberta-base@qnli-30,7774,26,854.1970283985138,8628.197028398514,3,261860,8
roberta-base@rte-31,8067,93,212.39900946617126,8279.399009466171,1,4984.0,1
roberta-base@qnli-32,8264,16,612.1970283985138,8876.197028398514,3,261860,8
roberta-base@sst2-33,8267,13,436.79801893234253,8703.798018932343,2,168380,8
roberta-base@rte-34,8364,36,155.39900946617126,8519.399009466171,1,4984.0,1
roberta-base@qnli-35,8718,42,743.9950473308563,9461.995047330856,5,261860,8
roberta-base@qnli-36,8748,12,480.79801893234253,9228.798018932343,2,261860,8
roberta-base@qnli-37,8768,112,650.1970283985138,9418.197028398514,3,261860,16
roberta-base@mrpc-38,9026,94,206.39900946617126,9232.399009466171,1,9170,2
roberta-base@wnli-39,9147,93,155.39900946617126,9302.399009466171,1,159.0,1
roberta-base@mnli-40,9491,109,1346.3940567970276,10837.394056797028,6,883584.0,1
roberta-base@wnli-41,9538,62,124.39900946617126,9662.399009466171,1,159.0,1
roberta-base@mrpc-42,9538,62,174.39900946617126,9712.399009466171,1,9170,2
roberta-base@mrpc-43,9538,62,174.39900946617126,9712.399009466171,1,9170,2
roberta-base@rte-44,9538,62,181.39900946617126,9719.399009466171,1,4984.0,1
roberta-base@wnli-45,9539,61,123.39900946617126,9662.399009466171,1,159.0,1
roberta-base@wnli-46,9539,61,123.39900946617126,9662.399009466171,1,159.0,1
roberta-base@qnli-47,9612,108,713.5960378646851,10325.596037864685,4,261860,1
roberta-base@mrpc-48,9707,13,125.39900946617126,9832.399009466171,1,9170,2
roberta-base@wnli-49,10052,28,90.39900946617126,10142.399009466171,1,159.0,1
roberta-base@rte-50,10462,98,217.39900946617126,10679.399009466171,1,4984.0,1
roberta-base@mrpc-51,10587,93,205.39900946617126,10792.399009466171,1,9170,2
roberta-base@snli-52,10617,63,3125.9900946617126,13742.990094661713,10,1373440,8
roberta-base@mnli-53,10618,62,1124.3990094661713,11742.399009466171,1,883584.0,12
roberta-base@qqp-54,10618,62,2208.19207572937,12826.19207572937,8,909620.0,3
roberta-base@mrpc-55,10835,85,197.39900946617126,11032.399009466171,1,9170,2
roberta-base@rte-56,11194,86,205.39900946617126,11399.399009466171,1,4984.0,1
roberta-base@mrpc-57,11370,30,142.39900946617126,11512.399009466171,1,9170,2
roberta-base@mrpc-58,11370,30,142.39900946617126,11512.399009466171,1,9170,2
roberta-base@rte-59,11696,64,183.39900946617126,11879.399009466171,1,4984.0,1
