name,finish_time_fairness
roberta-base@mrpc-0,0.24497
roberta-base@sst2-1,0.0944
roberta-base@rte-2,0.29137
roberta-base@snli-3,0.0393
roberta-base@qnli-4,0.01783
roberta-base@qqp-5,0.18694
roberta-base@sst2-6,0.13453
roberta-base@qnli-7,0.09826
roberta-base@qnli-8,0.05795
roberta-base@qnli-9,0.18173
roberta-base@sst2-10,0.23195
roberta-base@sst2-11,0.1003
roberta-base@mrpc-12,0.23974
roberta-base@wnli-13,7.52884
roberta-base@rte-14,0.19194
roberta-base@qnli-15,0.16467
roberta-base@mnli-16,0.08148
roberta-base@qqp-17,0.03983
roberta-base@sst2-18,0.13507
roberta-base@qqp-19,0.16025
roberta-base@mnli-20,0.09417
roberta-base@sst2-21,0.11854
roberta-base@qnli-22,0.13594
roberta-base@sst2-23,0.1181
roberta-base@sst2-24,0.1253
roberta-base@qnli-25,0.11607
roberta-base@sst2-26,0.14241
roberta-base@sst2-27,0.05185
roberta-base@sst2-28,0.13105
roberta-base@sst2-29,0.15623
roberta-base@qnli-30,0.03922
roberta-base@rte-31,0.32
roberta-base@qnli-32,0.02811
roberta-base@sst2-33,0.03119
roberta-base@rte-34,0.23412
roberta-base@qnli-35,0.03416
roberta-base@qnli-36,0.03871
roberta-base@qnli-37,0.02985
roberta-base@mrpc-38,0.2698
roberta-base@wnli-39,6.90662
roberta-base@mnli-40,0.03296
roberta-base@wnli-41,5.52884
roberta-base@mrpc-42,0.22797
roberta-base@mrpc-43,0.22797
roberta-base@rte-44,0.27329
roberta-base@wnli-45,5.4844
roberta-base@wnli-46,5.4844
roberta-base@qnli-47,0.03276
roberta-base@mrpc-48,0.16392
roberta-base@wnli-49,4.01773
roberta-base@rte-50,0.32753
roberta-base@mrpc-51,0.2685
roberta-base@snli-52,0.11225
roberta-base@mnli-53,0.02753
roberta-base@qqp-54,0.11972
roberta-base@mrpc-55,0.45576
roberta-base@rte-56,0.56178
roberta-base@mrpc-57,0.32877
roberta-base@mrpc-58,0.18614
roberta-base@rte-59,0.27631
roberta-base@stsb-60,0.13802
roberta-base@wnli-61,6.63996
roberta-base@stsb-62,0.13511
roberta-base@snli-63,0.1469
roberta-base@wnli-64,7.30662
roberta-base@sst2-65,0.32616
roberta-base@stsb-66,0.11856
roberta-base@rte-67,0.31849
roberta-base@qnli-68,0.06402
