name,finish_time_fairness
roberta-base@mrpc-0,0.18484
roberta-base@sst2-1,0.02677
roberta-base@rte-2,0.21454
roberta-base@snli-3,0.00164
roberta-base@qnli-4,0.01668
roberta-base@qqp-5,0.17125
roberta-base@sst2-6,0.13689
roberta-base@qnli-7,0.05538
roberta-base@qnli-8,0.0458
roberta-base@qnli-9,0.09481
roberta-base@sst2-10,0.14735
roberta-base@sst2-11,0.08667
roberta-base@mrpc-12,0.17438
roberta-base@wnli-13,7.52884
roberta-base@rte-14,0.19194
roberta-base@qnli-15,0.1447
roberta-base@mnli-16,0.07615
roberta-base@qqp-17,0.01953
roberta-base@sst2-18,0.13959
roberta-base@qqp-19,0.05839
roberta-base@mnli-20,0.07297
roberta-base@sst2-21,0.12407
roberta-base@qnli-22,0.05725
roberta-base@sst2-23,0.08902
roberta-base@sst2-24,0.1019
roberta-base@qnli-25,0.06553
roberta-base@sst2-26,0.07732
roberta-base@sst2-27,0.0273
roberta-base@sst2-28,0.09224
roberta-base@sst2-29,0.1067
roberta-base@qnli-30,0.02588
roberta-base@rte-31,0.32
roberta-base@qnli-32,0.00929
roberta-base@sst2-33,0.01445
roberta-base@rte-34,0.23412
roberta-base@qnli-35,0.02641
roberta-base@qnli-36,0.0371
roberta-base@qnli-37,0.03169
roberta-base@mrpc-38,0.2698
roberta-base@wnli-39,6.90662
roberta-base@mnli-40,0.02914
roberta-base@wnli-41,5.4844
roberta-base@mrpc-42,0.16
roberta-base@mrpc-43,0.16131
roberta-base@rte-44,0.18591
roberta-base@wnli-45,5.43996
roberta-base@wnli-46,5.4844
roberta-base@qnli-47,0.00571
roberta-base@mrpc-48,0.16261
roberta-base@wnli-49,4.01773
roberta-base@rte-50,0.32753
roberta-base@mrpc-51,0.21229
roberta-base@snli-52,0.00583
roberta-base@mnli-53,0.02788
roberta-base@qqp-54,0.06174
roberta-base@mrpc-55,0.45576
roberta-base@rte-56,0.56178
roberta-base@mrpc-57,0.32877
roberta-base@mrpc-58,0.18614
roberta-base@rte-59,0.21152
roberta-base@stsb-60,0.08184
roberta-base@wnli-61,6.55107
roberta-base@stsb-62,0.08883
roberta-base@snli-63,0.00529
roberta-base@wnli-64,7.21773
roberta-base@sst2-65,0.08938
roberta-base@stsb-66,0.11856
roberta-base@rte-67,0.23714
