name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
roberta-large@mrpc-0,45,75,167.34559297561646,212.34559297561646,1,9170,8
roberta-large@qnli-1,1280,40,516.3455929756165,1796.3455929756165,1,235674.0,32
roberta-large@sst2-2,1987,53,281.6911859512329,2268.691185951233,2,84190.0,24
roberta-large@qnli-3,2634,6,899.7279648780823,3533.7279648780823,5,235674.0,1
roberta-large@qnli-4,2660,100,936.0367789268494,3596.0367789268494,3,235674.0,3
roberta-large@sst2-5,3002,118,700.3823719024658,3702.382371902466,4,84190.0,1
roberta-large@qnli-6,4853,67,880.0367789268494,5733.036778926849,3,235674.0,1
roberta-large@mnli-7,4906,14,2148.382371902466,7054.382371902466,4,785408.0,8
roberta-large@qqp-8,6003,117,3623.492708683014,9626.492708683014,13,909620.0,1
roberta-large@mnli-9,6111,9,3367.0735578536987,9478.073557853699,6,785408.0,2
roberta-large@qnli-10,7246,74,1261.7647438049316,8507.764743804932,8,235674.0,8
roberta-large@sst2-11,7328,112,731.0367789268494,8059.036778926849,3,84190.0,1
roberta-large@wnli-12,7516,44,145.34559297561646,7661.3455929756165,1,1590.0,1
roberta-large@rte-13,8067,93,192.34559297561646,8259.345592975616,1,4984.0,4
roberta-large@rte-14,8364,36,135.34559297561646,8499.345592975616,1,4984.0,4
roberta-large@qnli-15,8748,12,1323.7647438049316,10071.764743804932,8,235674.0,2
roberta-large@qnli-16,8768,112,1047.691185951233,9815.691185951233,2,235674.0,12
roberta-large@rte-17,9147,93,192.34559297561646,9339.345592975616,1,4984.0,4
roberta-large@wnli-18,9538,62,139.34559297561646,9677.345592975616,1,1590.0,2
roberta-large@mrpc-19,9538,62,154.34559297561646,9692.345592975616,1,9170,8
roberta-large@wnli-20,9539,61,162.34559297561646,9701.345592975616,1,1590.0,1
roberta-large@qnli-21,9612,108,798.3823719024658,10410.382371902466,4,235674.0,32
roberta-large@wnli-22,10052,28,129.34559297561646,10181.345592975616,1,1590.0,1
roberta-large@mrpc-23,10462,98,190.34559297561646,10652.345592975616,1,9170,8
roberta-large@sst2-24,10617,63,302.34559297561646,10919.345592975616,1,84190.0,16
roberta-large@mnli-25,10618,62,1593.0735578536987,12211.073557853699,6,785408.0,32
roberta-large@rte-26,11194,86,185.34559297561646,11379.345592975616,1,4984.0,4
roberta-large@rte-27,11696,64,163.34559297561646,11859.345592975616,1,4984.0,4
roberta-large@stsb-28,11714,46,150.34559297561646,11864.345592975616,1,12942.0,8
roberta-large@sst2-29,12456,24,252.6911859512329,12708.691185951233,2,84190.0,24
roberta-large@stsb-30,13108,92,196.34559297561646,13304.345592975616,1,12942.0,8
roberta-large@rte-31,13468,92,191.34559297561646,13659.345592975616,1,4984.0,4
roberta-large@sst2-32,13470,90,273.34559297561646,13743.345592975616,1,84190.0,28
roberta-large@rte-33,13911,9,108.34559297561646,14019.345592975616,1,4984.0,4
roberta-large@qqp-34,14031,9,2525.7279648780823,16556.727964878082,5,909620.0,12
roberta-large@qqp-35,14109,51,2688.419150829315,16797.419150829315,7,909620.0,32
roberta-large@sst2-36,14275,5,624.0367789268494,14899.03677892685,3,84190.0,1
roberta-large@rte-37,16030,50,149.34559297561646,16179.345592975616,1,4984.0,4
roberta-large@mrpc-38,17132,28,120.34559297561646,17252.345592975616,1,9170,8
roberta-large@snli-39,17263,17,1329.691185951233,18592.691185951233,2,824064.0,20
roberta-large@wnli-40,18835,5,66.34559297561646,18901.345592975616,1,1590.0,8
roberta-large@qnli-41,19136,64,1097.7279648780823,20233.727964878082,5,235674.0,12
roberta-large@qqp-42,19137,63,3030.801522731781,22167.80152273178,11,909620.0,8
roberta-large@sst2-43,19137,63,682.0367789268494,19819.03677892685,3,84190.0,1
roberta-large@sst2-44,19247,73,692.0367789268494,19939.03677892685,3,84190.0,1
roberta-large@qnli-45,20006,34,863.0367789268494,20869.03677892685,3,235674.0,8
roberta-large@stsb-46,21258,102,206.34559297561646,21464.345592975616,1,12942.0,8
roberta-large@qnli-47,21547,53,1819.0735578536987,23366.0735578537,6,235674.0,1
roberta-large@sst2-48,21548,52,671.0367789268494,22219.03677892685,3,84190.0,1
roberta-large@qnli-49,21548,52,2009.0735578536987,23557.0735578537,6,235674.0,1
roberta-large@sst2-50,21548,52,671.0367789268494,22219.03677892685,3,84190.0,1
roberta-large@mrpc-51,21891,69,256.6911859512329,22147.691185951233,2,9170,1
