name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit@frgfm#imagenette-0,45,75,292.3224992752075,337.3224992752075,2,85221.0,3
vit@imagenet-split-1-1,92,28,489.16124963760376,581.1612496376038,1,750000,24
vit@frgfm#imagenette-2,491,109,346.3224992752075,837.3224992752075,2,85221.0,12
vit@Bingsu#Cat_and_Dog-3,766,74,164.16124963760376,930.1612496376038,1,63680.0,4
vit@food101-4,786,54,1359.1612496376038,2145.1612496376038,1,757500.0,4
vit@imagenet-split-0-5,1280,40,363.3224992752075,1643.3224992752075,2,250000.0,3
vit@Bingsu#Cat_and_Dog-6,1322,118,208.16124963760376,1530.1612496376038,1,63680.0,4
vit@mnist-7,1576,104,1145.1612496376038,2721.1612496376038,1,600000.0,4
vit@Bingsu#Cat_and_Dog-8,1747,53,143.16124963760376,1890.1612496376038,1,63680.0,4
vit@imagenet-split-2-9,1987,53,1918.8062481880188,3905.806248188019,5,1000000.0,4
vit@imagenet-split-1-10,2229,51,641.644998550415,2870.644998550415,4,750000,8
vit@imagenet-split-2-11,2296,104,1983.644998550415,4279.644998550415,4,1000000.0,1
vit@food101-12,2296,104,1616.9674978256226,3912.9674978256226,6,757500.0,1
vit@mnist-13,2374,386,1550.644998550415,3924.644998550415,4,600000.0,2
vit@imagenet-split-1-14,2634,6,689.8062481880188,3323.806248188019,5,750000,3
vit@imagenet-split-2-15,2660,220,2102.806248188019,4762.806248188019,5,1000000.0,1
vit@mnist-16,3002,358,1433.3224992752075,4435.3224992752075,2,600000.0,4
vit@mnist-17,3002,118,1311.8062481880188,4313.806248188019,5,600000.0,4
vit@imagenet-split-0-18,3014,106,443.3224992752075,3457.3224992752075,2,250000.0,3
vit@imagenet-split-1-19,3350,10,697.4837489128113,4047.4837489128113,3,750000,4
vit@frgfm#imagenette-20,3459,21,238.32249927520752,3697.3224992752075,2,85221.0,3
vit@frgfm#imagenette-21,3853,107,324.3224992752075,4177.3224992752075,2,85221.0,3
vit@imagenet-split-2-22,3999,81,1839.3224992752075,5838.3224992752075,2,1000000.0,2
vit@frgfm#imagenette-23,4072,8,225.32249927520752,4297.3224992752075,2,85221.0,3
vit@Bingsu#Cat_and_Dog-24,4256,64,154.16124963760376,4410.161249637604,1,63680.0,4
vit@Bingsu#Cat_and_Dog-25,4295,25,115.16124963760376,4410.161249637604,1,63680.0,4
vit@mnist-26,4853,67,1108.1612496376038,5961.161249637604,1,600000.0,4
vit@fashion_mnist-27,4853,67,401.3224992752075,5254.3224992752075,2,600000.0,8
vit@food101-28,4906,14,1319.1612496376038,6225.161249637604,1,757500.0,4
vit@food101-29,4906,14,1319.1612496376038,6225.161249637604,1,757500.0,4
vit@fashion_mnist-30,5098,62,532.644998550415,5630.644998550415,4,600000.0,8
vit@fashion_mnist-31,5295,105,553.4837489128113,5848.483748912811,3,600000.0,1
vit@Bingsu#Cat_and_Dog-32,5345,55,145.16124963760376,5490.161249637604,1,63680.0,4
