name,finish_time_fairness
vit@frgfm#imagenette-0,0.03169
vit@imagenet-split-1-1,0.02471
vit@frgfm#imagenette-2,0.03754
vit@Bingsu#Cat_and_Dog-3,0.03895
vit@food101-4,0.04153
vit@imagenet-split-0-5,0.01464
vit@Bingsu#Cat_and_Dog-6,0.04939
vit@mnist-7,0.04418
vit@Bingsu#Cat_and_Dog-8,0.03396
vit@imagenet-split-2-9,0.0444
vit@imagenet-split-1-10,0.05347
vit@imagenet-split-2-11,0.03109
vit@food101-12,0.03346
vit@mnist-13,0.02389
vit@imagenet-split-1-14,0.03484
vit@imagenet-split-2-15,0.04866
vit@mnist-16,0.0553
vit@mnist-17,0.05061
vit@imagenet-split-0-18,0.06132
vit@imagenet-split-1-19,0.03523
vit@frgfm#imagenette-20,0.02583
vit@frgfm#imagenette-21,0.03516
vit@imagenet-split-2-22,0.02883
vit@frgfm#imagenette-23,0.02443
vit@Bingsu#Cat_and_Dog-24,0.03657
vit@Bingsu#Cat_and_Dog-25,0.02732
vit@mnist-26,0.04275
vit@fashion_mnist-27,0.04581
vit@food101-28,0.04066
vit@food101-29,0.02729
vit@fashion_mnist-30,0.0608
vit@fashion_mnist-31,0.06318
vit@Bingsu#Cat_and_Dog-32,0.03444
vit@frgfm#imagenette-33,0.0331
vit@imagenet-split-2-34,0.03098
vit@food101-35,0.03127
vit@food101-36,0.02943
vit@fashion_mnist-37,0.00963
vit@mnist-38,0.04466
vit@frgfm#imagenette-39,0.02486
vit@mnist-40,0.02245
vit@fashion_mnist-41,0.05835
vit@cifar100-42,0.02924
vit@frgfm#imagenette-43,0.03765
vit@Bingsu#Cat_and_Dog-44,0.10257
vit@imagenet-split-0-45,0.05881
vit@cifar100-46,0.07113
vit@imagenet-split-1-47,0.09161
vit@fashion_mnist-48,0.08015
vit@cifar100-49,0.09293
vit@fashion_mnist-50,0.10545
vit@imagenet-split-1-51,0.08912
vit@Bingsu#Cat_and_Dog-52,0.05749
vit@imagenet-split-1-53,0.10661
vit@imagenet-split-2-54,0.05585
vit@cifar100-55,0.09293
vit@mnist-56,0.08335
vit@frgfm#imagenette-57,0.02755
vit@imagenet-split-0-58,0.08066
vit@imagenet-split-2-59,0.05153
vit@frgfm#imagenette-60,0.03601
vit@Bingsu#Cat_and_Dog-61,0.06864
