full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,32,0,0,2
32,8,0,1,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,1
32,28,0,1,0
32,20,0,1,2
32,24,0,2,0
32,28,0,1,0
32,28,0,1,0
32,28,0,1,1
32,4,0,2,1
32,0,0,3,0
32,25,0,2,1
32,24,0,2,1
32,20,0,3,0
32,24,0,2,1
32,20,0,3,0
32,24,0,2,1
32,0,0,3,3
32,4,0,5,0
32,0,0,5,1
32,0,0,6,1
32,0,0,6,0
32,0,0,5,0
32,0,0,5,3
32,2,1,7,0
32,2,1,7,1
32,1,0,9,1
32,2,1,7,0
32,3,0,7,0
32,0,0,5,0
32,0,0,5,1
32,16,0,4,2
32,13,0,5,0
32,23,0,3,2
32,20,0,3,0
32,28,0,1,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,4
32,0,0,3,0
32,0,0,3,1
32,0,0,4,0
32,3,0,4,2
32,0,0,4,0
32,16,0,2,0
32,16,0,2,0
32,16,0,2,1
32,24,0,2,0
32,25,0,2,3
32,20,0,3,0
32,16,0,2,0
32,16,0,2,2
32,0,0,4,0
32,0,0,4,0
32,4,0,4,1
32,8,0,4,1
32,5,0,5,2
32,0,0,5,1
32,0,0,6,3
32,1,0,6,3
32,0,0,5,3
32,0,0,6,3
32,0,0,6,2
32,0,0,6,2
32,2,1,5,3
32,0,0,8,6
32,0,0,6,8
32,0,0,8,2
32,0,0,7,1
32,2,1,5,0
32,0,0,6,2
32,0,0,3,4
32,19,0,4,2
32,19,0,4,2
32,4,0,2,2
32,4,0,2,0
32,28,0,1,0
32,28,0,1,14
32,0,0,10,2
32,2,0,9,0
32,32,0,0,1
32,8,0,1,1
32,4,0,2,0
32,26,0,2,2
32,8,0,1,2
32,28,0,1,1
32,28,0,1,10
32,5,0,7,0
32,0,0,4,2
32,0,0,5,2
32,0,0,6,0
32,2,0,6,1
32,0,0,5,2
32,1,0,6,0
32,0,0,4,1
32,0,0,5,2
32,0,0,7,0
32,21,0,5,0
32,32,0,0,8
32,0,0,7,1
32,0,0,6,1
32,0,0,5,3
32,0,0,6,0
32,0,0,3,2
32,0,0,4,2
32,12,0,3,0
32,27,0,2,2
32,4,0,2,2
32,22,0,3,1
32,24,0,2,0
32,32,0,0,4
32,24,0,2,1
32,27,0,2,0
32,28,0,1,1
32,24,0,2,1
32,24,0,2,2
32,16,0,4,2
32,0,0,4,1
32,16,0,4,1
32,1,0,5,1
32,0,0,5,0
32,9,0,5,0
32,20,0,3,1
32,0,0,4,3
32,0,0,6,2
32,0,0,8,2
32,2,1,7,0
32,2,1,7,2
32,2,1,6,0
32,2,0,5,0
32,0,0,4,0
32,22,0,3,3
32,0,0,3,1
32,4,0,2,0
32,5,0,2,1
32,27,0,2,0
32,20,0,1,0
32,32,0,0,2
32,24,0,2,0
32,26,0,2,1
32,8,0,1,4
32,0,0,5,1
32,3,0,6,1
32,19,0,4,0
32,20,0,3,1
32,16,0,4,0
32,17,0,4,1
32,16,0,4,0
32,20,0,3,0
32,20,0,3,2
32,16,0,4,1
32,16,0,4,2
32,12,0,5,2
32,16,0,4,1
32,17,0,4,2
32,12,0,5,0
32,20,0,3,0
32,20,0,3,7
32,0,0,8,13
32,0,0,15,0
32,2,1,14,1
32,3,1,13,0
32,9,3,10,2
32,3,1,13,0
32,7,2,9,1
32,0,0,6,2
32,2,0,5,0
32,24,0,2,3
32,0,0,4,1
32,20,0,3,0
32,21,0,3,2
32,20,0,3,0
32,12,0,3,0
32,14,0,3,1
32,12,0,3,2
32,0,0,3,2
32,0,0,3,0
32,17,0,2,31
32,0,0,17,1
32,0,0,18,1
32,0,0,18,1
32,0,0,18,0
32,0,0,17,2
32,12,5,9,2
32,10,4,10,1
32,6,2,10,1
32,3,2,10,57
32,32,62,0,0
32,32,62,0,4
32,0,34,26,1
32,0,27,32,0
32,0,27,32,5
32,0,28,30,4
32,0,30,32,1
32,0,31,32,2
32,0,31,32,0
32,0,25,29,2
32,0,20,32,0
32,0,18,32,2
32,0,20,32,0
32,0,20,32,2
32,2,23,30,1
32,2,21,30,2
32,0,21,32,4
32,0,15,30,2
32,0,12,32,2
32,0,14,32,2
32,0,9,30,1
32,0,7,31,3
32,0,6,30,4
32,0,7,30,4
32,0,7,31,3
32,0,9,31,1
32,0,5,32,2
32,0,7,32,1
32,0,7,32,6
32,0,13,32,1
32,0,12,32,1
32,0,5,31,4
32,0,4,30,1
32,0,1,30,0
32,2,1,27,4
32,0,0,28,0
32,0,0,27,0
32,2,1,23,4
32,0,0,17,0
32,6,2,12,0
32,3,1,10,3
32,5,2,9,1
32,4,2,9,0
32,2,0,7,1
32,0,0,5,0
32,4,0,2,50
32,0,20,25,1
32,0,14,29,1
32,0,12,31,1
32,0,12,32,4
32,2,17,30,1
32,0,16,31,0
32,0,14,32,0
32,0,13,32,0
32,0,2,30,0
32,0,0,31,0
32,0,0,31,0
32,0,0,31,0
32,0,0,31,0
32,2,1,29,0
32,2,1,23,0
32,2,1,15,0
32,3,1,15,0
32,6,2,11,0
32,5,2,11,0
32,6,2,10,0
32,0,0,9,0
32,4,0,7,0
32,20,0,3,0
32,24,0,2,0
32,27,0,2,0
