name,finish_time_fairness
vit-large@frgfm#imagenette-0,0.02224
vit-large@imagenet-split-1-1,0.0091
vit-large@Bingsu#Cat_and_Dog-2,0.08878
vit-large@food101-3,0.078
vit-large@imagenet-split-0-4,0.03842
vit-large@Bingsu#Cat_and_Dog-5,0.11244
vit-large@imagenet-split-2-6,0.03836
vit-large@imagenet-split-1-7,0.0726
vit-large@imagenet-split-1-8,0.04839
vit-large@imagenet-split-2-9,0.04013
vit-large@mnist-10,0.10447
vit-large@mnist-11,0.1049
vit-large@imagenet-split-0-12,0.08651
vit-large@frgfm#imagenette-13,0.03691
vit-large@frgfm#imagenette-14,0.0494
vit-large@frgfm#imagenette-15,0.05031
vit-large@Bingsu#Cat_and_Dog-16,0.06244
vit-large@mnist-17,0.08811
vit-large@fashion_mnist-18,0.08811
vit-large@food101-19,0.07169
vit-large@food101-20,0.05198
vit-large@fashion_mnist-21,0.0874
vit-large@imagenet-split-2-22,0.02042
vit-large@food101-23,0.02
vit-large@mnist-24,0.07562
vit-large@frgfm#imagenette-25,0.03531
vit-large@imagenet-split-0-26,0.08352
vit-large@cifar100-27,0.0776
vit-large@imagenet-split-1-28,0.02788
vit-large@cifar100-29,0.03586
vit-large@imagenet-split-1-30,0.03823
vit-large@cifar100-31,0.01462
vit-large@cifar100-32,0.08181
vit-large@mnist-33,0.07835
vit-large@mnist-34,0.02225
vit-large@imagenet-split-0-35,0.08651
vit-large@Bingsu#Cat_and_Dog-36,0.15714
vit-large@cifar100-37,0.00709
vit-large@Bingsu#Cat_and_Dog-38,0.16789
vit-large@imagenet-split-1-39,0.02099
vit-large@imagenet-split-0-40,0.0136
vit-large@imagenet-split-1-41,0.02171
vit-large@Bingsu#Cat_and_Dog-42,0.06835
vit-large@Bingsu#Cat_and_Dog-43,0.06136
vit-large@cifar100-44,0.00488
vit-large@imagenet-split-2-45,0.03757
vit-large@cifar100-46,0.01594
vit-large@Bingsu#Cat_and_Dog-47,0.09792
vit-large@frgfm#imagenette-48,0.04751
vit-large@frgfm#imagenette-49,0.05843
vit-large@food101-50,0.00916
vit-large@frgfm#imagenette-51,0.0221
vit-large@frgfm#imagenette-52,0.04287
vit-large@frgfm#imagenette-53,0.06034
vit-large@frgfm#imagenette-54,0.04287
vit-large@frgfm#imagenette-55,0.04287
