full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,32,0,0,2
32,8,0,1,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,2
32,16,0,2,0
32,20,0,1,0
32,20,0,1,0
32,20,0,1,1
32,8,0,2,1
32,4,0,3,0
32,8,0,2,0
32,8,0,2,0
32,8,0,2,0
32,8,0,2,1
32,0,0,3,0
32,0,0,3,1
32,0,0,3,0
32,0,0,3,0
32,0,0,3,1
32,0,0,4,1
32,0,0,5,0
32,0,0,5,0
32,0,0,4,3
32,0,0,7,0
32,0,0,7,0
32,0,0,6,1
32,0,0,6,0
32,0,0,6,0
32,0,0,5,0
32,2,0,4,1
32,0,0,4,1
32,0,0,5,0
32,4,0,2,1
32,8,0,3,0
32,30,0,1,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,4
32,0,0,4,0
32,0,0,4,1
32,0,0,5,0
32,0,0,5,0
32,0,0,5,0
32,0,0,5,0
32,0,0,5,0
32,0,0,5,0
32,0,0,3,0
32,0,0,3,2
32,4,0,3,0
32,4,0,3,0
32,4,0,3,1
32,0,0,4,0
32,0,0,4,0
32,0,0,4,0
32,0,0,4,0
32,0,0,4,0
32,0,0,3,1
32,4,0,4,2
32,6,0,4,2
32,0,0,3,2
32,0,0,4,1
32,0,0,5,2
32,0,0,7,1
32,0,0,7,1
32,0,0,8,2
32,0,0,7,3
32,2,0,7,1
32,0,0,7,0
32,0,0,6,0
32,2,0,5,2
32,0,0,4,2
32,0,0,4,1
32,0,0,3,1
32,1,0,3,1
32,0,0,3,0
32,12,0,2,0
32,20,0,1,8
32,1,0,6,2
32,0,0,6,0
32,20,0,1,0
32,32,0,0,1
32,20,0,1,0
32,20,0,1,0
32,20,0,1,0
32,32,0,0,1
32,20,0,1,4
32,4,0,5,0
32,2,0,4,1
32,0,0,4,0
32,0,0,4,0
32,2,0,4,1
32,0,0,4,2
32,4,0,5,0
32,2,0,4,0
32,4,0,3,2
32,4,0,5,0
32,4,0,5,0
32,2,0,4,3
32,0,0,5,0
32,0,0,4,0
32,4,0,3,2
32,0,0,4,0
32,4,0,3,0
32,4,0,3,0
32,4,0,3,0
32,4,0,3,0
32,4,0,3,1
32,0,0,4,1
32,4,0,4,0
32,5,0,4,2
32,0,0,4,1
32,0,0,2,0
32,0,0,2,1
32,0,0,3,1
32,0,0,3,2
32,4,0,4,1
32,0,0,4,1
32,0,0,5,0
32,0,0,5,0
32,0,0,4,0
32,0,0,4,0
32,0,0,4,0
32,0,0,3,0
32,4,0,2,1
32,7,0,3,1
32,0,0,3,0
32,0,0,3,1
32,0,0,4,0
32,0,0,4,0
32,0,0,4,0
32,0,0,3,2
32,2,0,5,0
32,4,0,2,0
32,4,0,2,0
32,20,0,1,0
32,32,0,0,0
32,32,0,0,1
32,20,0,1,0
32,20,0,1,1
32,14,0,2,4
32,0,0,4,1
32,4,0,4,0
32,4,0,2,0
32,4,0,2,1
32,0,0,3,0
32,0,0,3,1
32,8,0,4,0
32,20,0,1,0
32,20,0,1,1
32,16,0,2,1
32,8,0,2,1
32,4,0,3,0
32,8,0,2,0
32,8,0,2,1
32,4,0,3,0
32,8,0,2,0
32,8,0,2,5
32,0,0,6,7
32,5,3,8,0
32,5,3,8,1
32,4,4,8,0
32,4,4,8,1
32,6,3,8,0
32,6,3,8,1
32,8,4,8,2
32,4,2,10,0
32,2,1,9,1
32,0,0,8,0
32,0,0,6,0
32,0,0,6,0
32,6,0,4,0
32,0,0,3,0
32,0,0,3,1
32,0,0,3,2
32,0,0,3,2
32,0,0,4,0
32,0,0,3,15
32,8,4,8,0
32,8,4,8,0
32,8,4,8,1
32,6,3,9,0
32,8,4,8,0
32,8,4,8,1
32,6,3,10,1
32,6,3,10,0
32,6,3,8,27
32,0,4,24,0
32,0,0,24,2
32,0,0,24,0
32,0,0,24,0
32,2,1,22,4
32,0,0,24,3
32,0,0,25,0
32,2,1,22,1
32,2,1,22,0
32,2,1,22,2
32,2,1,21,0
32,0,0,22,1
32,0,0,22,0
32,0,0,20,1
32,0,0,20,0
32,2,1,16,2
32,2,2,14,3
32,0,0,17,0
32,0,0,17,1
32,6,2,12,1
32,6,2,12,1
32,6,2,12,0
32,6,2,9,2
32,2,2,9,1
32,2,1,8,1
32,2,1,9,1
32,3,1,10,2
32,3,1,12,1
32,0,0,8,3
32,0,0,9,1
32,0,0,7,1
32,0,0,7,2
32,0,0,8,1
32,0,0,7,0
32,0,0,5,1
32,2,0,5,0
32,0,0,3,0
32,0,0,3,3
32,2,0,5,0
32,0,0,3,0
32,0,0,3,2
32,0,0,3,0
32,8,0,2,0
32,20,0,1,1
32,4,0,2,0
32,4,0,2,19
32,32,21,0,0
32,4,4,12,0
32,4,4,12,1
32,2,2,14,1
32,0,0,16,0
32,0,0,16,0
32,0,0,16,0
32,0,0,16,0
32,3,1,14,0
32,3,1,14,0
32,6,2,13,0
32,9,3,11,0
32,9,3,11,0
32,9,3,11,0
32,6,2,10,0
32,4,1,9,0
32,1,0,9,0
32,0,0,4,0
32,0,0,3,0
32,17,0,2,0
