full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,32,0,0,2
32,0,0,1,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,2
32,0,0,1,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,1
32,0,0,1,1
32,7,0,2,0
32,0,0,1,0
32,0,0,1,0
32,32,0,0,0
32,32,0,0,1
32,0,0,1,0
32,0,0,1,1
32,0,0,2,0
32,0,0,2,0
32,0,0,2,1
32,0,0,2,1
32,0,0,3,0
32,0,0,3,0
32,0,0,3,3
32,0,0,4,0
32,0,0,4,0
32,0,0,4,1
32,3,0,3,0
32,0,0,2,0
32,0,0,2,0
32,0,0,2,1
32,17,0,3,1
32,24,0,1,0
32,32,0,0,1
32,24,0,1,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,4
32,0,0,2,0
32,0,0,2,1
32,0,0,3,0
32,6,0,3,0
32,0,0,1,0
32,0,0,1,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,2
32,0,0,1,0
32,0,0,1,0
32,0,0,1,1
32,0,0,2,0
32,0,0,2,0
32,0,0,2,0
32,0,0,1,0
32,30,0,1,0
32,31,0,1,1
32,24,0,1,2
32,0,0,1,2
32,0,0,3,2
32,1,0,4,1
32,3,0,5,2
32,3,0,4,1
32,3,0,4,1
32,0,0,4,2
32,3,0,3,3
32,2,0,4,1
32,2,0,4,0
32,0,0,2,0
32,12,0,1,2
32,0,0,1,2
32,0,0,1,1
32,0,0,2,1
32,3,0,2,1
32,24,0,1,0
32,32,0,0,0
32,32,0,0,8
32,28,0,4,2
32,30,0,1,0
32,32,0,0,0
32,32,0,0,1
32,24,0,1,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,1
32,24,0,1,4
32,0,0,2,0
32,0,0,1,1
32,3,0,2,0
32,0,0,1,0
32,0,0,1,1
32,3,0,2,2
32,3,0,2,0
32,4,0,1,0
32,32,0,0,2
32,28,0,1,0
32,32,0,0,0
32,32,0,0,3
32,8,0,2,0
32,32,0,0,0
32,32,0,0,2
32,0,0,1,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,1
32,28,0,1,1
32,0,0,1,0
32,0,0,1,2
32,0,0,2,1
32,4,0,2,0
32,0,0,1,1
32,11,0,2,1
32,0,0,2,2
32,0,0,3,1
32,0,0,4,1
32,0,0,5,0
32,0,0,4,0
32,0,0,4,0
32,2,0,4,0
32,0,0,2,0
32,0,0,2,0
32,0,0,2,1
32,0,0,3,1
32,0,0,4,0
32,0,0,4,1
32,0,0,5,0
32,0,0,4,0
32,1,0,3,0
32,0,0,2,2
32,11,0,2,0
32,0,0,1,0
32,0,0,1,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,1
32,28,0,1,0
32,32,0,0,1
32,0,0,1,4
32,2,0,3,1
32,0,0,2,0
32,11,0,2,0
32,0,0,1,1
32,11,0,2,0
32,0,0,1,1
32,10,0,2,0
32,0,0,1,0
32,0,0,1,1
32,11,0,2,1
32,0,0,2,1
32,0,0,3,0
32,0,0,2,0
32,0,0,2,1
32,3,0,3,0
32,0,0,2,0
32,0,0,2,5
32,0,0,5,7
32,2,2,8,0
32,0,0,8,1
32,0,0,8,0
32,2,1,6,1
32,2,1,6,0
32,0,0,7,1
32,2,0,6,2
32,0,0,5,0
32,3,0,3,1
32,0,0,3,0
32,0,0,3,0
32,0,0,3,0
32,0,0,2,0
32,0,0,2,0
32,0,0,2,1
32,3,0,3,2
32,0,0,3,2
32,0,0,4,0
32,0,0,3,15
32,0,0,11,0
32,6,3,8,0
32,6,3,8,1
32,6,3,9,0
32,4,2,9,0
32,0,0,10,1
32,0,0,10,1
32,0,0,9,0
32,2,0,4,27
32,32,29,0,0
32,32,29,0,2
32,0,0,17,0
32,2,1,14,0
32,2,1,14,4
32,0,0,17,3
32,0,0,17,0
32,0,0,16,1
32,3,1,15,0
32,6,2,13,2
32,0,0,16,0
32,6,1,6,1
32,0,0,6,0
32,1,0,5,1
32,3,0,5,0
32,0,0,3,2
32,3,0,3,3
32,3,0,4,0
32,3,0,3,1
32,0,0,3,1
32,6,0,3,1
32,8,0,2,0
32,30,0,1,2
32,0,0,2,1
32,0,0,3,1
32,0,0,4,1
32,0,0,4,2
32,0,0,6,1
32,0,0,6,3
32,0,0,6,1
32,2,0,5,1
32,3,0,3,2
32,4,0,2,1
32,0,0,2,0
32,0,0,2,1
32,2,0,3,0
32,2,0,2,0
32,0,0,1,3
32,3,0,3,0
32,0,0,2,0
32,3,0,2,2
32,3,0,2,0
32,0,0,1,0
32,0,0,1,1
32,0,0,2,0
32,0,0,2,19
32,0,0,15,0
32,3,1,14,0
32,2,1,14,1
32,0,0,16,1
32,0,0,16,0
32,0,0,16,0
32,0,0,16,0
32,0,0,16,0
32,0,0,16,0
32,0,0,14,0
32,2,0,4,0
32,3,0,3,0
32,0,0,1,0
32,0,0,1,0
32,0,0,1,0
32,0,0,1,0
32,16,0,1,0
32,31,0,1,0
