name,finish_time_fairness
vit@frgfm#imagenette-0,0.02377
vit@imagenet-split-1-1,0.01853
vit@frgfm#imagenette-2,0.02816
vit@Bingsu#Cat_and_Dog-3,0.03206
vit@Bingsu#Cat_and_Dog-4,0.02921
vit@Bingsu#Cat_and_Dog-5,0.02636
vit@food101-6,0.02109
vit@imagenet-split-0-7,0.01098
vit@Bingsu#Cat_and_Dog-8,0.03704
vit@mnist-9,0.03314
vit@Bingsu#Cat_and_Dog-10,0.02547
vit@imagenet-split-2-11,0.02272
vit@frgfm#imagenette-12,0.02629
vit@imagenet-split-2-13,0.02394
vit@imagenet-split-1-14,0.0481
vit@imagenet-split-2-15,0.02366
vit@food101-16,0.02356
vit@mnist-17,0.01379
vit@imagenet-split-1-18,0.03222
vit@imagenet-split-0-19,0.02256
vit@mnist-20,0.04355
vit@mnist-21,0.051
vit@mnist-22,0.051
vit@imagenet-split-0-23,0.04599
vit@imagenet-split-1-24,0.03237
vit@frgfm#imagenette-25,0.01725
vit@mnist-26,0.03039
vit@frgfm#imagenette-27,0.02637
vit@imagenet-split-2-28,0.02198
vit@frgfm#imagenette-29,0.01832
vit@Bingsu#Cat_and_Dog-30,0.02743
vit@Bingsu#Cat_and_Dog-31,0.02049
vit@imagenet-split-0-32,0.02657
vit@food101-33,0.03269
vit@mnist-34,0.03564
vit@fashion_mnist-35,0.0359
vit@food101-36,0.02047
vit@food101-37,0.03507
vit@fashion_mnist-38,0.05227
vit@fashion_mnist-39,0.05337
vit@Bingsu#Cat_and_Dog-40,0.02583
vit@frgfm#imagenette-41,0.01978
vit@imagenet-split-2-42,0.03684
vit@frgfm#imagenette-43,0.02482
vit@imagenet-split-0-44,0.03532
vit@imagenet-split-2-45,0.03076
vit@food101-46,0.03895
vit@food101-47,0.02374
vit@Bingsu#Cat_and_Dog-48,0.03633
vit@imagenet-split-2-49,0.05912
vit@fashion_mnist-50,0.01643
vit@frgfm#imagenette-51,0.02068
vit@mnist-52,0.04629
vit@imagenet-split-0-53,0.05254
vit@frgfm#imagenette-54,0.01652
vit@mnist-55,0.02718
vit@frgfm#imagenette-56,0.02858
vit@fashion_mnist-57,0.05589
vit@fashion_mnist-58,0.05589
vit@cifar100-59,0.02367
vit@imagenet-split-0-60,0.07672
vit@frgfm#imagenette-61,0.02589
vit@frgfm#imagenette-62,0.01936
vit@Bingsu#Cat_and_Dog-63,0.05557
vit@imagenet-split-0-64,0.05717
vit@cifar100-65,0.06717
vit@mnist-66,0.0649
vit@mnist-67,0.06437
vit@imagenet-split-1-68,0.09955
vit@fashion_mnist-69,0.09269
vit@cifar100-70,0.07003
vit@fashion_mnist-71,0.09001
vit@imagenet-split-1-72,0.09796
vit@Bingsu#Cat_and_Dog-73,0.04312
vit@frgfm#imagenette-74,0.02913
vit@imagenet-split-1-75,0.09948
vit@mnist-76,0.06711
vit@Bingsu#Cat_and_Dog-77,0.0575
vit@fashion_mnist-78,0.10046
vit@cifar100-79,0.09908
vit@mnist-80,0.06653
vit@mnist-81,0.0651
vit@frgfm#imagenette-82,0.02993
vit@imagenet-split-0-83,0.07462
vit@imagenet-split-2-84,0.09279
vit@fashion_mnist-85,0.10083
vit@mnist-86,0.08684
vit@frgfm#imagenette-87,0.03627
vit@Bingsu#Cat_and_Dog-88,0.05982
vit@fashion_mnist-89,0.09928
vit@cifar100-90,0.04089
vit@imagenet-split-1-91,0.11384
vit@Bingsu#Cat_and_Dog-92,0.06017
vit@imagenet-split-0-93,0.02697
vit@imagenet-split-1-94,0.13268
vit@fashion_mnist-95,0.03863
vit@imagenet-split-1-96,0.14301
vit@frgfm#imagenette-97,0.03294
vit@imagenet-split-2-98,0.06089
vit@imagenet-split-0-99,0.02733
vit@imagenet-split-1-100,0.04975
vit@imagenet-split-1-101,0.05131
vit@fashion_mnist-102,0.03871
vit@cifar100-103,0.03872
vit@imagenet-split-0-104,0.02652
vit@imagenet-split-1-105,0.05263
vit@Bingsu#Cat_and_Dog-106,0.05003
vit@imagenet-split-1-107,0.05214
vit@fashion_mnist-108,0.19262
vit@Bingsu#Cat_and_Dog-109,0.0511
vit@cifar100-110,0.06799
vit@imagenet-split-2-111,0.06055
vit@cifar100-112,0.04707
vit@Bingsu#Cat_and_Dog-113,0.06053
vit@Bingsu#Cat_and_Dog-114,0.09419
vit@frgfm#imagenette-115,0.03261
vit@Bingsu#Cat_and_Dog-116,0.05982
vit@Bingsu#Cat_and_Dog-117,0.05964
vit@frgfm#imagenette-118,0.03546
vit@fashion_mnist-119,0.04673
vit@frgfm#imagenette-120,0.03538
vit@imagenet-split-1-121,0.18977
vit@food101-122,0.05156
vit@Bingsu#Cat_and_Dog-123,0.06248
vit@imagenet-split-0-124,0.09524
vit@frgfm#imagenette-125,0.03286
vit@frgfm#imagenette-126,0.03286
vit@frgfm#imagenette-127,0.03286
vit@frgfm#imagenette-128,0.03286
vit@frgfm#imagenette-129,0.03286
vit@frgfm#imagenette-130,0.03286
vit@frgfm#imagenette-131,0.03286
vit@Bingsu#Cat_and_Dog-132,0.05466
vit@Bingsu#Cat_and_Dog-133,0.05466
vit@Bingsu#Cat_and_Dog-134,0.05466
vit@frgfm#imagenette-135,0.03278
vit@Bingsu#Cat_and_Dog-136,0.05448
vit@frgfm#imagenette-137,0.03278
vit@Bingsu#Cat_and_Dog-138,0.05448
vit@Bingsu#Cat_and_Dog-139,0.05448
vit@frgfm#imagenette-140,0.03278
vit@Bingsu#Cat_and_Dog-141,0.05288
vit@imagenet-split-0-142,0.02719
vit@Bingsu#Cat_and_Dog-143,0.04594
vit@frgfm#imagenette-144,0.0405
vit@Bingsu#Cat_and_Dog-145,0.04932
vit@imagenet-split-0-146,0.08475
vit@frgfm#imagenette-147,0.03026
vit@frgfm#imagenette-148,0.03009
vit@Bingsu#Cat_and_Dog-149,0.04433
vit@Bingsu#Cat_and_Dog-150,0.06124
vit@Bingsu#Cat_and_Dog-151,0.05661
vit@imagenet-split-1-152,0.16107
vit@mnist-153,0.06193
vit@Bingsu#Cat_and_Dog-154,0.06924
vit@frgfm#imagenette-155,0.0345
vit@Bingsu#Cat_and_Dog-156,0.06017
vit@Bingsu#Cat_and_Dog-157,0.05554
vit@food101-158,0.0629
vit@imagenet-split-2-159,0.03989
vit@food101-160,0.04258
vit@food101-161,0.04367
vit@imagenet-split-2-162,0.05887
vit@food101-163,0.04773
vit@imagenet-split-2-164,0.03988
vit@imagenet-split-2-165,0.0468
vit@imagenet-split-0-166,0.04171
vit@imagenet-split-1-167,0.05134
vit@imagenet-split-0-168,0.05873
vit@Bingsu#Cat_and_Dog-169,0.04967
vit@imagenet-split-1-170,0.03505
vit@frgfm#imagenette-171,0.059
vit@fashion_mnist-172,0.11784
vit@frgfm#imagenette-173,0.0344
vit@frgfm#imagenette-174,0.02993
vit@frgfm#imagenette-175,0.05914
vit@Bingsu#Cat_and_Dog-176,0.06248
vit@frgfm#imagenette-177,0.0514
vit@Bingsu#Cat_and_Dog-178,0.04896
vit@frgfm#imagenette-179,0.04339
vit@frgfm#imagenette-180,0.02375
vit@frgfm#imagenette-181,0.02229
vit@mnist-182,0.02566
vit@frgfm#imagenette-183,0.03638
vit@Bingsu#Cat_and_Dog-184,0.05024
vit@frgfm#imagenette-185,0.03606
vit@cifar100-186,0.02367
vit@imagenet-split-1-187,0.15278
vit@Bingsu#Cat_and_Dog-188,0.04258
vit@imagenet-split-2-189,0.05985
vit@fashion_mnist-190,0.03837
vit@imagenet-split-1-191,0.03536
vit@mnist-192,0.05566
vit@Bingsu#Cat_and_Dog-193,0.05344
vit@Bingsu#Cat_and_Dog-194,0.04276
vit@Bingsu#Cat_and_Dog-195,0.06985
