full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,32,0,0,2
32,4,0,2,0
32,5,0,2,0
32,8,0,1,0
32,8,0,1,2
32,24,0,2,0
32,20,0,1,3
32,20,0,3,0
32,28,0,1,0
32,28,0,1,0
32,28,0,1,1
32,4,0,2,1
32,0,0,3,0
32,25,0,2,1
32,24,0,2,1
32,20,0,3,0
32,24,0,2,1
32,20,0,3,0
32,24,0,2,3
32,0,0,5,3
32,1,0,8,0
32,0,0,7,1
32,0,0,8,1
32,0,0,8,0
32,0,0,8,0
32,0,0,7,4
32,6,2,8,0
32,6,2,8,1
32,6,2,9,1
32,3,1,10,0
32,3,1,8,0
32,0,0,8,1
32,0,0,8,1
32,0,0,8,2
32,3,1,9,0
32,3,0,9,2
32,4,0,7,1
32,3,0,6,1
32,0,0,6,0
32,16,0,5,0
32,20,0,3,4
32,0,0,6,0
32,0,0,6,1
32,0,0,7,0
32,0,0,6,3
32,3,1,8,0
32,0,0,8,1
32,0,0,8,0
32,0,0,7,1
32,4,0,6,1
32,3,0,6,3
32,0,0,7,2
32,1,0,8,0
32,11,0,6,3
32,0,0,8,0
32,1,0,8,0
32,0,0,7,2
32,3,1,8,2
32,8,3,8,5
32,2,1,14,1
32,0,0,16,5
32,0,0,18,3
32,0,0,19,4
32,0,0,21,5
32,0,0,25,3
32,0,0,24,4
32,0,0,27,3
32,0,0,29,6
32,0,0,30,10
32,0,8,32,2
32,0,7,32,1
32,0,7,32,0
32,0,3,32,2
32,0,4,32,5
32,0,9,32,2
32,0,10,32,2
32,0,11,32,2
32,0,7,32,0
32,0,3,32,0
32,0,1,32,20
32,0,17,32,2
32,0,18,32,2
32,0,20,32,1
32,0,0,31,3
32,0,0,28,0
32,4,2,23,3
32,0,0,26,2
32,2,1,23,1
32,2,1,21,14
32,0,0,32,1
32,0,1,32,2
32,0,0,32,2
32,0,0,31,0
32,2,1,29,1
32,2,1,29,3
32,0,0,30,0
32,0,0,30,1
32,2,1,26,2
32,0,0,26,0
32,2,1,24,0
32,2,1,20,8
32,0,0,28,1
32,0,0,27,2
32,0,0,25,4
32,0,0,27,0
32,0,0,27,2
32,2,1,24,2
32,0,0,25,0
32,0,0,24,2
32,0,0,25,4
32,0,0,26,1
32,0,0,25,2
32,6,3,17,5
32,0,0,23,1
32,0,0,23,0
32,6,3,17,1
32,6,3,16,1
32,0,0,17,3
32,0,0,19,2
32,0,0,20,1
32,2,1,18,2
32,0,0,19,2
32,2,1,17,0
32,2,1,16,1
32,3,1,15,2
32,0,0,16,5
32,0,0,20,3
32,0,0,22,3
32,0,0,23,0
32,0,0,21,3
32,0,0,21,0
32,2,1,18,0
32,0,0,18,0
32,9,3,12,3
32,2,1,15,1
32,9,3,10,0
32,3,1,8,2
32,5,2,9,0
32,3,1,9,0
32,0,0,6,3
32,1,0,8,0
32,22,0,3,2
32,0,0,3,4
32,0,0,7,1
32,3,1,7,3
32,0,0,8,0
32,2,1,6,1
32,2,0,6,0
32,1,0,5,1
32,0,0,5,0
32,22,0,3,1
32,20,0,3,2
32,16,0,4,1
32,16,0,4,3
32,4,0,7,3
32,5,0,7,2
32,5,0,7,2
32,0,0,8,0
32,8,0,6,0
32,8,0,6,8
32,4,2,12,14
32,0,0,28,0
32,0,0,28,1
32,0,0,29,0
32,0,0,27,2
32,0,0,27,1
32,0,0,27,3
32,0,0,29,2
32,2,1,27,0
32,2,1,26,3
32,0,0,28,4
32,0,0,28,0
32,0,0,28,2
32,0,0,27,0
32,4,2,19,0
32,0,0,18,1
32,0,0,18,3
32,0,0,21,2
32,0,0,20,1
32,2,1,17,41
32,0,24,32,1
32,0,24,32,1
32,0,21,32,1
32,0,22,32,0
32,0,19,32,3
32,0,21,32,3
32,0,23,32,1
32,0,24,32,1
32,0,14,32,75
32,0,88,32,0
32,0,86,32,5
32,0,89,32,1
32,0,89,32,0
32,0,89,32,5
32,0,92,32,4
32,0,90,32,1
32,0,90,32,3
32,0,73,32,2
32,0,73,32,2
32,0,73,32,1
32,0,70,32,3
32,0,71,32,0
32,0,71,32,2
32,0,71,32,1
32,0,71,32,2
32,0,73,32,5
32,0,77,32,2
32,0,77,32,3
32,0,79,32,3
32,0,80,32,1
32,0,78,32,4
32,0,79,32,4
32,0,69,32,7
32,0,75,32,4
32,0,73,32,3
32,0,74,32,2
32,0,74,32,1
32,0,70,32,6
32,0,75,32,1
32,0,76,32,1
32,0,75,32,6
32,0,76,32,1
32,0,77,32,2
32,0,75,32,7
32,0,81,32,0
32,0,80,32,0
32,0,78,32,4
32,0,80,32,0
32,0,78,32,1
32,0,67,32,3
32,0,67,32,1
32,0,63,32,1
32,0,64,32,1
32,0,62,32,0
32,0,61,32,70
32,0,129,32,1
32,0,129,32,2
32,0,131,32,2
32,0,131,32,4
32,0,133,32,1
32,0,132,32,0
32,0,132,32,0
32,0,129,32,0
32,0,109,32,0
32,0,109,32,0
32,0,107,32,0
32,0,107,32,0
32,0,106,32,0
32,0,106,32,0
32,0,106,32,0
32,0,102,32,0
32,0,102,32,0
32,0,102,32,0
32,0,101,32,0
32,0,100,32,0
32,0,100,32,0
32,0,100,32,0
32,0,97,32,0
32,0,81,32,0
32,0,80,32,0
32,0,77,32,0
32,0,77,32,0
32,0,75,32,0
32,0,75,32,0
32,0,74,32,0
32,0,74,32,0
32,0,74,32,0
32,0,70,32,0
32,0,70,32,0
32,0,70,32,0
32,0,69,32,0
32,0,68,32,0
32,0,68,32,0
32,0,67,32,0
32,0,60,32,0
32,0,60,32,0
32,0,57,32,0
32,0,56,32,0
32,0,55,32,0
32,0,49,32,0
32,0,48,32,0
32,0,45,32,0
32,0,45,32,0
32,0,43,32,0
32,0,43,32,0
32,0,42,32,0
32,0,42,32,0
32,0,42,32,0
32,0,38,32,0
32,0,38,32,0
32,0,38,32,0
32,0,37,32,0
32,0,36,32,0
32,0,34,32,0
32,0,33,32,0
32,0,25,32,0
32,0,24,32,0
32,0,23,32,0
32,0,17,32,0
32,0,16,32,0
32,0,13,32,0
32,0,13,32,0
32,0,11,32,0
32,0,11,32,0
32,0,10,32,0
32,0,10,32,0
32,0,10,32,0
32,0,6,32,0
32,0,6,32,0
32,0,6,32,0
32,0,5,32,0
32,0,4,32,0
32,0,2,32,0
32,0,1,32,0
32,4,2,23,0
32,0,0,24,0
32,2,1,22,0
32,0,0,17,0
32,0,0,17,0
32,0,0,17,0
32,0,0,17,0
32,0,0,17,0
32,3,1,15,0
32,6,2,11,0
32,9,3,8,0
32,3,0,8,0
32,4,0,7,0
32,4,0,7,0
32,8,0,6,0
32,8,0,6,0
32,8,0,6,0
32,20,0,3,0
32,20,0,3,0
32,28,0,2,0
