full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,32,0,0,2
32,4,0,2,0
32,4,0,2,0
32,8,0,1,0
32,8,0,1,0
32,32,0,0,0
32,32,0,0,2
32,16,0,2,0
32,20,0,1,0
32,20,0,1,0
32,20,0,1,1
32,8,0,2,1
32,4,0,3,0
32,8,0,2,1
32,0,0,3,1
32,4,0,4,0
32,0,0,3,1
32,0,0,4,0
32,0,0,4,1
32,0,0,5,1
32,0,0,5,0
32,0,0,5,1
32,0,0,6,1
32,0,0,6,0
32,0,0,6,0
32,2,1,5,3
32,2,1,8,0
32,2,1,8,1
32,4,2,8,1
32,4,2,8,0
32,2,1,8,0
32,0,0,9,0
32,0,0,6,1
32,0,0,6,1
32,0,0,6,0
32,0,0,5,2
32,1,0,5,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,4
32,0,0,4,0
32,0,0,4,1
32,0,0,5,0
32,0,0,5,0
32,0,0,5,0
32,0,0,5,0
32,0,0,5,0
32,0,0,5,0
32,0,0,3,0
32,0,0,3,2
32,4,0,4,0
32,4,0,4,0
32,4,0,4,2
32,0,0,6,0
32,0,0,6,0
32,0,0,6,1
32,0,0,7,1
32,0,0,8,1
32,1,0,8,1
32,0,0,8,2
32,3,1,8,2
32,8,3,8,2
32,8,4,8,1
32,8,4,8,2
32,6,3,10,1
32,4,2,12,2
32,2,1,14,3
32,0,0,17,5
32,0,0,20,2
32,0,0,21,0
32,0,0,21,0
32,0,0,20,2
32,0,0,21,3
32,0,0,24,2
32,2,1,22,1
32,0,0,24,1
32,2,1,20,0
32,0,0,21,0
32,2,1,18,9
32,0,0,27,2
32,0,0,28,0
32,2,1,25,0
32,2,1,21,1
32,0,0,20,0
32,12,4,9,0
32,12,4,9,2
32,6,2,12,1
32,9,3,11,6
32,0,0,19,0
32,0,0,19,2
32,0,0,19,0
32,0,0,19,0
32,0,0,18,1
32,0,0,17,2
32,0,0,18,0
32,6,2,12,0
32,6,2,9,2
32,8,4,8,0
32,8,4,8,0
32,5,2,10,6
32,0,0,16,0
32,9,3,12,0
32,9,3,9,2
32,7,3,9,0
32,7,3,9,1
32,7,3,8,1
32,8,4,8,0
32,6,3,9,1
32,8,4,8,1
32,6,3,10,1
32,5,2,11,0
32,6,2,9,2
32,6,3,10,1
32,6,3,10,0
32,5,2,11,1
32,3,1,9,1
32,5,2,9,2
32,8,4,8,1
32,6,3,10,1
32,4,2,12,0
32,5,2,11,0
32,5,2,11,0
32,9,3,9,0
32,6,2,9,0
32,0,0,8,1
32,0,0,9,1
32,2,1,8,1
32,0,0,9,0
32,0,0,7,1
32,0,0,7,0
32,0,0,7,0
32,0,0,6,0
32,2,1,5,2
32,2,1,7,0
32,0,0,6,0
32,0,0,3,0
32,0,0,3,0
32,0,0,3,0
32,8,0,2,2
32,0,0,4,0
32,0,0,4,1
32,4,0,5,4
32,0,0,7,1
32,0,0,8,0
32,0,0,4,0
32,0,0,3,1
32,0,0,4,0
32,0,0,4,1
32,0,0,4,0
32,18,0,2,0
32,20,0,1,2
32,4,0,3,1
32,4,0,3,1
32,0,0,4,0
32,4,0,3,1
32,4,0,4,1
32,0,0,5,0
32,4,0,4,0
32,4,0,4,6
32,6,2,8,9
32,0,0,19,0
32,0,0,19,1
32,0,0,19,0
32,0,0,19,2
32,0,0,21,0
32,0,0,21,1
32,0,0,22,2
32,0,0,23,0
32,0,0,23,2
32,0,0,23,1
32,0,0,24,0
32,0,0,23,0
32,0,0,22,0
32,0,0,22,0
32,0,0,22,1
32,2,1,14,2
32,4,2,12,2
32,2,1,14,0
32,3,1,14,21
32,0,3,32,1
32,0,3,32,1
32,0,4,32,1
32,0,4,32,0
32,0,3,32,1
32,0,2,32,1
32,0,3,32,1
32,0,4,32,0
32,0,2,32,39
32,0,40,32,0
32,0,40,32,3
32,0,43,32,0
32,0,42,32,0
32,0,38,32,5
32,0,43,32,4
32,0,44,32,1
32,0,43,32,1
32,0,44,32,0
32,0,43,32,2
32,0,43,32,0
32,0,43,32,1
32,0,44,32,0
32,0,44,32,2
32,0,46,32,0
32,0,40,32,2
32,0,37,32,3
32,0,39,32,2
32,0,41,32,2
32,0,42,32,2
32,0,44,32,1
32,0,40,32,0
32,0,40,32,2
32,0,41,32,1
32,0,39,32,3
32,0,40,32,1
32,0,40,32,2
32,0,40,32,1
32,0,41,32,3
32,0,38,32,1
32,0,38,32,1
32,0,37,32,2
32,0,39,32,1
32,0,38,32,0
32,0,37,32,2
32,0,39,32,0
32,0,38,32,0
32,0,38,32,4
32,0,42,32,0
32,0,42,32,0
32,0,40,32,3
32,0,42,32,1
32,0,43,32,0
32,0,41,32,1
32,0,41,32,0
32,0,40,32,23
32,0,62,32,0
32,0,62,32,1
32,0,62,32,1
32,0,60,32,2
32,0,61,32,0
32,0,60,32,0
32,0,59,32,0
32,0,54,32,0
32,0,47,32,0
32,0,44,32,0
32,0,42,32,0
32,0,42,32,0
32,0,41,32,0
32,0,40,32,0
32,0,40,32,0
32,0,35,32,0
32,0,34,32,0
32,0,34,32,0
32,0,33,32,0
32,0,33,32,0
32,0,33,32,0
32,0,33,32,0
32,0,33,32,0
32,0,33,32,0
32,0,32,32,0
32,0,32,32,0
32,0,32,32,0
32,0,32,32,0
32,0,32,32,0
32,0,32,32,0
32,0,32,32,0
32,0,32,32,0
32,0,29,32,0
32,0,22,32,0
32,0,19,32,0
32,0,17,32,0
32,0,17,32,0
32,0,17,32,0
32,0,17,32,0
32,0,17,32,0
32,0,15,32,0
32,0,13,32,0
32,0,12,32,0
32,0,11,32,0
32,0,10,32,0
32,0,3,32,0
32,0,2,32,0
32,0,2,32,0
32,0,1,32,0
32,0,1,32,0
32,0,1,32,0
32,0,1,32,0
32,0,1,32,0
32,0,1,32,0
32,0,0,32,0
32,0,0,32,0
32,0,0,32,0
32,0,0,32,0
32,0,0,32,0
32,0,0,32,0
32,0,0,32,0
32,0,0,32,0
32,4,2,27,0
32,4,2,20,0
32,0,0,21,0
32,0,0,17,0
32,0,0,17,0
32,3,1,14,0
32,6,2,13,0
32,9,3,11,0
32,3,1,11,0
32,0,0,9,0
32,0,0,7,0
32,0,0,7,0
32,0,0,6,0
32,0,0,6,0
32,0,0,6,0
32,2,0,6,0
32,13,0,3,0
32,0,0,1,0
32,0,0,1,0
