name,finish_time_fairness
vit-large@frgfm#imagenette-0,0.01668
vit-large@imagenet-split-1-1,0.00682
vit-large@Bingsu#Cat_and_Dog-2,0.06659
vit-large@food101-3,0.06126
vit-large@imagenet-split-0-4,0.0301
vit-large@Bingsu#Cat_and_Dog-5,0.08433
vit-large@mnist-6,0.07434
vit-large@Bingsu#Cat_and_Dog-7,0.05812
vit-large@imagenet-split-2-8,0.03148
vit-large@imagenet-split-1-9,0.10479
vit-large@imagenet-split-2-10,0.03208
vit-large@imagenet-split-1-11,0.04235
vit-large@imagenet-split-0-12,0.0539
vit-large@mnist-13,0.078
vit-large@mnist-14,0.078
vit-large@imagenet-split-0-15,0.07979
vit-large@imagenet-split-1-16,0.01093
vit-large@frgfm#imagenette-17,0.02672
vit-large@frgfm#imagenette-18,0.03705
vit-large@frgfm#imagenette-19,0.03609
vit-large@Bingsu#Cat_and_Dog-20,0.06256
vit-large@Bingsu#Cat_and_Dog-21,0.04683
vit-large@mnist-22,0.06608
vit-large@fashion_mnist-23,0.06608
vit-large@food101-24,0.03946
vit-large@food101-25,0.03897
vit-large@fashion_mnist-26,0.06555
vit-large@imagenet-split-2-27,0.01662
vit-large@food101-28,0.01627
vit-large@fashion_mnist-29,0.01232
vit-large@mnist-30,0.05806
vit-large@frgfm#imagenette-31,0.0267
vit-large@mnist-32,0.01786
vit-large@cifar100-33,0.02127
vit-large@frgfm#imagenette-34,0.02649
vit-large@imagenet-split-0-35,0.08028
vit-large@cifar100-36,0.06543
vit-large@imagenet-split-1-37,0.03674
vit-large@cifar100-38,0.04725
vit-large@imagenet-split-1-39,0.01213
vit-large@Bingsu#Cat_and_Dog-40,0.10973
vit-large@cifar100-41,0.05911
vit-large@mnist-42,0.06096
vit-large@mnist-43,0.01819
vit-large@imagenet-split-0-44,0.0736
vit-large@Bingsu#Cat_and_Dog-45,0.07344
vit-large@fashion_mnist-46,0.0087
vit-large@cifar100-47,0.01948
vit-large@imagenet-split-1-48,0.01298
vit-large@Bingsu#Cat_and_Dog-49,0.11745
vit-large@imagenet-split-1-50,0.03652
vit-large@imagenet-split-1-51,0.01837
vit-large@cifar100-52,0.01396
vit-large@imagenet-split-0-53,0.01721
vit-large@imagenet-split-1-54,0.01017
vit-large@Bingsu#Cat_and_Dog-55,0.05127
vit-large@imagenet-split-1-56,0.00217
vit-large@Bingsu#Cat_and_Dog-57,0.05368
vit-large@cifar100-58,0.00427
vit-large@imagenet-split-2-59,0.00621
vit-large@cifar100-60,0.0198
vit-large@frgfm#imagenette-61,0.04219
vit-large@Bingsu#Cat_and_Dog-62,0.07949
vit-large@Bingsu#Cat_and_Dog-63,0.07909
vit-large@frgfm#imagenette-64,0.03564
vit-large@frgfm#imagenette-65,0.04699
vit-large@food101-66,0.00615
vit-large@frgfm#imagenette-67,0.0181
vit-large@frgfm#imagenette-68,0.03215
vit-large@frgfm#imagenette-69,0.03215
vit-large@frgfm#imagenette-70,0.03215
vit-large@frgfm#imagenette-71,0.03215
vit-large@frgfm#imagenette-72,0.03215
vit-large@frgfm#imagenette-73,0.04264
vit-large@Bingsu#Cat_and_Dog-74,0.06699
vit-large@imagenet-split-0-75,0.00301
vit-large@Bingsu#Cat_and_Dog-76,0.04199
vit-large@frgfm#imagenette-77,0.03433
vit-large@mnist-78,0.01027
vit-large@Bingsu#Cat_and_Dog-79,0.08249
vit-large@frgfm#imagenette-80,0.04273
vit-large@Bingsu#Cat_and_Dog-81,0.06417
vit-large@food101-82,0.01733
vit-large@imagenet-split-2-83,0.01829
vit-large@food101-84,0.0025
vit-large@food101-85,0.01791
vit-large@imagenet-split-2-86,0.01769
vit-large@frgfm#imagenette-87,0.03629
vit-large@fashion_mnist-88,0.01353
vit-large@frgfm#imagenette-89,0.0573
vit-large@frgfm#imagenette-90,0.02175
vit-large@Bingsu#Cat_and_Dog-91,0.04885
vit-large@frgfm#imagenette-92,0.04371
vit-large@frgfm#imagenette-93,0.04175
vit-large@mnist-94,0.01147
vit-large@frgfm#imagenette-95,0.03487
vit-large@Bingsu#Cat_and_Dog-96,0.07062
vit-large@frgfm#imagenette-97,0.03444
vit-large@Bingsu#Cat_and_Dog-98,0.05328
vit-large@imagenet-split-2-99,0.03244
vit-large@Bingsu#Cat_and_Dog-100,0.06497
vit-large@imagenet-split-1-101,0.01965
vit-large@frgfm#imagenette-102,0.06717
vit-large@Bingsu#Cat_and_Dog-103,0.03675
vit-large@imagenet-split-1-104,0.05376
vit-large@Bingsu#Cat_and_Dog-105,0.07385
vit-large@fashion_mnist-106,0.01473
vit-large@frgfm#imagenette-107,0.02278
vit-large@fashion_mnist-108,0.00999
vit-large@imagenet-split-2-109,0.02789
vit-large@Bingsu#Cat_and_Dog-110,0.04038
vit-large@food101-111,0.0518
vit-large@Bingsu#Cat_and_Dog-112,0.07465
vit-large@food101-113,0.04013
vit-large@cifar100-114,0.01157
vit-large@frgfm#imagenette-115,0.03052
vit-large@imagenet-split-1-116,0.0144
vit-large@imagenet-split-0-117,0.06197
vit-large@imagenet-split-1-118,0.01449
vit-large@fashion_mnist-119,0.07802
vit-large@Bingsu#Cat_and_Dog-120,0.05691
vit-large@Bingsu#Cat_and_Dog-121,0.0557
vit-large@frgfm#imagenette-122,0.03979
vit-large@frgfm#imagenette-123,0.03968
vit-large@fashion_mnist-124,0.06182
vit-large@frgfm#imagenette-125,0.01723
vit-large@frgfm#imagenette-126,0.02845
vit-large@frgfm#imagenette-127,0.02605
vit-large@cifar100-128,0.00508
vit-large@food101-129,0.0714
vit-large@frgfm#imagenette-130,0.04317
vit-large@Bingsu#Cat_and_Dog-131,0.03594
vit-large@food101-132,0.00227
vit-large@Bingsu#Cat_and_Dog-133,0.05812
vit-large@food101-134,0.09697
vit-large@Bingsu#Cat_and_Dog-135,0.06377
vit-large@imagenet-split-2-136,0.06346
vit-large@Bingsu#Cat_and_Dog-137,0.03877
vit-large@cifar100-138,0.09151
vit-large@cifar100-139,0.09971
vit-large@cifar100-140,0.11926
vit-large@food101-141,0.02839
vit-large@cifar100-142,0.10808
vit-large@imagenet-split-2-143,0.01828
vit-large@Bingsu#Cat_and_Dog-144,0.32264
vit-large@fashion_mnist-145,0.04139
vit-large@imagenet-split-1-146,0.09473
vit-large@mnist-147,0.02486
vit-large@imagenet-split-1-148,0.09473
vit-large@cifar100-149,0.09045
vit-large@imagenet-split-0-150,0.08541
vit-large@imagenet-split-0-151,0.08541
vit-large@fashion_mnist-152,0.07538
vit-large@frgfm#imagenette-153,0.06737
vit-large@fashion_mnist-154,0.01136
vit-large@frgfm#imagenette-155,0.04046
vit-large@food101-156,0.00216
vit-large@frgfm#imagenette-157,0.06158
vit-large@cifar100-158,0.02035
vit-large@Bingsu#Cat_and_Dog-159,0.0553
vit-large@fashion_mnist-160,0.00362
vit-large@frgfm#imagenette-161,0.02781
vit-large@Bingsu#Cat_and_Dog-162,0.06497
vit-large@fashion_mnist-163,0.10171
