name,finish_time_fairness
roberta-base@mrpc-0,0.64
roberta-base@qnli-1,0.09208
roberta-base@qnli-2,0.03915
roberta-base@sst2-3,0.0673
roberta-base@qnli-4,0.07569
roberta-base@qnli-5,0.04691
roberta-base@qnli-6,0.37503
roberta-base@stsb-7,0.22068
roberta-base@rte-8,0.47096
roberta-base@qnli-9,0.19386
roberta-base@mnli-10,0.0429
roberta-base@qqp-11,0.23647
roberta-base@mnli-12,0.03993
roberta-base@qnli-13,0.13768
roberta-base@sst2-14,0.25468
roberta-base@wnli-15,43.0266
roberta-base@sst2-16,0.05256
roberta-base@rte-17,0.25627
roberta-base@sst2-18,0.06263
roberta-base@rte-19,0.26305
roberta-base@stsb-20,0.33434
roberta-base@qnli-21,0.13126
roberta-base@qnli-22,0.13483
roberta-base@wnli-23,14.29327
roberta-base@wnli-24,28.2266
roberta-base@mrpc-25,0.34196
roberta-base@wnli-26,8.2266
roberta-base@wnli-27,8.15993
roberta-base@qnli-28,0.09313
roberta-base@wnli-29,16.95993
roberta-base@wnli-30,13.95993
roberta-base@rte-31,0.26757
roberta-base@snli-32,0.21895
roberta-base@mnli-33,0.19955
roberta-base@rte-34,1.17497
roberta-base@rte-35,0.19073
roberta-base@stsb-36,0.34745
roberta-base@stsb-37,0.32035
roberta-base@snli-38,0.19409
roberta-base@sst2-39,1.02439
roberta-base@stsb-40,0.17784
roberta-base@rte-41,0.34214
roberta-base@qnli-42,0.21118
roberta-base@wnli-43,16.75993
roberta-base@qqp-44,0.19993
roberta-base@qnli-45,0.06941
roberta-base@qqp-46,0.21782
roberta-base@sst2-47,0.12453
roberta-base@qnli-48,0.35757
roberta-base@sst2-49,0.10525
roberta-base@rte-50,0.56587
roberta-base@mrpc-51,0.19294
roberta-base@mrpc-52,0.66745
roberta-base@qnli-53,0.12353
roberta-base@qqp-54,0.07073
roberta-base@wnli-55,11.69327
roberta-base@sst2-56,0.05641
roberta-base@rte-57,0.32859
roberta-base@qnli-58,0.33608
roberta-base@qqp-59,0.05249
roberta-base@sst2-60,0.24228
roberta-base@stsb-61,0.8633
roberta-base@sst2-62,0.3625
roberta-base@sst2-63,0.3625
roberta-base@mnli-64,0.11797
roberta-base@stsb-65,0.13412
roberta-base@qnli-66,0.0715
roberta-base@qnli-67,0.26836
roberta-base@qnli-68,0.28399
roberta-base@sst2-69,0.30603
roberta-base@qnli-70,0.28334
roberta-base@sst2-71,0.56612
roberta-base@rte-72,0.20203
roberta-base@qnli-73,0.32208
roberta-base@mrpc-74,0.3498
roberta-base@qnli-75,0.47121
roberta-base@sst2-76,0.63261
roberta-base@qnli-77,0.57371
roberta-base@qnli-78,0.55456
roberta-base@sst2-79,0.66682
roberta-base@sst2-80,0.66682
roberta-base@qnli-81,0.57345
roberta-base@sst2-82,0.81862
roberta-base@sst2-83,0.66682
roberta-base@sst2-84,0.66682
roberta-base@qnli-85,0.51145
roberta-base@qnli-86,0.51145
roberta-base@qnli-87,0.63127
roberta-base@sst2-88,0.64729
roberta-base@sst2-89,0.64506
roberta-base@qnli-90,0.42191
roberta-base@qnli-91,0.38948
roberta-base@sst2-92,0.29419
roberta-base@sst2-93,0.07944
roberta-base@sst2-94,0.07644
roberta-base@qnli-95,0.0611
roberta-base@stsb-96,0.128
roberta-base@qnli-97,0.19126
roberta-base@sst2-98,0.30988
roberta-base@sst2-99,0.08887
roberta-base@rte-100,0.5252
roberta-base@rte-101,0.26305
roberta-base@mrpc-102,0.81059
roberta-base@wnli-103,7.8266
roberta-base@sst2-104,0.04352
roberta-base@qnli-105,0.09857
roberta-base@qnli-106,0.26269
roberta-base@qnli-107,0.26823
roberta-base@wnli-108,13.6266
roberta-base@sst2-109,0.2018
roberta-base@sst2-110,0.09204
roberta-base@sst2-111,0.32304
roberta-base@qnli-112,0.37796
roberta-base@sst2-113,0.32304
roberta-base@sst2-114,0.32304
roberta-base@sst2-115,0.32253
roberta-base@qnli-116,0.2907
roberta-base@sst2-117,0.5476
roberta-base@sst2-118,0.46441
roberta-base@sst2-119,0.51178
