name,finish_time_fairness
roberta-large@qnli-0,0.10695
roberta-large@sst2-1,0.16038
roberta-large@qnli-2,0.32773
roberta-large@mnli-3,0.37245
roberta-large@qqp-4,0.38249
roberta-large@mnli-5,0.43368
roberta-large@wnli-6,1.78639
roberta-large@rte-7,0.20241
roberta-large@qnli-8,0.20738
roberta-large@qnli-9,0.12351
roberta-large@rte-10,0.41082
roberta-large@wnli-11,3.72485
roberta-large@mrpc-12,1.94702
roberta-large@wnli-13,5.28382
roberta-large@wnli-14,4.23254
roberta-large@mrpc-15,0.62937
roberta-large@sst2-16,0.22803
roberta-large@qnli-17,0.20197
roberta-large@rte-18,0.1499
roberta-large@stsb-19,0.44873
roberta-large@sst2-20,0.76095
roberta-large@sst2-21,0.23653
roberta-large@qqp-22,0.35735
roberta-large@qqp-23,0.37292
roberta-large@sst2-24,0.08964
roberta-large@rte-25,0.42231
roberta-large@mrpc-26,0.50531
roberta-large@sst2-27,0.43698
roberta-large@sst2-28,0.43698
roberta-large@sst2-29,0.62639
roberta-large@qnli-30,0.16433
roberta-large@stsb-31,0.85513
roberta-large@sst2-32,0.52804
roberta-large@qnli-33,0.41338
roberta-large@mrpc-34,0.55807
roberta-large@qnli-35,0.55492
roberta-large@wnli-36,0.86844
roberta-large@qnli-37,0.50567
roberta-large@sst2-38,1.33985
roberta-large@sst2-39,0.97265
roberta-large@sst2-40,0.97265
roberta-large@qnli-41,0.5846
roberta-large@sst2-42,0.97265
roberta-large@sst2-43,1.15178
roberta-large@sst2-44,1.2611
roberta-large@sst2-45,1.29764
roberta-large@qnli-46,0.56984
roberta-large@qnli-47,0.09187
roberta-large@sst2-48,0.58153
roberta-large@sst2-49,0.43299
roberta-large@rte-50,0.41246
roberta-large@wnli-51,0.33511
roberta-large@stsb-52,0.1809
roberta-large@qnli-53,0.10431
roberta-large@qnli-54,0.19186
roberta-large@qnli-55,0.44787
roberta-large@wnli-56,1.06331
roberta-large@sst2-57,0.90387
roberta-large@qnli-58,0.44568
roberta-large@sst2-59,1.07897
