full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,32,0,0,0
32,26,0,1,1
32,26,0,1,0
32,14,0,2,1
32,14,0,2,0
32,20,0,2,1
32,20,0,2,0
32,26,0,1,0
32,26,0,1,0
32,26,0,1,0
32,26,0,1,0
32,32,0,0,0
32,32,0,0,0
32,23,0,1,1
32,23,0,1,0
32,23,0,1,0
32,23,0,1,0
32,5,0,3,2
32,5,0,3,0
32,5,0,3,0
32,5,0,3,0
32,5,0,3,0
32,12,0,4,1
32,5,0,3,0
32,8,0,3,1
32,14,0,2,0
32,8,0,4,2
32,0,0,5,1
32,12,3,4,3
32,12,3,4,0
32,12,3,4,1
32,6,2,5,1
32,6,1,5,2
32,14,0,3,0
32,20,0,2,0
32,16,0,2,1
32,14,0,2,1
32,26,0,1,0
32,23,0,1,1
32,23,0,1,0
32,32,0,0,0
32,23,0,1,1
32,23,0,1,0
32,26,0,1,1
32,5,0,3,2
32,5,0,3,0
32,20,0,2,0
32,20,0,2,0
32,20,0,2,0
32,20,0,2,0
32,8,0,3,1
32,20,0,2,0
32,20,0,2,0
32,20,0,2,0
32,0,0,3,1
32,20,0,2,0
32,20,0,2,0
32,20,0,2,0
32,20,0,2,0
32,20,0,2,0
32,5,0,3,2
32,5,0,3,1
32,23,0,1,0
32,26,0,1,1
32,26,0,1,0
32,26,0,1,0
32,26,0,1,0
32,14,0,2,1
32,14,0,3,2
32,3,1,3,1
32,8,0,2,0
32,17,0,3,2
32,0,0,9,7
32,0,0,8,0
32,6,2,8,2
32,4,1,6,0
32,5,1,5,1
32,8,1,4,0
32,20,0,2,0
32,20,0,2,1
32,20,0,2,0
32,0,0,4,2
32,0,0,4,0
32,17,0,3,2
32,23,0,1,1
32,26,0,1,1
32,20,0,2,1
32,12,0,4,2
32,14,0,3,0
32,14,0,3,0
32,8,2,4,3
32,6,1,4,0
32,5,0,3,0
32,14,0,2,0
32,26,0,1,0
32,26,0,1,0
32,32,0,0,0
