name,finish_time_fairness
vit-large@frgfm#imagenette-0,0.10744
vit-large@imagenet-split-1-1,0.11188
vit-large@food101-2,0.09253
vit-large@imagenet-split-0-3,0.05642
vit-large@imagenet-split-0-4,0.09794
vit-large@imagenet-split-1-5,0.24741
vit-large@imagenet-split-1-6,0.11091
vit-large@imagenet-split-0-7,0.08488
vit-large@mnist-8,0.25399
vit-large@frgfm#imagenette-9,0.14687
vit-large@frgfm#imagenette-10,0.06103
vit-large@frgfm#imagenette-11,0.07868
vit-large@mnist-12,0.14018
vit-large@food101-13,0.10265
vit-large@fashion_mnist-14,0.20914
vit-large@imagenet-split-2-15,0.20309
vit-large@food101-16,0.08856
vit-large@imagenet-split-0-17,0.19306
vit-large@cifar100-18,0.21152
vit-large@imagenet-split-1-19,0.21273
vit-large@cifar100-20,0.19044
vit-large@imagenet-split-1-21,0.17342
vit-large@cifar100-22,0.05982
vit-large@cifar100-23,0.23183
vit-large@mnist-24,0.17693
vit-large@mnist-25,0.05104
vit-large@Bingsu#Cat_and_Dog-26,0.13801
vit-large@imagenet-split-1-27,0.07132
vit-large@Bingsu#Cat_and_Dog-28,0.14043
vit-large@fashion_mnist-29,0.05323
vit-large@cifar100-30,0.11562
vit-large@cifar100-31,0.05447
vit-large@frgfm#imagenette-32,0.19545
vit-large@frgfm#imagenette-33,0.16909
vit-large@food101-34,0.12351
vit-large@frgfm#imagenette-35,0.15779
vit-large@frgfm#imagenette-36,0.08391
vit-large@frgfm#imagenette-37,0.08391
vit-large@frgfm#imagenette-38,0.08391
vit-large@frgfm#imagenette-39,0.16172
vit-large@Bingsu#Cat_and_Dog-40,0.1606
vit-large@imagenet-split-0-41,0.085
vit-large@Bingsu#Cat_and_Dog-42,0.26705
vit-large@frgfm#imagenette-43,0.1484
vit-large@frgfm#imagenette-44,0.05907
vit-large@food101-45,0.13655
vit-large@food101-46,0.10668
vit-large@food101-47,0.15165
vit-large@frgfm#imagenette-48,0.17886
vit-large@frgfm#imagenette-49,0.2654
vit-large@frgfm#imagenette-50,0.2022
vit-large@Bingsu#Cat_and_Dog-51,0.33963
vit-large@frgfm#imagenette-52,0.05166
vit-large@frgfm#imagenette-53,0.1131
vit-large@frgfm#imagenette-54,0.12203
vit-large@Bingsu#Cat_and_Dog-55,0.36382
vit-large@imagenet-split-2-56,0.08613
vit-large@Bingsu#Cat_and_Dog-57,0.36463
vit-large@imagenet-split-1-58,0.59352
vit-large@Bingsu#Cat_and_Dog-59,0.50172
vit-large@frgfm#imagenette-60,0.05776
vit-large@fashion_mnist-61,0.22899
vit-large@Bingsu#Cat_and_Dog-62,0.33801
vit-large@food101-63,0.16897
vit-large@cifar100-64,0.04496
vit-large@food101-65,0.14938
vit-large@cifar100-66,0.08024
vit-large@imagenet-split-0-67,0.16584
vit-large@imagenet-split-1-68,0.08008
vit-large@Bingsu#Cat_and_Dog-69,0.69447
vit-large@frgfm#imagenette-70,0.05667
vit-large@frgfm#imagenette-71,0.10918
vit-large@frgfm#imagenette-72,0.10439
vit-large@cifar100-73,0.07152
vit-large@food101-74,0.14721
vit-large@frgfm#imagenette-75,0.07672
vit-large@Bingsu#Cat_and_Dog-76,0.16624
vit-large@Bingsu#Cat_and_Dog-77,0.14769
vit-large@cifar100-78,0.07371
vit-large@Bingsu#Cat_and_Dog-79,0.10898
vit-large@cifar100-80,0.2179
vit-large@food101-81,0.08885
vit-large@cifar100-82,0.21498
vit-large@Bingsu#Cat_and_Dog-83,0.41866
vit-large@fashion_mnist-84,0.22708
vit-large@imagenet-split-1-85,0.21388
vit-large@food101-86,0.12096
vit-large@Bingsu#Cat_and_Dog-87,0.26705
vit-large@fashion_mnist-88,0.21895
vit-large@Bingsu#Cat_and_Dog-89,0.4614
vit-large@imagenet-split-0-90,0.14922
vit-large@mnist-91,0.46513
vit-large@fashion_mnist-92,0.38279
vit-large@imagenet-split-1-93,0.64866
vit-large@mnist-94,0.48064
vit-large@cifar100-95,0.48232
vit-large@cifar100-96,0.42077
vit-large@imagenet-split-0-97,0.22402
vit-large@fashion_mnist-98,0.50954
vit-large@imagenet-split-0-99,0.22402
vit-large@Bingsu#Cat_and_Dog-100,0.11866
vit-large@cifar100-101,0.86157
vit-large@frgfm#imagenette-102,0.26321
vit-large@mnist-103,0.59308
vit-large@imagenet-split-1-104,0.79756
vit-large@cifar100-105,0.50203
vit-large@imagenet-split-0-106,0.34957
vit-large@fashion_mnist-107,0.47259
vit-large@cifar100-108,0.64645
vit-large@imagenet-split-1-109,0.75129
vit-large@cifar100-110,0.55006
vit-large@imagenet-split-1-111,0.79741
vit-large@mnist-112,0.47837
vit-large@imagenet-split-0-113,0.34943
vit-large@fashion_mnist-114,0.53434
vit-large@mnist-115,0.49681
vit-large@mnist-116,0.49681
vit-large@cifar100-117,0.55006
vit-large@imagenet-split-1-118,0.86509
vit-large@fashion_mnist-119,0.49681
vit-large@cifar100-120,0.50187
vit-large@imagenet-split-1-121,0.71885
vit-large@fashion_mnist-122,0.47139
vit-large@mnist-123,0.4773
vit-large@imagenet-split-1-124,0.75337
vit-large@fashion_mnist-125,0.5016
vit-large@imagenet-split-1-126,0.14637
vit-large@mnist-127,0.10475
vit-large@imagenet-split-1-128,0.13893
vit-large@frgfm#imagenette-129,0.11724
vit-large@fashion_mnist-130,0.47957
vit-large@imagenet-split-1-131,0.52469
vit-large@fashion_mnist-132,0.41522
vit-large@frgfm#imagenette-133,0.15079
vit-large@imagenet-split-0-134,0.14366
vit-large@cifar100-135,0.08838
vit-large@frgfm#imagenette-136,0.14317
vit-large@Bingsu#Cat_and_Dog-137,0.45495
vit-large@Bingsu#Cat_and_Dog-138,0.1864
vit-large@frgfm#imagenette-139,0.12182
vit-large@imagenet-split-0-140,0.11874
vit-large@food101-141,0.11702
vit-large@imagenet-split-0-142,0.23011
vit-large@imagenet-split-1-143,0.47541
vit-large@Bingsu#Cat_and_Dog-144,0.30092
vit-large@cifar100-145,0.34318
vit-large@fashion_mnist-146,0.0683
vit-large@mnist-147,0.29
vit-large@cifar100-148,0.48622
vit-large@fashion_mnist-149,0.29
vit-large@imagenet-split-1-150,0.40608
vit-large@mnist-151,0.31235
vit-large@fashion_mnist-152,0.29
