name,finish_time_fairness
vit@frgfm#imagenette-0,0.0771
vit@imagenet-split-1-1,0.05146
vit@Bingsu#Cat_and_Dog-2,0.07977
vit@food101-3,0.07629
vit@imagenet-split-0-4,0.02776
vit@Bingsu#Cat_and_Dog-5,0.19472
vit@mnist-6,0.08516
vit@Bingsu#Cat_and_Dog-7,0.04347
vit@imagenet-split-2-8,0.05001
vit@imagenet-split-1-9,0.11244
vit@imagenet-split-2-10,0.04937
vit@imagenet-split-1-11,0.05625
vit@imagenet-split-0-12,0.10613
vit@mnist-13,0.09892
vit@mnist-14,0.09892
vit@imagenet-split-0-15,0.18198
vit@imagenet-split-1-16,0.07335
vit@frgfm#imagenette-17,0.05173
vit@frgfm#imagenette-18,0.03645
vit@frgfm#imagenette-19,0.04962
vit@Bingsu#Cat_and_Dog-20,0.11145
vit@Bingsu#Cat_and_Dog-21,0.09757
vit@mnist-22,0.09372
vit@fashion_mnist-23,0.1091
vit@food101-24,0.05507
vit@food101-25,0.05507
vit@fashion_mnist-26,0.16475
vit@imagenet-split-2-27,0.04724
vit@food101-28,0.05119
vit@fashion_mnist-29,0.02755
vit@mnist-30,0.0793
vit@frgfm#imagenette-31,0.04051
vit@mnist-32,0.02989
vit@cifar100-33,0.04404
vit@frgfm#imagenette-34,0.03043
vit@imagenet-split-0-35,0.1131
vit@cifar100-36,0.08485
vit@imagenet-split-1-37,0.06744
vit@cifar100-38,0.06338
vit@imagenet-split-1-39,0.06489
vit@Bingsu#Cat_and_Dog-40,0.18831
vit@cifar100-41,0.08137
vit@mnist-42,0.08172
vit@mnist-43,0.03107
vit@imagenet-split-0-44,0.19737
vit@Bingsu#Cat_and_Dog-45,0.10468
vit@fashion_mnist-46,0.12037
vit@cifar100-47,0.0493
vit@imagenet-split-1-48,0.08776
vit@Bingsu#Cat_and_Dog-49,0.06269
vit@imagenet-split-1-50,0.09602
vit@imagenet-split-1-51,0.03201
vit@cifar100-52,0.03528
vit@imagenet-split-0-53,0.03654
vit@imagenet-split-1-54,0.03765
vit@Bingsu#Cat_and_Dog-55,0.10006
vit@imagenet-split-1-56,0.04408
vit@Bingsu#Cat_and_Dog-57,0.1513
vit@cifar100-58,0.0752
vit@imagenet-split-2-59,0.05447
vit@cifar100-60,0.04776
vit@frgfm#imagenette-61,0.06621
vit@Bingsu#Cat_and_Dog-62,0.08333
vit@Bingsu#Cat_and_Dog-63,0.08298
vit@frgfm#imagenette-64,0.07564
vit@frgfm#imagenette-65,0.11076
vit@food101-66,0.04952
vit@frgfm#imagenette-67,0.04718
vit@frgfm#imagenette-68,0.04718
vit@frgfm#imagenette-69,0.04718
