full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,0,0,2,2
32,12,0,1,0
32,20,0,3,2
32,28,0,1,0
32,10,1,2,2
32,0,0,4,2
32,20,0,3,1
32,12,0,5,2
32,5,1,5,2
32,5,1,5,0
32,8,2,5,3
32,0,0,8,2
32,8,0,6,1
32,12,0,5,1
32,0,0,4,2
32,32,0,0,0
32,6,1,4,5
32,6,1,4,0
32,0,0,4,0
32,0,0,4,0
32,12,0,5,2
32,8,0,6,2
32,4,0,7,2
32,8,0,6,2
32,0,0,10,5
32,0,0,12,4
32,0,0,12,6
32,5,2,11,7
32,3,1,11,0
32,0,0,17,7
32,3,1,8,2
32,0,0,17,9
32,5,1,5,2
32,16,0,4,1
32,12,0,5,3
32,0,0,9,6
32,0,0,8,2
32,0,0,11,3
32,4,0,7,1
32,8,0,6,1
32,0,0,9,6
32,0,0,7,2
32,5,1,5,2
32,5,1,5,2
32,6,1,6,3
32,12,0,5,1
32,5,1,5,3
32,8,0,6,3
32,0,0,4,0
32,20,0,3,0
32,6,1,4,2
32,12,3,4,2
32,6,1,6,0
32,6,1,4,2
32,10,1,2,0
32,20,0,3,2
32,16,0,1,1
32,12,0,5,5
32,20,0,3,1
32,0,0,2,1
32,16,0,4,3
32,0,0,4,1
32,6,1,4,2
32,3,1,9,6
32,0,0,18,9
32,0,0,20,3
32,0,0,21,2
32,4,1,18,3
32,6,2,11,1
32,12,3,4,0
32,0,0,9,4
32,0,0,27,22
32,0,0,28,3
32,2,1,25,1
32,0,0,25,2
32,0,30,32,39
32,0,32,32,3
32,0,38,32,9
32,0,32,32,2
32,0,28,32,2
32,0,25,32,2
32,0,26,32,3
32,0,30,32,7
32,0,27,32,3
32,0,25,32,3
32,0,25,32,4
32,0,22,32,6
32,0,18,32,2
32,0,15,32,3
32,0,13,32,2
32,0,12,32,4
32,0,9,32,3
32,0,5,32,2
32,0,23,32,23
32,0,17,32,2
32,0,13,32,2
32,0,10,32,0
32,0,6,32,0
32,0,2,32,0
32,0,0,31,0
32,6,3,24,0
32,9,3,17,0
32,12,3,10,0
32,0,0,5,0
32,0,0,2,0
32,0,0,2,0
32,28,0,1,0
32,28,0,1,0
32,28,0,1,0
32,28,0,1,0
32,28,0,1,0
32,32,0,0,0
