name,finish_time_fairness
roberta-base@mrpc-0,0.81843
roberta-base@qnli-1,0.15213
roberta-base@qnli-2,0.09405
roberta-base@sst2-3,0.20744
roberta-base@qnli-4,0.2213
roberta-base@qnli-5,0.14319
roberta-base@qnli-6,0.47004
roberta-base@stsb-7,0.30986
roberta-base@rte-8,0.55909
roberta-base@qnli-9,0.45343
roberta-base@mnli-10,0.07589
roberta-base@qqp-11,0.35849
roberta-base@mnli-12,0.08394
roberta-base@qnli-13,0.25563
roberta-base@sst2-14,0.33045
roberta-base@wnli-15,23.09327
roberta-base@sst2-16,0.10898
roberta-base@rte-17,0.3444
roberta-base@sst2-18,0.12044
roberta-base@rte-19,0.35118
roberta-base@stsb-20,0.43314
roberta-base@qnli-21,0.16879
roberta-base@qnli-22,0.09488
roberta-base@wnli-23,14.35993
roberta-base@wnli-24,8.29327
roberta-base@mrpc-25,0.44
roberta-base@wnli-26,8.29327
roberta-base@wnli-27,8.2266
roberta-base@qnli-28,0.09873
roberta-base@wnli-29,17.0266
roberta-base@wnli-30,14.0266
roberta-base@rte-31,0.3557
roberta-base@snli-32,0.19965
roberta-base@mnli-33,0.21919
roberta-base@rte-34,1.33497
roberta-base@rte-35,0.27887
roberta-base@stsb-36,0.43663
roberta-base@stsb-37,0.3798
roberta-base@snli-38,0.20456
roberta-base@sst2-39,0.93754
roberta-base@stsb-40,0.26702
roberta-base@rte-41,0.34214
roberta-base@qnli-42,0.21472
roberta-base@wnli-43,16.75993
roberta-base@qqp-44,0.22475
roberta-base@qnli-45,0.08124
roberta-base@qqp-46,0.2424
roberta-base@sst2-47,0.1199
roberta-base@qnli-48,0.41696
roberta-base@sst2-49,0.13383
roberta-base@rte-50,0.65401
roberta-base@mrpc-51,0.37137
roberta-base@mrpc-52,0.84392
roberta-base@qnli-53,0.16746
roberta-base@qqp-54,0.06851
roberta-base@wnli-55,11.69327
roberta-base@sst2-56,0.19485
roberta-base@rte-57,0.41672
roberta-base@qnli-58,0.39384
roberta-base@qqp-59,0.06788
roberta-base@sst2-60,0.53363
roberta-base@stsb-61,0.43926
roberta-base@sst2-62,0.62978
roberta-base@sst2-63,0.62978
roberta-base@mnli-64,0.21034
roberta-base@stsb-65,0.2233
roberta-base@qnli-66,0.10194
roberta-base@qnli-67,0.43129
roberta-base@qnli-68,0.41227
roberta-base@sst2-69,0.52959
roberta-base@qnli-70,0.39645
roberta-base@sst2-71,0.50813
roberta-base@rte-72,0.29017
roberta-base@qnli-73,0.69822
roberta-base@mrpc-74,0.52431
roberta-base@qnli-75,0.67822
roberta-base@sst2-76,0.7493
roberta-base@qnli-77,0.60386
roberta-base@qnli-78,0.60041
roberta-base@sst2-79,0.66267
roberta-base@sst2-80,0.82358
roberta-base@qnli-81,0.61786
roberta-base@sst2-82,0.65488
roberta-base@sst2-83,1.03377
roberta-base@sst2-84,0.6739
roberta-base@qnli-85,0.58933
roberta-base@qnli-86,0.70929
roberta-base@qnli-87,0.60353
roberta-base@sst2-88,0.81245
roberta-base@sst2-89,0.76063
roberta-base@qnli-90,0.65563
roberta-base@qnli-91,0.54037
roberta-base@sst2-92,0.65204
roberta-base@sst2-93,0.10802
roberta-base@sst2-94,0.13715
roberta-base@qnli-95,0.09164
roberta-base@stsb-96,0.21718
roberta-base@qnli-97,0.42966
roberta-base@sst2-98,0.51441
roberta-base@sst2-99,0.11819
roberta-base@rte-100,0.61785
roberta-base@rte-101,0.34666
roberta-base@mrpc-102,0.32039
roberta-base@wnli-103,7.89327
roberta-base@sst2-104,0.12344
roberta-base@qnli-105,0.15563
roberta-base@qnli-106,0.47082
roberta-base@qnli-107,0.46743
roberta-base@wnli-108,13.69327
roberta-base@sst2-109,0.49953
roberta-base@sst2-110,0.11515
roberta-base@sst2-111,0.72622
roberta-base@qnli-112,0.47114
roberta-base@sst2-113,0.61288
roberta-base@sst2-114,0.59689
roberta-base@sst2-115,0.53596
roberta-base@qnli-116,0.44789
roberta-base@sst2-117,0.61237
roberta-base@sst2-118,0.53596
roberta-base@sst2-119,0.58575
