full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,31,0,1,1
32,32,0,0,0
32,31,0,1,1
32,30,0,1,0
32,27,0,2,1
32,22,0,2,0
32,27,0,2,1
32,22,0,2,0
32,26,0,3,2
32,20,0,3,0
32,25,0,3,1
32,17,0,4,1
32,20,0,2,0
32,15,0,3,1
32,31,0,1,0
32,32,0,0,0
32,30,0,2,2
32,28,0,2,0
32,24,0,2,0
32,16,0,2,0
32,14,0,3,2
32,1,0,3,0
32,3,0,3,0
32,16,0,2,0
32,3,0,4,2
32,4,0,6,2
32,5,0,6,1
32,1,0,7,2
32,3,0,4,0
32,17,0,5,3
32,19,0,4,1
32,22,0,6,4
32,17,0,5,2
32,21,0,3,1
32,19,0,3,1
32,21,0,4,2
32,29,0,2,0
32,26,0,3,1
32,21,0,3,1
32,19,0,3,1
32,6,0,4,2
32,0,0,4,1
32,2,0,4,0
32,0,0,5,1
32,4,0,5,2
32,2,0,3,0
32,6,0,6,3
32,4,0,7,2
32,2,0,6,0
32,6,0,5,0
32,3,0,6,1
32,2,0,6,1
32,1,0,6,0
32,0,0,6,1
32,0,0,3,0
32,1,0,3,1
32,0,0,2,0
32,29,0,3,3
32,29,0,2,0
32,26,0,2,0
32,18,0,4,2
32,23,0,2,0
32,13,0,3,1
32,8,0,5,3
32,7,0,8,3
32,9,0,7,0
32,1,0,7,1
32,0,0,6,0
32,1,0,3,0
32,3,0,2,0
32,1,0,3,1
32,8,0,8,6
32,6,0,9,1
32,4,0,7,0
32,0,0,9,2
32,4,1,17,13
32,9,0,15,0
32,2,1,17,3
32,0,0,18,0
32,4,2,15,1
32,3,1,14,0
32,4,0,13,2
32,6,0,11,2
32,2,0,11,1
32,3,0,8,2
32,5,0,6,1
32,13,0,7,3
32,16,0,5,1
32,19,0,3,1
32,22,0,3,1
32,25,0,5,3
32,20,0,6,1
32,9,0,6,1
32,10,0,13,8
32,4,0,13,0
32,0,0,13,1
32,2,0,10,0
32,4,0,8,0
32,4,0,5,0
32,16,0,2,0
32,32,0,0,0
