name,finish_time_fairness
roberta-large@qnli-0,0.11131
roberta-large@sst2-1,0.39126
roberta-large@qnli-2,0.30602
roberta-large@mnli-3,0.32841
roberta-large@qqp-4,0.30458
roberta-large@mnli-5,0.36736
roberta-large@wnli-6,3.51459
roberta-large@rte-7,0.40754
roberta-large@qnli-8,0.2135
roberta-large@qnli-9,0.11529
roberta-large@rte-10,0.59954
roberta-large@wnli-11,0.83767
roberta-large@mrpc-12,0.62131
roberta-large@wnli-13,0.83254
roberta-large@wnli-14,1.2787
roberta-large@mrpc-15,0.58708
roberta-large@sst2-16,0.41425
roberta-large@qnli-17,0.19672
roberta-large@rte-18,0.35503
roberta-large@stsb-19,0.8369
roberta-large@sst2-20,1.79104
roberta-large@sst2-21,0.82181
roberta-large@qqp-22,0.27522
roberta-large@qqp-23,0.26081
roberta-large@sst2-24,0.32308
roberta-large@rte-25,0.62744
roberta-large@mrpc-26,0.91507
roberta-large@sst2-27,1.13783
roberta-large@sst2-28,1.13783
roberta-large@sst2-29,1.32723
roberta-large@qnli-30,0.18716
roberta-large@stsb-31,0.55277
roberta-large@sst2-32,1.12686
roberta-large@qnli-33,0.47928
roberta-large@mrpc-34,0.54573
roberta-large@qnli-35,0.91286
roberta-large@wnli-36,1.05818
roberta-large@qnli-37,0.75992
roberta-large@sst2-38,1.40001
roberta-large@sst2-39,1.29833
roberta-large@sst2-40,1.49571
roberta-large@qnli-41,0.69038
roberta-large@sst2-42,1.57347
roberta-large@sst2-43,1.4482
roberta-large@sst2-44,1.52861
roberta-large@sst2-45,1.54321
roberta-large@qnli-46,0.58114
roberta-large@qnli-47,0.11014
roberta-large@sst2-48,1.24848
roberta-large@sst2-49,1.09995
roberta-large@rte-50,0.60118
roberta-large@wnli-51,0.52485
roberta-large@stsb-52,0.56907
roberta-large@qnli-53,0.15198
roberta-large@qnli-54,0.21039
roberta-large@qnli-55,0.60535
roberta-large@wnli-56,1.25305
roberta-large@sst2-57,1.18269
roberta-large@qnli-58,0.47273
roberta-large@sst2-59,1.48076
