full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,30,0,2,2
32,28,0,2,0
32,27,0,2,1
32,22,0,2,0
32,11,0,3,1
32,22,0,2,0
32,23,0,3,1
32,17,0,4,1
32,20,0,5,2
32,12,0,5,0
32,11,0,5,1
32,2,0,5,1
32,9,0,4,1
32,21,0,3,1
32,14,0,2,0
32,32,0,0,0
32,29,0,3,3
32,26,0,3,0
32,20,0,3,0
32,8,0,3,0
32,0,0,5,2
32,24,0,3,0
32,20,0,3,0
32,12,0,3,0
32,11,0,8,5
32,4,0,11,4
32,2,0,12,1
32,3,0,13,2
32,2,0,11,0
32,3,0,11,3
32,2,0,11,2
32,1,0,16,7
32,4,0,12,2
32,3,0,6,1
32,6,0,5,1
32,15,0,6,3
32,21,0,5,1
32,11,0,8,3
32,1,0,7,1
32,13,0,6,1
32,15,0,7,3
32,14,0,7,2
32,14,0,5,0
32,7,0,6,1
32,6,0,4,2
32,0,0,4,0
32,10,0,5,3
32,18,0,5,2
32,8,0,5,0
32,8,0,4,0
32,0,0,5,1
32,7,0,5,1
32,18,0,4,0
32,11,0,5,1
32,16,0,3,0
32,11,0,3,1
32,30,0,1,0
32,28,0,4,4
32,23,0,5,1
32,21,0,4,1
32,14,0,4,2
32,10,0,3,0
32,23,0,3,1
32,17,0,5,3
32,15,0,8,3
32,12,0,6,0
32,3,0,6,1
32,0,0,6,0
32,0,0,4,0
32,20,0,2,0
32,21,0,5,3
32,14,0,13,10
32,5,0,14,1
32,3,1,11,0
32,2,2,12,2
32,1,11,21,18
32,2,8,22,0
32,0,8,22,3
32,0,6,23,0
32,1,6,21,1
32,0,5,22,0
32,0,7,21,2
32,0,8,21,2
32,0,8,21,1
32,0,9,21,3
32,0,10,20,2
32,0,10,20,4
32,0,6,19,1
32,2,3,15,1
32,1,2,14,1
32,2,0,14,3
32,2,0,11,1
32,3,0,12,1
32,1,3,18,12
32,2,1,17,0
32,0,2,16,1
32,4,1,16,0
32,0,0,17,0
32,0,0,16,0
32,1,0,14,0
32,0,0,11,0
32,0,0,6,0
32,16,0,2,0
32,32,0,0,0
