name,finish_time_fairness
vit-large@frgfm#imagenette-0,0.15736
vit-large@imagenet-split-1-1,0.13919
vit-large@food101-2,0.10636
vit-large@imagenet-split-0-3,0.08034
vit-large@imagenet-split-0-4,0.12234
vit-large@imagenet-split-1-5,0.23575
vit-large@imagenet-split-1-6,0.12653
vit-large@imagenet-split-0-7,0.11539
vit-large@mnist-8,0.23035
vit-large@frgfm#imagenette-9,0.13252
vit-large@frgfm#imagenette-10,0.11204
vit-large@frgfm#imagenette-11,0.12969
vit-large@mnist-12,0.22352
vit-large@food101-13,0.09001
vit-large@fashion_mnist-14,0.1895
vit-large@imagenet-split-2-15,0.22049
vit-large@food101-16,0.13304
vit-large@imagenet-split-0-17,0.20553
vit-large@cifar100-18,0.21863
vit-large@imagenet-split-1-19,0.17234
vit-large@cifar100-20,0.18598
vit-large@imagenet-split-1-21,0.16031
vit-large@cifar100-22,0.08427
vit-large@cifar100-23,0.22976
vit-large@mnist-24,0.22613
vit-large@mnist-25,0.05435
vit-large@Bingsu#Cat_and_Dog-26,0.21221
vit-large@imagenet-split-1-27,0.07986
vit-large@Bingsu#Cat_and_Dog-28,0.45656
vit-large@fashion_mnist-29,0.05769
vit-large@cifar100-30,0.11639
vit-large@cifar100-31,0.07686
vit-large@frgfm#imagenette-32,0.1615
vit-large@frgfm#imagenette-33,0.14295
vit-large@food101-34,0.15828
vit-large@frgfm#imagenette-35,0.11531
vit-large@frgfm#imagenette-36,0.11531
vit-large@frgfm#imagenette-37,0.18067
vit-large@frgfm#imagenette-38,0.12312
vit-large@frgfm#imagenette-39,0.12291
vit-large@Bingsu#Cat_and_Dog-40,0.23479
vit-large@imagenet-split-0-41,0.08427
vit-large@Bingsu#Cat_and_Dog-42,0.34124
vit-large@frgfm#imagenette-43,0.19941
vit-large@frgfm#imagenette-44,0.11008
vit-large@food101-45,0.15791
vit-large@food101-46,0.09092
vit-large@food101-47,0.13147
vit-large@frgfm#imagenette-48,0.26294
vit-large@frgfm#imagenette-49,0.24175
vit-large@frgfm#imagenette-50,0.17856
vit-large@Bingsu#Cat_and_Dog-51,0.20979
vit-large@frgfm#imagenette-52,0.10267
vit-large@frgfm#imagenette-53,0.29483
vit-large@frgfm#imagenette-54,0.15997
vit-large@Bingsu#Cat_and_Dog-55,0.36382
vit-large@imagenet-split-2-56,0.07092
vit-large@Bingsu#Cat_and_Dog-57,0.36463
vit-large@imagenet-split-1-58,0.36944
vit-large@Bingsu#Cat_and_Dog-59,0.25979
vit-large@frgfm#imagenette-60,0.10877
vit-large@fashion_mnist-61,0.13961
vit-large@Bingsu#Cat_and_Dog-62,0.33801
vit-large@food101-63,0.1294
vit-large@cifar100-64,0.04579
vit-large@food101-65,0.13541
vit-large@cifar100-66,0.04882
vit-large@imagenet-split-0-67,0.18109
vit-large@imagenet-split-1-68,0.06521
vit-large@Bingsu#Cat_and_Dog-69,0.32269
vit-large@frgfm#imagenette-70,0.10769
vit-large@frgfm#imagenette-71,0.16019
vit-large@frgfm#imagenette-72,0.1554
vit-large@cifar100-73,0.09908
vit-large@food101-74,0.14209
vit-large@frgfm#imagenette-75,0.12773
vit-large@Bingsu#Cat_and_Dog-76,0.29527
vit-large@Bingsu#Cat_and_Dog-77,0.27672
vit-large@cifar100-78,0.08714
vit-large@Bingsu#Cat_and_Dog-79,0.23801
vit-large@cifar100-80,0.26258
vit-large@food101-81,0.08652
vit-large@cifar100-82,0.22051
vit-large@Bingsu#Cat_and_Dog-83,0.41866
vit-large@fashion_mnist-84,0.30464
vit-large@imagenet-split-1-85,0.29572
vit-large@food101-86,0.13519
vit-large@Bingsu#Cat_and_Dog-87,0.38721
vit-large@fashion_mnist-88,0.21759
vit-large@Bingsu#Cat_and_Dog-89,0.21947
vit-large@imagenet-split-0-90,0.1111
vit-large@mnist-91,0.39185
vit-large@fashion_mnist-92,0.85729
vit-large@imagenet-split-1-93,0.89069
vit-large@mnist-94,0.45286
vit-large@cifar100-95,0.40736
vit-large@cifar100-96,0.4525
vit-large@imagenet-split-0-97,0.23791
vit-large@fashion_mnist-98,0.66882
vit-large@imagenet-split-0-99,0.17897
vit-large@Bingsu#Cat_and_Dog-100,0.19285
vit-large@cifar100-101,0.57636
vit-large@frgfm#imagenette-102,0.13249
vit-large@mnist-103,0.64121
vit-large@imagenet-split-1-104,0.78526
vit-large@cifar100-105,0.53627
vit-large@imagenet-split-0-106,0.32387
vit-large@fashion_mnist-107,0.53776
vit-large@cifar100-108,0.6178
vit-large@imagenet-split-1-109,0.75361
vit-large@cifar100-110,0.52619
vit-large@imagenet-split-1-111,0.72644
vit-large@mnist-112,0.60455
vit-large@imagenet-split-0-113,0.27603
vit-large@fashion_mnist-114,0.49598
vit-large@mnist-115,0.51069
vit-large@mnist-116,0.75425
vit-large@cifar100-117,0.51951
vit-large@imagenet-split-1-118,0.75361
vit-large@fashion_mnist-119,0.59248
vit-large@cifar100-120,0.43704
vit-large@imagenet-split-1-121,0.92963
vit-large@fashion_mnist-122,0.50013
vit-large@mnist-123,0.6561
vit-large@imagenet-split-1-124,0.83201
vit-large@fashion_mnist-125,0.50719
vit-large@imagenet-split-1-126,0.10785
vit-large@mnist-127,0.10895
vit-large@imagenet-split-1-128,0.13331
vit-large@frgfm#imagenette-129,0.10943
vit-large@fashion_mnist-130,0.44014
vit-large@imagenet-split-1-131,0.85288
vit-large@fashion_mnist-132,0.54415
vit-large@frgfm#imagenette-133,0.2737
vit-large@imagenet-split-0-134,0.08895
vit-large@cifar100-135,0.12567
vit-large@frgfm#imagenette-136,0.14317
vit-large@Bingsu#Cat_and_Dog-137,0.45495
vit-large@Bingsu#Cat_and_Dog-138,0.42834
vit-large@frgfm#imagenette-139,0.37544
vit-large@imagenet-split-0-140,0.1386
vit-large@food101-141,0.15255
vit-large@imagenet-split-0-142,0.18123
vit-large@imagenet-split-1-143,0.59712
vit-large@Bingsu#Cat_and_Dog-144,0.30092
vit-large@cifar100-145,0.37409
vit-large@fashion_mnist-146,0.07483
vit-large@mnist-147,0.40692
vit-large@cifar100-148,0.37523
vit-large@fashion_mnist-149,0.30931
vit-large@imagenet-split-1-150,0.40059
vit-large@mnist-151,0.43582
vit-large@fashion_mnist-152,0.36328
vit-large@imagenet-split-1-153,0.4227
vit-large@fashion_mnist-154,0.34733
vit-large@imagenet-split-1-155,0.36317
vit-large@imagenet-split-0-156,0.19051
vit-large@fashion_mnist-157,0.31264
vit-large@cifar100-158,0.29824
vit-large@imagenet-split-1-159,0.37494
