full_resource,free_resource,pending_num,running_num,submit_num
32,32,0,0,0
32,30,0,2,2
32,28,0,2,0
32,26,0,3,2
32,22,0,2,0
32,26,0,3,2
32,24,0,4,2
32,21,0,4,1
32,20,0,5,2
32,18,0,6,2
32,12,0,6,0
32,4,0,8,3
32,9,0,8,2
32,8,0,8,1
32,13,0,6,1
32,8,0,7,2
32,32,0,0,0
32,27,0,5,5
32,22,0,5,0
32,12,0,5,0
32,4,0,5,0
32,18,0,5,2
32,18,0,6,2
32,18,0,6,2
32,11,0,8,2
32,5,0,12,5
32,4,0,14,4
32,6,0,16,6
32,5,1,18,7
32,2,0,16,0
32,2,2,18,7
32,5,1,15,2
32,7,1,19,9
32,3,0,16,2
32,6,0,8,1
32,15,0,7,3
32,14,0,10,6
32,10,0,10,2
32,4,0,12,3
32,5,0,10,1
32,0,0,9,1
32,6,0,12,6
32,10,0,9,2
32,12,0,7,2
32,16,0,6,2
32,11,0,7,3
32,17,0,6,1
32,7,0,8,3
32,7,0,7,3
32,18,0,5,0
32,16,0,4,0
32,18,0,5,2
32,14,0,7,2
32,16,0,5,0
32,14,0,5,2
32,16,0,2,0
32,30,0,2,2
32,27,0,3,1
32,25,0,6,5
32,17,0,7,1
32,13,0,5,1
32,25,0,4,3
32,23,0,4,1
32,18,0,5,2
32,16,0,9,6
32,7,1,17,9
32,2,2,18,3
32,0,3,17,2
32,2,2,15,3
32,4,0,16,1
32,6,0,11,0
32,7,0,9,4
32,6,4,23,22
32,3,6,22,3
32,0,5,23,1
32,5,4,19,2
32,0,35,26,39
32,1,34,29,3
32,0,42,29,9
32,0,44,29,2
32,0,45,29,2
32,0,43,25,2
32,0,45,24,3
32,0,47,26,7
32,0,48,26,3
32,0,49,26,3
32,0,51,24,4
32,0,54,23,6
32,0,51,22,2
32,1,47,22,3
32,0,45,24,2
32,0,46,23,4
32,0,42,22,3
32,0,42,22,2
32,0,56,22,23
32,0,53,23,2
32,0,50,23,2
32,0,47,23,0
32,0,41,22,0
32,0,38,23,0
32,0,35,24,0
32,0,35,22,0
32,1,31,19,0
32,0,25,19,0
32,1,18,18,0
32,1,14,16,0
32,2,7,13,0
32,4,0,11,0
32,14,0,4,0
32,24,0,2,0
32,28,0,1,0
32,32,0,0,0
