name,finish_time_fairness
vit@frgfm#imagenette-0,0.10005
vit@imagenet-split-1-1,0.09687
vit@Bingsu#Cat_and_Dog-2,0.13493
vit@food101-3,0.07793
vit@imagenet-split-0-4,0.05287
vit@Bingsu#Cat_and_Dog-5,0.15059
vit@mnist-6,0.08944
vit@Bingsu#Cat_and_Dog-7,0.10611
vit@imagenet-split-2-8,0.0592
vit@imagenet-split-1-9,0.15521
vit@imagenet-split-2-10,0.05637
vit@imagenet-split-1-11,0.08687
vit@imagenet-split-0-12,0.0801
vit@mnist-13,0.09372
vit@mnist-14,0.09714
vit@imagenet-split-0-15,0.19512
vit@imagenet-split-1-16,0.10081
vit@frgfm#imagenette-17,0.08152
vit@frgfm#imagenette-18,0.06623
vit@frgfm#imagenette-19,0.0794
vit@Bingsu#Cat_and_Dog-20,0.17408
vit@Bingsu#Cat_and_Dog-21,0.1602
vit@mnist-22,0.09077
vit@fashion_mnist-23,0.20799
vit@food101-24,0.05526
vit@food101-25,0.07519
vit@fashion_mnist-26,0.16604
vit@imagenet-split-2-27,0.05986
vit@food101-28,0.06446
vit@fashion_mnist-29,0.04302
vit@mnist-30,0.09223
vit@frgfm#imagenette-31,0.0703
vit@mnist-32,0.04759
vit@cifar100-33,0.05492
vit@frgfm#imagenette-34,0.06022
vit@imagenet-split-0-35,0.21334
vit@cifar100-36,0.14453
vit@imagenet-split-1-37,0.14053
vit@cifar100-38,0.19006
vit@imagenet-split-1-39,0.14288
vit@Bingsu#Cat_and_Dog-40,0.18831
vit@cifar100-41,0.13006
vit@mnist-42,0.13222
vit@mnist-43,0.03456
vit@imagenet-split-0-44,0.19115
vit@Bingsu#Cat_and_Dog-45,0.14098
vit@fashion_mnist-46,0.15235
vit@cifar100-47,0.0722
vit@imagenet-split-1-48,0.13292
vit@Bingsu#Cat_and_Dog-49,0.09899
vit@imagenet-split-1-50,0.15824
vit@imagenet-split-1-51,0.04905
vit@cifar100-52,0.0532
vit@imagenet-split-0-53,0.07843
vit@imagenet-split-1-54,0.05381
vit@Bingsu#Cat_and_Dog-55,0.10006
vit@imagenet-split-1-56,0.04349
vit@Bingsu#Cat_and_Dog-57,0.1876
vit@cifar100-58,0.10231
vit@imagenet-split-2-59,0.05744
vit@cifar100-60,0.06997
vit@frgfm#imagenette-61,0.08769
vit@Bingsu#Cat_and_Dog-62,0.11963
vit@Bingsu#Cat_and_Dog-63,0.11927
vit@frgfm#imagenette-64,0.10314
vit@frgfm#imagenette-65,0.08347
vit@food101-66,0.06642
vit@frgfm#imagenette-67,0.06867
vit@frgfm#imagenette-68,0.16623
vit@frgfm#imagenette-69,0.06572
vit@frgfm#imagenette-70,0.06867
vit@frgfm#imagenette-71,0.06867
vit@frgfm#imagenette-72,0.11745
vit@frgfm#imagenette-73,0.06555
vit@Bingsu#Cat_and_Dog-74,0.10895
vit@imagenet-split-0-75,0.1117
vit@Bingsu#Cat_and_Dog-76,0.15593
vit@frgfm#imagenette-77,0.08265
vit@mnist-78,0.0772
vit@Bingsu#Cat_and_Dog-79,0.20442
vit@frgfm#imagenette-80,0.06477
vit@Bingsu#Cat_and_Dog-81,0.16305
vit@food101-82,0.06871
vit@imagenet-split-2-83,0.05464
vit@food101-84,0.06526
vit@food101-85,0.05983
vit@imagenet-split-2-86,0.05833
vit@frgfm#imagenette-87,0.16772
vit@fashion_mnist-88,0.20884
vit@frgfm#imagenette-89,0.23932
vit@frgfm#imagenette-90,0.10782
vit@Bingsu#Cat_and_Dog-91,0.09792
vit@frgfm#imagenette-92,0.05924
vit@frgfm#imagenette-93,0.10509
vit@mnist-94,0.03716
vit@frgfm#imagenette-95,0.102
vit@Bingsu#Cat_and_Dog-96,0.1812
vit@frgfm#imagenette-97,0.15013
vit@Bingsu#Cat_and_Dog-98,0.16589
vit@imagenet-split-2-99,0.07676
vit@Bingsu#Cat_and_Dog-100,0.16625
vit@imagenet-split-1-101,0.20763
vit@frgfm#imagenette-102,0.17329
vit@Bingsu#Cat_and_Dog-103,0.1086
vit@imagenet-split-1-104,0.23758
vit@Bingsu#Cat_and_Dog-105,0.11999
vit@fashion_mnist-106,0.0472
vit@frgfm#imagenette-107,0.06379
vit@fashion_mnist-108,0.09724
vit@imagenet-split-2-109,0.05127
vit@Bingsu#Cat_and_Dog-110,0.15451
vit@food101-111,0.07587
vit@Bingsu#Cat_and_Dog-112,0.09935
vit@food101-113,0.05827
vit@cifar100-114,0.04494
vit@frgfm#imagenette-115,0.06623
vit@imagenet-split-1-116,0.03486
vit@imagenet-split-0-117,0.23924
vit@imagenet-split-1-118,0.04376
vit@fashion_mnist-119,0.1835
vit@Bingsu#Cat_and_Dog-120,0.14774
vit@Bingsu#Cat_and_Dog-121,0.14668
vit@frgfm#imagenette-122,0.06314
vit@frgfm#imagenette-123,0.06298
vit@fashion_mnist-124,0.22751
vit@frgfm#imagenette-125,0.10428
vit@frgfm#imagenette-126,0.10217
vit@frgfm#imagenette-127,0.09859
vit@cifar100-128,0.08707
vit@food101-129,0.07899
vit@frgfm#imagenette-130,0.07794
vit@Bingsu#Cat_and_Dog-131,0.13564
vit@food101-132,0.06001
vit@Bingsu#Cat_and_Dog-133,0.12746
vit@food101-134,0.09115
vit@Bingsu#Cat_and_Dog-135,0.15379
vit@imagenet-split-2-136,0.14434
vit@Bingsu#Cat_and_Dog-137,0.11038
vit@cifar100-138,0.32019
vit@cifar100-139,0.28696
vit@cifar100-140,0.26458
vit@food101-141,0.14861
vit@cifar100-142,0.28497
vit@imagenet-split-2-143,0.06485
vit@Bingsu#Cat_and_Dog-144,0.19009
vit@fashion_mnist-145,0.28296
vit@imagenet-split-1-146,0.21504
vit@mnist-147,0.11942
vit@imagenet-split-1-148,0.24785
vit@cifar100-149,0.30794
vit@imagenet-split-0-150,0.3601
vit@imagenet-split-0-151,0.40222
vit@fashion_mnist-152,0.30762
vit@frgfm#imagenette-153,0.14897
vit@fashion_mnist-154,0.05805
vit@frgfm#imagenette-155,0.16428
vit@food101-156,0.12588
vit@frgfm#imagenette-157,0.16477
vit@cifar100-158,0.07254
vit@Bingsu#Cat_and_Dog-159,0.31714
vit@fashion_mnist-160,0.04301
vit@frgfm#imagenette-161,0.09255
vit@Bingsu#Cat_and_Dog-162,0.17621
vit@fashion_mnist-163,0.34977
vit@imagenet-split-1-164,0.99987
vit@Bingsu#Cat_and_Dog-165,0.10219
vit@imagenet-split-0-166,0.06296
vit@mnist-167,0.3242
vit@fashion_mnist-168,0.70941
vit@imagenet-split-1-169,1.15727
vit@mnist-170,0.54636
vit@fashion_mnist-171,0.48675
vit@imagenet-split-1-172,0.55058
vit@cifar100-173,0.48795
vit@fashion_mnist-174,0.38949
vit@imagenet-split-1-175,1.09398
vit@cifar100-176,0.47796
vit@cifar100-177,0.38884
vit@imagenet-split-0-178,0.22772
vit@fashion_mnist-179,0.62922
vit@imagenet-split-0-180,0.45853
vit@imagenet-split-1-181,0.93958
vit@cifar100-182,0.78412
vit@imagenet-split-0-183,0.2504
vit@mnist-184,0.66747
vit@fashion_mnist-185,0.53487
vit@fashion_mnist-186,0.59209
vit@imagenet-split-1-187,0.22606
vit@Bingsu#Cat_and_Dog-188,0.16661
vit@Bingsu#Cat_and_Dog-189,0.12034
vit@Bingsu#Cat_and_Dog-190,0.19721
vit@food101-191,0.50124
vit@cifar100-192,1.16957
vit@frgfm#imagenette-193,0.27339
vit@imagenet-split-1-194,1.01421
vit@mnist-195,0.44739
vit@imagenet-split-1-196,1.26989
vit@cifar100-197,1.52073
vit@imagenet-split-0-198,0.3052
vit@fashion_mnist-199,1.59862
vit@mnist-200,0.45111
vit@imagenet-split-1-201,1.26364
vit@fashion_mnist-202,1.06763
vit@fashion_mnist-203,1.1363
vit@imagenet-split-1-204,1.22654
vit@imagenet-split-1-205,1.04489
vit@cifar100-206,0.99195
vit@mnist-207,0.53472
vit@imagenet-split-0-208,0.73343
vit@cifar100-209,1.03401
vit@imagenet-split-1-210,1.20052
vit@cifar100-211,0.89476
vit@imagenet-split-1-212,1.20025
vit@mnist-213,0.2948
vit@imagenet-split-0-214,0.73863
vit@fashion_mnist-215,0.88247
vit@mnist-216,0.52333
vit@mnist-217,0.53524
vit@cifar100-218,0.44524
vit@imagenet-split-1-219,0.81716
vit@fashion_mnist-220,0.88541
vit@cifar100-221,0.56026
vit@imagenet-split-1-222,1.09377
vit@imagenet-split-1-223,1.28341
vit@cifar100-224,0.82888
vit@imagenet-split-0-225,0.82954
vit@cifar100-226,1.39705
vit@cifar100-227,1.05687
vit@imagenet-split-1-228,1.078
vit@cifar100-229,1.71865
vit@fashion_mnist-230,1.54454
vit@imagenet-split-0-231,0.49676
vit@fashion_mnist-232,1.48715
vit@imagenet-split-1-233,0.61314
vit@Bingsu#Cat_and_Dog-234,0.37337
vit@frgfm#imagenette-235,0.18916
vit@imagenet-split-1-236,1.17266
vit@mnist-237,0.30319
vit@cifar100-238,1.66488
vit@frgfm#imagenette-239,0.27824
vit@Bingsu#Cat_and_Dog-240,0.24454
vit@fashion_mnist-241,1.37722
vit@mnist-242,0.53339
vit@imagenet-split-0-243,0.57495
vit@cifar100-244,1.46036
vit@imagenet-split-2-245,0.22631
vit@Bingsu#Cat_and_Dog-246,0.34917
vit@imagenet-split-2-247,0.23089
vit@imagenet-split-1-248,0.703
vit@imagenet-split-0-249,0.1328
vit@frgfm#imagenette-250,0.25108
vit@fashion_mnist-251,1.40565
vit@imagenet-split-1-252,0.18694
vit@cifar100-253,0.3426
vit@mnist-254,0.18245
vit@imagenet-split-1-255,1.04339
vit@imagenet-split-1-256,0.21655
vit@mnist-257,0.37708
vit@imagenet-split-0-258,0.58404
vit@frgfm#imagenette-259,0.21404
vit@frgfm#imagenette-260,0.20818
vit@cifar100-261,0.66379
vit@frgfm#imagenette-262,0.13271
vit@frgfm#imagenette-263,0.45452
vit@fashion_mnist-264,1.13227
vit@imagenet-split-1-265,0.86664
vit@fashion_mnist-266,1.09089
vit@cifar100-267,0.47032
vit@food101-268,0.3374
vit@frgfm#imagenette-269,0.18948
