name,finish_time_fairness
roberta-base@mrpc-0,0.81843
roberta-base@qnli-1,0.23519
roberta-base@qnli-2,0.23997
roberta-base@sst2-3,0.2104
roberta-base@qnli-4,0.1566
roberta-base@qnli-5,0.19002
roberta-base@qnli-6,0.25735
roberta-base@stsb-7,0.30986
roberta-base@rte-8,1.23706
roberta-base@qnli-9,0.24075
roberta-base@mnli-10,0.18714
roberta-base@qqp-11,0.239
roberta-base@mnli-12,0.18696
roberta-base@qnli-13,0.24573
roberta-base@sst2-14,0.19947
roberta-base@wnli-15,23.09327
roberta-base@sst2-16,0.20931
roberta-base@rte-17,0.3444
roberta-base@sst2-18,0.22077
roberta-base@rte-19,0.35118
roberta-base@stsb-20,0.43314
roberta-base@qnli-21,0.21563
roberta-base@qnli-22,0.2408
roberta-base@wnli-23,14.35993
roberta-base@wnli-24,8.29327
roberta-base@mrpc-25,0.44
roberta-base@wnli-26,8.29327
roberta-base@wnli-27,8.2266
roberta-base@qnli-28,0.24466
roberta-base@wnli-29,17.0266
roberta-base@wnli-30,14.0266
roberta-base@rte-31,0.3557
roberta-base@snli-32,0.17811
roberta-base@mnli-33,0.16295
roberta-base@rte-34,1.2283
roberta-base@rte-35,0.27887
roberta-base@stsb-36,0.43663
roberta-base@stsb-37,0.3798
roberta-base@snli-38,0.21226
roberta-base@sst2-39,0.32149
roberta-base@stsb-40,0.26702
roberta-base@rte-41,0.34214
roberta-base@qnli-42,0.15003
roberta-base@wnli-43,16.75993
roberta-base@qqp-44,0.1561
roberta-base@qnli-45,0.2065
roberta-base@qqp-46,0.17415
roberta-base@sst2-47,0.21991
roberta-base@qnli-48,0.20428
roberta-base@sst2-49,0.23415
roberta-base@rte-50,0.65401
roberta-base@mrpc-51,0.37137
roberta-base@mrpc-52,0.84392
roberta-base@qnli-53,0.2143
roberta-base@qqp-54,0.17768
roberta-base@wnli-55,11.69327
roberta-base@sst2-56,0.19782
roberta-base@rte-57,0.41672
roberta-base@qnli-58,0.18116
roberta-base@qqp-59,0.14447
roberta-base@sst2-60,0.20311
roberta-base@stsb-61,0.43926
roberta-base@sst2-62,0.29925
roberta-base@sst2-63,0.45106
roberta-base@mnli-64,0.154
roberta-base@stsb-65,0.2233
roberta-base@qnli-66,0.26387
roberta-base@qnli-67,0.17758
roberta-base@qnli-68,0.17758
roberta-base@sst2-69,0.19755
roberta-base@qnli-70,0.37262
roberta-base@sst2-71,0.50115
roberta-base@rte-72,0.29017
roberta-base@qnli-73,0.23847
roberta-base@mrpc-74,0.52431
roberta-base@qnli-75,0.20786
roberta-base@sst2-76,0.24511
roberta-base@qnli-77,0.30554
roberta-base@qnli-78,0.40322
roberta-base@sst2-79,0.54821
roberta-base@sst2-80,0.70001
roberta-base@qnli-81,0.59826
roberta-base@sst2-82,0.85181
roberta-base@sst2-83,1.00362
roberta-base@sst2-84,1.15542
roberta-base@qnli-85,0.79362
roberta-base@qnli-86,0.8913
roberta-base@qnli-87,0.98898
roberta-base@sst2-88,1.20045
roberta-base@sst2-89,1.13366
roberta-base@qnli-90,0.8773
roberta-base@qnli-91,0.80078
roberta-base@sst2-92,0.92721
roberta-base@sst2-93,0.27907
roberta-base@sst2-94,0.3082
roberta-base@qnli-95,0.26245
roberta-base@stsb-96,0.74177
roberta-base@qnli-97,0.41234
roberta-base@sst2-98,0.63929
roberta-base@sst2-99,0.21852
roberta-base@rte-100,0.61785
roberta-base@rte-101,0.34666
roberta-base@mrpc-102,0.90863
roberta-base@wnli-103,7.89327
roberta-base@sst2-104,0.25589
roberta-base@qnli-105,0.20246
roberta-base@qnli-106,0.20917
roberta-base@qnli-107,0.20917
roberta-base@wnli-108,13.69327
roberta-base@sst2-109,0.18894
roberta-base@sst2-110,0.20963
roberta-base@sst2-111,0.37768
roberta-base@qnli-112,0.29317
roberta-base@sst2-113,0.22588
roberta-base@sst2-114,0.52949
roberta-base@sst2-115,0.68078
roberta-base@qnli-116,0.4882
roberta-base@sst2-117,0.83259
roberta-base@sst2-118,0.98439
roberta-base@sst2-119,0.71064
