name,finish_time_fairness
roberta-large@qnli-0,0.51999
roberta-large@sst2-1,0.49798
roberta-large@qnli-2,0.43306
roberta-large@mnli-3,0.4487
roberta-large@qqp-4,0.38084
roberta-large@mnli-5,0.4161
roberta-large@wnli-6,1.97613
roberta-large@rte-7,0.40754
roberta-large@qnli-8,0.46036
roberta-large@qnli-9,0.55752
roberta-large@rte-10,0.59954
roberta-large@wnli-11,0.83767
roberta-large@mrpc-12,0.58659
roberta-large@wnli-13,0.83254
roberta-large@wnli-14,1.2787
roberta-large@mrpc-15,0.55236
roberta-large@sst2-16,0.52097
roberta-large@qnli-17,0.48592
roberta-large@rte-18,0.35503
roberta-large@stsb-19,0.87493
roberta-large@sst2-20,0.56021
roberta-large@sst2-21,0.44717
roberta-large@qqp-22,0.32226
roberta-large@qqp-23,0.33796
roberta-large@sst2-24,0.5162
roberta-large@rte-25,0.62744
roberta-large@mrpc-26,0.88035
roberta-large@sst2-27,0.47087
roberta-large@sst2-28,0.47087
roberta-large@sst2-29,0.66028
roberta-large@qnli-30,0.47614
roberta-large@stsb-31,0.5908
roberta-large@sst2-32,0.45991
roberta-large@qnli-33,0.29912
roberta-large@mrpc-34,0.93882
roberta-large@qnli-35,0.51431
roberta-large@wnli-36,1.05818
roberta-large@qnli-37,0.48864
roberta-large@sst2-38,0.85268
roberta-large@sst2-39,1.44981
roberta-large@sst2-40,2.34701
roberta-large@qnli-41,0.73414
roberta-large@sst2-42,2.34701
roberta-large@sst2-43,2.34701
roberta-large@sst2-44,2.43573
roberta-large@sst2-45,2.30415
roberta-large@qnli-46,0.74015
roberta-large@qnli-47,0.60983
roberta-large@sst2-48,0.88059
roberta-large@sst2-49,0.73206
roberta-large@rte-50,0.60118
roberta-large@wnli-51,0.52485
roberta-large@stsb-52,0.6071
roberta-large@qnli-53,0.49797
roberta-large@qnli-54,0.48158
roberta-large@qnli-55,0.32588
roberta-large@wnli-56,1.25305
roberta-large@sst2-57,0.51573
roberta-large@qnli-58,0.31441
roberta-large@sst2-59,0.8138
