name,finish_time_fairness
vit-large@frgfm#imagenette-0,0.16517
vit-large@imagenet-split-1-1,0.14921
vit-large@food101-2,0.11442
vit-large@imagenet-split-0-3,0.11525
vit-large@imagenet-split-0-4,0.11497
vit-large@imagenet-split-1-5,0.14022
vit-large@imagenet-split-1-6,0.13655
vit-large@imagenet-split-0-7,0.16516
vit-large@mnist-8,0.16066
vit-large@frgfm#imagenette-9,0.14034
vit-large@frgfm#imagenette-10,0.25057
vit-large@frgfm#imagenette-11,0.1375
vit-large@mnist-12,0.19399
vit-large@food101-13,0.1075
vit-large@fashion_mnist-14,0.12104
vit-large@imagenet-split-2-15,0.16644
vit-large@food101-16,0.10734
vit-large@imagenet-split-0-17,0.14181
vit-large@cifar100-18,0.13423
vit-large@imagenet-split-1-19,0.11926
vit-large@cifar100-20,0.11314
vit-large@imagenet-split-1-21,0.10483
vit-large@cifar100-22,0.14187
vit-large@cifar100-23,0.18878
vit-large@mnist-24,0.16926
vit-large@mnist-25,0.11052
vit-large@Bingsu#Cat_and_Dog-26,0.21221
vit-large@imagenet-split-1-27,0.18677
vit-large@Bingsu#Cat_and_Dog-28,0.21463
vit-large@fashion_mnist-29,0.12631
vit-large@cifar100-30,0.15752
vit-large@cifar100-31,0.10943
vit-large@frgfm#imagenette-32,0.23467
vit-large@frgfm#imagenette-33,0.14295
vit-large@food101-34,0.27397
vit-large@frgfm#imagenette-35,0.12312
vit-large@frgfm#imagenette-36,0.18848
vit-large@frgfm#imagenette-37,0.12312
vit-large@frgfm#imagenette-38,0.12312
vit-large@frgfm#imagenette-39,0.12291
vit-large@Bingsu#Cat_and_Dog-40,0.23479
vit-large@imagenet-split-0-41,0.1365
vit-large@Bingsu#Cat_and_Dog-42,0.34124
vit-large@frgfm#imagenette-43,0.20722
vit-large@frgfm#imagenette-44,0.11789
vit-large@food101-45,0.24992
vit-large@food101-46,0.11655
vit-large@food101-47,0.30273
vit-large@frgfm#imagenette-48,0.21118
vit-large@frgfm#imagenette-49,0.19
vit-large@frgfm#imagenette-50,0.1268
vit-large@Bingsu#Cat_and_Dog-51,0.20979
vit-large@frgfm#imagenette-52,0.17585
vit-large@frgfm#imagenette-53,0.17193
vit-large@frgfm#imagenette-54,0.16779
vit-large@Bingsu#Cat_and_Dog-55,0.60576
vit-large@imagenet-split-2-56,0.11804
vit-large@Bingsu#Cat_and_Dog-57,0.36463
vit-large@imagenet-split-1-58,0.23394
vit-large@Bingsu#Cat_and_Dog-59,0.25979
vit-large@frgfm#imagenette-60,0.11659
vit-large@fashion_mnist-61,0.10708
vit-large@Bingsu#Cat_and_Dog-62,0.33801
vit-large@food101-63,0.23758
vit-large@cifar100-64,0.10268
vit-large@food101-65,0.30772
vit-large@cifar100-66,0.12623
vit-large@imagenet-split-0-67,0.15054
vit-large@imagenet-split-1-68,0.1808
vit-large@Bingsu#Cat_and_Dog-69,0.32269
vit-large@frgfm#imagenette-70,0.1155
vit-large@frgfm#imagenette-71,0.168
vit-large@frgfm#imagenette-72,0.16321
vit-large@cifar100-73,0.1183
vit-large@food101-74,1.0436
vit-large@frgfm#imagenette-75,0.13554
vit-large@Bingsu#Cat_and_Dog-76,0.29527
vit-large@Bingsu#Cat_and_Dog-77,0.27672
vit-large@cifar100-78,0.12504
vit-large@Bingsu#Cat_and_Dog-79,0.47995
vit-large@cifar100-80,0.18042
vit-large@food101-81,0.1411
vit-large@cifar100-82,0.13207
vit-large@Bingsu#Cat_and_Dog-83,0.6606
vit-large@fashion_mnist-84,0.15464
vit-large@imagenet-split-1-85,0.24506
vit-large@food101-86,0.94358
vit-large@Bingsu#Cat_and_Dog-87,0.38721
vit-large@fashion_mnist-88,0.18141
vit-large@Bingsu#Cat_and_Dog-89,0.21947
vit-large@imagenet-split-0-90,0.15261
vit-large@mnist-91,0.16802
vit-large@fashion_mnist-92,0.24835
vit-large@imagenet-split-1-93,0.30655
vit-large@mnist-94,0.36883
vit-large@cifar100-95,0.51585
vit-large@cifar100-96,0.51585
vit-large@imagenet-split-0-97,0.47168
vit-large@fashion_mnist-98,0.5695
vit-large@imagenet-split-0-99,0.638
vit-large@Bingsu#Cat_and_Dog-100,0.19285
vit-large@cifar100-101,0.59424
vit-large@frgfm#imagenette-102,0.13249
vit-large@mnist-103,0.54192
vit-large@imagenet-split-1-104,0.64368
vit-large@cifar100-105,0.67552
vit-large@imagenet-split-0-106,0.81734
vit-large@fashion_mnist-107,0.78288
vit-large@cifar100-108,0.81994
vit-large@imagenet-split-1-109,0.78188
vit-large@cifar100-110,0.96452
vit-large@imagenet-split-1-111,0.92024
