name,finish_time_fairness
vit@frgfm#imagenette-0,0.0971
vit@imagenet-split-1-1,0.09289
vit@Bingsu#Cat_and_Dog-2,0.13493
vit@food101-3,0.07989
vit@imagenet-split-0-4,0.06537
vit@Bingsu#Cat_and_Dog-5,0.25735
vit@mnist-6,0.08803
vit@Bingsu#Cat_and_Dog-7,0.10611
vit@imagenet-split-2-8,0.05702
vit@imagenet-split-1-9,0.0834
vit@imagenet-split-2-10,0.07797
vit@imagenet-split-1-11,0.05941
vit@imagenet-split-0-12,0.05965
vit@mnist-13,0.09231
vit@mnist-14,0.09231
vit@imagenet-split-0-15,0.11974
vit@imagenet-split-1-16,0.07335
vit@frgfm#imagenette-17,0.07856
vit@frgfm#imagenette-18,0.06328
vit@frgfm#imagenette-19,0.07645
vit@Bingsu#Cat_and_Dog-20,0.17408
vit@Bingsu#Cat_and_Dog-21,0.1602
vit@mnist-22,0.08936
vit@fashion_mnist-23,0.10397
vit@food101-24,0.06062
vit@food101-25,0.06062
vit@fashion_mnist-26,0.06201
vit@imagenet-split-2-27,0.06135
vit@food101-28,0.06046
vit@fashion_mnist-29,0.08263
vit@mnist-30,0.08276
vit@frgfm#imagenette-31,0.06734
vit@mnist-32,0.05176
vit@cifar100-33,0.08559
vit@frgfm#imagenette-34,0.05726
vit@imagenet-split-0-35,0.1131
vit@cifar100-36,0.08485
vit@imagenet-split-1-37,0.06744
vit@cifar100-38,0.09839
vit@imagenet-split-1-39,0.12335
vit@Bingsu#Cat_and_Dog-40,0.18831
vit@cifar100-41,0.14039
vit@mnist-42,0.08302
vit@mnist-43,0.06525
vit@imagenet-split-0-44,0.24422
vit@Bingsu#Cat_and_Dog-45,0.14098
vit@fashion_mnist-46,0.09185
vit@cifar100-47,0.07906
vit@imagenet-split-1-48,0.12524
vit@Bingsu#Cat_and_Dog-49,0.20575
vit@imagenet-split-1-50,0.11736
vit@imagenet-split-1-51,0.08789
vit@cifar100-52,0.12367
vit@imagenet-split-0-53,0.09656
vit@imagenet-split-1-54,0.0873
vit@Bingsu#Cat_and_Dog-55,0.31358
vit@imagenet-split-1-56,0.08402
vit@Bingsu#Cat_and_Dog-57,0.1876
vit@cifar100-58,0.08948
vit@imagenet-split-2-59,0.05984
vit@cifar100-60,0.10064
vit@frgfm#imagenette-61,0.08474
vit@Bingsu#Cat_and_Dog-62,0.22639
vit@Bingsu#Cat_and_Dog-63,0.22604
vit@frgfm#imagenette-64,0.10019
vit@frgfm#imagenette-65,0.08051
vit@food101-66,0.06729
vit@frgfm#imagenette-67,0.06572
vit@frgfm#imagenette-68,0.06572
vit@frgfm#imagenette-69,0.06572
vit@frgfm#imagenette-70,0.06572
vit@frgfm#imagenette-71,0.06572
vit@frgfm#imagenette-72,0.06572
vit@frgfm#imagenette-73,0.06555
vit@Bingsu#Cat_and_Dog-74,0.10895
vit@imagenet-split-0-75,0.06948
vit@Bingsu#Cat_and_Dog-76,0.15593
vit@frgfm#imagenette-77,0.0797
vit@mnist-78,0.23568
vit@Bingsu#Cat_and_Dog-79,0.14146
vit@frgfm#imagenette-80,0.06181
vit@Bingsu#Cat_and_Dog-81,0.16305
vit@food101-82,0.06028
vit@imagenet-split-2-83,0.05867
vit@food101-84,0.06025
vit@food101-85,0.06956
vit@imagenet-split-2-86,0.06565
vit@frgfm#imagenette-87,0.21911
vit@fashion_mnist-88,0.30979
vit@frgfm#imagenette-89,0.20281
vit@frgfm#imagenette-90,0.23706
vit@Bingsu#Cat_and_Dog-91,0.09792
vit@frgfm#imagenette-92,0.10507
vit@frgfm#imagenette-93,0.15092
vit@mnist-94,0.05742
vit@frgfm#imagenette-95,0.09905
vit@Bingsu#Cat_and_Dog-96,0.1812
vit@frgfm#imagenette-97,0.0984
vit@Bingsu#Cat_and_Dog-98,0.16589
vit@imagenet-split-2-99,0.11424
vit@Bingsu#Cat_and_Dog-100,0.16625
vit@imagenet-split-1-101,0.20122
vit@frgfm#imagenette-102,0.13678
vit@Bingsu#Cat_and_Dog-103,0.1086
vit@imagenet-split-1-104,0.16577
vit@Bingsu#Cat_and_Dog-105,0.11999
vit@fashion_mnist-106,0.09876
vit@frgfm#imagenette-107,0.06084
vit@fashion_mnist-108,0.05745
vit@imagenet-split-2-109,0.05876
vit@Bingsu#Cat_and_Dog-110,0.15451
vit@food101-111,0.07783
vit@Bingsu#Cat_and_Dog-112,0.09935
vit@food101-113,0.07294
vit@cifar100-114,0.09579
vit@frgfm#imagenette-115,0.06328
vit@imagenet-split-1-116,0.08176
vit@imagenet-split-0-117,0.11369
vit@imagenet-split-1-118,0.08259
vit@fashion_mnist-119,0.07948
vit@Bingsu#Cat_and_Dog-120,0.14774
vit@Bingsu#Cat_and_Dog-121,0.14668
vit@frgfm#imagenette-122,0.06019
vit@frgfm#imagenette-123,0.06003
vit@fashion_mnist-124,0.07212
vit@frgfm#imagenette-125,0.10133
vit@frgfm#imagenette-126,0.09921
vit@frgfm#imagenette-127,0.09564
vit@cifar100-128,0.08861
vit@food101-129,0.09469
vit@frgfm#imagenette-130,0.07499
vit@Bingsu#Cat_and_Dog-131,0.13564
vit@food101-132,0.07865
vit@Bingsu#Cat_and_Dog-133,0.12746
vit@food101-134,0.09052
vit@Bingsu#Cat_and_Dog-135,0.15379
vit@imagenet-split-2-136,0.09101
vit@Bingsu#Cat_and_Dog-137,0.11038
vit@cifar100-138,0.0758
vit@cifar100-139,0.1374
vit@cifar100-140,0.19901
vit@food101-141,0.1188
vit@cifar100-142,0.322
vit@imagenet-split-2-143,0.0629
vit@Bingsu#Cat_and_Dog-144,0.51038
vit@fashion_mnist-145,0.36184
vit@imagenet-split-1-146,0.31865
vit@mnist-147,0.2286
vit@imagenet-split-1-148,0.39365
vit@cifar100-149,0.66903
vit@imagenet-split-0-150,0.87672
vit@imagenet-split-0-151,0.96762
vit@fashion_mnist-152,0.61852
vit@frgfm#imagenette-153,0.24653
vit@fashion_mnist-154,0.14807
vit@frgfm#imagenette-155,0.26184
vit@food101-156,0.11553
vit@frgfm#imagenette-157,0.21615
vit@cifar100-158,0.14585
vit@Bingsu#Cat_and_Dog-159,0.85095
vit@fashion_mnist-160,0.14705
vit@frgfm#imagenette-161,0.38523
vit@Bingsu#Cat_and_Dog-162,0.60326
vit@fashion_mnist-163,0.34472
vit@imagenet-split-1-164,0.30615
vit@Bingsu#Cat_and_Dog-165,0.636
vit@imagenet-split-0-166,0.14076
vit@mnist-167,0.1823
vit@fashion_mnist-168,0.37897
vit@imagenet-split-1-169,0.33115
vit@mnist-170,0.21702
vit@fashion_mnist-171,0.53308
vit@imagenet-split-1-172,0.40615
vit@cifar100-173,0.75116
vit@fashion_mnist-174,0.63582
vit@imagenet-split-1-175,0.48115
vit@cifar100-176,0.87416
vit@cifar100-177,0.87416
vit@imagenet-split-0-178,1.27035
vit@fashion_mnist-179,0.73838
vit@imagenet-split-0-180,1.36126
vit@imagenet-split-1-181,0.63102
vit@cifar100-182,0.99736
vit@imagenet-split-0-183,1.45217
vit@mnist-184,0.33849
vit@fashion_mnist-185,0.89249
vit@fashion_mnist-186,0.94386
vit@imagenet-split-1-187,0.70602
vit@Bingsu#Cat_and_Dog-188,0.59365
vit@Bingsu#Cat_and_Dog-189,0.54739
vit@Bingsu#Cat_and_Dog-190,0.62426
vit@food101-191,0.29561
vit@cifar100-192,1.09757
vit@frgfm#imagenette-193,0.21905
vit@imagenet-split-1-194,0.92293
vit@mnist-195,0.36327
vit@imagenet-split-1-196,0.75527
vit@cifar100-197,1.20147
vit@imagenet-split-0-198,1.9352
vit@fashion_mnist-199,1.16544
vit@mnist-200,0.4481
vit@imagenet-split-1-201,0.86777
vit@fashion_mnist-202,1.16544
vit@fashion_mnist-203,1.26818
vit@imagenet-split-1-204,0.94277
vit@imagenet-split-1-205,0.98027
vit@cifar100-206,1.63268
vit@mnist-207,0.51754
vit@imagenet-split-0-208,2.48065
vit@cifar100-209,1.69408
vit@imagenet-split-1-210,1.09265
vit@cifar100-211,1.75568
vit@imagenet-split-1-212,1.13015
vit@mnist-213,0.58693
vit@imagenet-split-0-214,2.75308
vit@fashion_mnist-215,1.6276
vit@mnist-216,0.62165
vit@mnist-217,0.60429
vit@cifar100-218,2.06369
vit@imagenet-split-1-219,1.39265
vit@fashion_mnist-220,1.83308
vit@cifar100-221,2.24849
vit@imagenet-split-1-222,1.43015
vit@imagenet-split-1-223,1.43015
vit@cifar100-224,2.3717
vit@imagenet-split-0-225,3.48035
vit@cifar100-226,2.4333
vit@cifar100-227,2.4333
vit@imagenet-split-1-228,1.50515
vit@cifar100-229,2.4949
vit@fashion_mnist-230,2.14129
vit@imagenet-split-0-231,3.75278
vit@fashion_mnist-232,2.14112
vit@imagenet-split-1-233,1.59277
vit@Bingsu#Cat_and_Dog-234,0.37337
vit@frgfm#imagenette-235,0.1836
vit@imagenet-split-1-236,1.55377
vit@mnist-237,0.78305
vit@cifar100-238,2.57478
vit@frgfm#imagenette-239,0.1319
vit@Bingsu#Cat_and_Dog-240,0.24454
vit@fashion_mnist-241,2.1853
vit@mnist-242,0.79278
vit@imagenet-split-0-243,3.92187
vit@cifar100-244,2.73248
vit@imagenet-split-2-245,0.34993
vit@Bingsu#Cat_and_Dog-246,0.24241
vit@imagenet-split-2-247,0.3421
vit@imagenet-split-1-248,1.6954
vit@imagenet-split-0-249,0.79554
vit@frgfm#imagenette-250,2.00718
vit@fashion_mnist-251,2.21818
vit@imagenet-split-1-252,0.38241
vit@cifar100-253,0.60731
vit@mnist-254,0.33473
vit@imagenet-split-1-255,1.6234
vit@imagenet-split-1-256,0.4111
vit@mnist-257,0.82923
vit@imagenet-split-0-258,3.93096
vit@frgfm#imagenette-259,2.1623
vit@frgfm#imagenette-260,2.15385
vit@cifar100-261,2.68997
vit@frgfm#imagenette-262,2.13271
vit@frgfm#imagenette-263,2.11011
vit@fashion_mnist-264,2.30037
vit@imagenet-split-1-265,1.69627
vit@fashion_mnist-266,2.3776
vit@cifar100-267,1.48322
vit@food101-268,0.68869
vit@frgfm#imagenette-269,2.08637
vit@imagenet-split-0-270,0.83876
vit@cifar100-271,0.64352
vit@cifar100-272,2.81379
vit@frgfm#imagenette-273,2.08068
vit@Bingsu#Cat_and_Dog-274,4.47657
vit@fashion_mnist-275,0.55358
vit@Bingsu#Cat_and_Dog-276,4.57159
vit@mnist-277,0.347
vit@frgfm#imagenette-278,2.11352
vit@fashion_mnist-279,1.33004
vit@Bingsu#Cat_and_Dog-280,4.54241
vit@imagenet-split-0-281,0.82359
vit@fashion_mnist-282,2.29592
vit@food101-283,0.4501
vit@imagenet-split-0-284,4.11823
vit@imagenet-split-1-285,1.76827
vit@Bingsu#Cat_and_Dog-286,4.4086
vit@Bingsu#Cat_and_Dog-287,4.49294
vit@imagenet-split-0-288,0.78127
vit@cifar100-289,2.78032
vit@Bingsu#Cat_and_Dog-290,4.36518
vit@Bingsu#Cat_and_Dog-291,4.3239
vit@fashion_mnist-292,0.51939
vit@mnist-293,0.84521
vit@cifar100-294,2.85691
vit@fashion_mnist-295,2.34044
vit@imagenet-split-1-296,1.76302
vit@mnist-297,0.87993
vit@fashion_mnist-298,2.49455
vit@fashion_mnist-299,2.49455
vit@cifar100-300,3.10332
vit@cifar100-301,3.10332
vit@cifar100-302,3.10332
vit@imagenet-split-1-303,1.9879
vit@fashion_mnist-304,2.69986
vit@imagenet-split-1-305,1.9879
vit@imagenet-split-0-306,4.74156
vit@fashion_mnist-307,2.75123
vit@cifar100-308,3.34952
vit@cifar100-309,3.34952
vit@imagenet-split-0-310,4.92338
vit@cifar100-311,3.41112
vit@cifar100-312,3.41112
vit@imagenet-split-1-313,2.1379
vit@imagenet-split-1-314,2.13777
vit@imagenet-split-0-315,5.19581
vit@cifar100-316,3.48361
vit@imagenet-split-2-317,0.40906
vit@imagenet-split-1-318,2.14527
vit@frgfm#imagenette-319,1.9355
